,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Unnamed: 36_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 48_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,,
61,59,2002,2002-11-25,11,12,32.274,SFO,,PHI,L 17-38,*,29,51,56.86,284,2,0,85.7,3,26,5.57,6.35,3,13,4.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0,,0,2,0,0,,Jeff Garcia,GarcJe00
62,60,2002,2002-12-01,12,13,32.280,SFO,,SEA,W 31-24,*,16,29,55.17,164,0,2,42.9,1,7,5.66,2.55,5,12,2.40,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Jeff Garcia,GarcJe00
63,61,2002,2002-12-08,13,14,32.287,SFO,@,DAL,W 31-27,*,36,55,65.45,276,3,0,95.7,1,0,5.02,6.11,7,50,7.14,1,0,0,0,,0,0.0%,,,1,6,0.0,,,,,,0,,0,0,0,0,,Jeff Garcia,GarcJe00
64,62,2002,2002-12-15,14,15,32.294,SFO,,GNB,L 14-20,*,19,34,55.88,156,1,1,65.3,0,0,4.59,3.85,5,32,6.40,0,0,0,0,,0,0.0%,,1,0,2,0.0,,,,,,0,,0,0,0,0,,Jeff Garcia,GarcJe00
65,63,2002,2002-12-21,15,16,32.300,SFO,@,ARI,W 17-14,*,23,39,58.97,256,1,1,76.4,1,4,6.56,5.92,5,5,1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,1,0,0,0,0,,Jeff Garcia,GarcJe00
66,64,2002,2002-12-30,16,17,32.309,SFO,@,STL,L 20-31,*,2,3,66.67,16,0,0,79.9,0,0,5.33,5.33,2,16,8.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Jeff Garcia,GarcJe00
67,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,Jeff Garcia,GarcJe00
68,65,2003,2003-09-07,1,1,33.195,SFO,,CHI,W 49-7,*,19,35,54.29,229,2,1,81.7,0,0,6.54,6.40,7,36,5.14,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,,1,0,0,1,0,0,,Jeff Garcia,GarcJe00
69,66,2003,2003-09-14,2,2,33.202,SFO,@,STL,L 24-27,*,19,35,54.29,222,2,1,80.9,1,1,6.34,6.20,2,14,7.00,0,1,1,6,6.00,0,100.0%,6.00,,0,0,0.0,,,,,,0,,0,0,0,0,,Jeff Garcia,GarcJe00
70,67,2003,2003-09-21,3,3,33.209,SFO,,CLE,L 12-13,*,21,35,60.00,198,0,1,63.8,2,8,5.66,4.37,5,40,8.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,0,0,0,0,0,,Jeff Garcia,GarcJe00
71,68,2003,2003-09-28,4,4,33.216,SFO,@,MIN,L 7-35,*,11,23,47.83,108,0,3,21.9,2,8,4.70,-1.17,1,17,17.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,0,0,0,0,0,,Jeff Garcia,GarcJe00
