,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 41_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
30,30,2015,2015-12-20,14,15,23.040,MIN,,CHI,W 38-17,*,17,20,85.00,231,4,0,154.4,1,10,11.55,15.55,4,17,4.25,1,,1,6,1,0,0,1,-2,0,62,100%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
31,31,2015,2015-12-27,15,16,23.047,MIN,,NYG,W 49-17,*,15,25,60.00,168,1,0,93.4,3,18,6.72,7.52,2,12,6.00,0,,0,0,0,0,0,0,0,0,65,92%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
32,32,2015,2016-01-03,16,17,23.054,MIN,@,GNB,W 20-13,*,10,19,52.63,99,0,1,45.7,3,8,5.21,2.84,2,2,1.00,0,,0,0,1,0,0,0,0,0,48,100%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Teddy Bridgewater,BridTe00
34,33,2017,2017-09-11,1,1,,MIN,,NOR,W 29-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teddy Bridgewater,BridTe00
35,34,2017,2017-09-17,2,2,,MIN,@,PIT,L 9-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teddy Bridgewater,BridTe00
36,35,2017,2017-09-24,3,3,,MIN,,TAM,W 34-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teddy Bridgewater,BridTe00
37,36,2017,2017-10-01,4,4,,MIN,,DET,L 7-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teddy Bridgewater,BridTe00
38,37,2017,2017-10-09,5,5,,MIN,@,CHI,W 20-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teddy Bridgewater,BridTe00
39,38,2017,2017-10-15,6,6,,MIN,,GNB,W 23-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teddy Bridgewater,BridTe00
40,39,2017,2017-10-22,7,7,,MIN,,BAL,W 24-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teddy Bridgewater,BridTe00
41,40,2017,2017-10-29,8,8,,MIN,@,CLE,W 33-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teddy Bridgewater,BridTe00
42,41,2017,2017-11-12,9,10,,MIN,@,WAS,W 38-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Teddy Bridgewater,BridTe00
43,42,2017,2017-11-19,10,11,,MIN,,LAR,W 24-7,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Teddy Bridgewater,BridTe00
44,43,2017,2017-11-23,11,12,,MIN,@,DET,W 30-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Teddy Bridgewater,BridTe00
45,44,2017,2017-12-03,12,13,,MIN,@,ATL,W 14-9,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Teddy Bridgewater,BridTe00
46,45,2017,2017-12-10,13,14,,MIN,@,CAR,L 24-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Teddy Bridgewater,BridTe00
47,46,2017,2017-12-17,14,15,25.037,MIN,,CIN,W 34-7,,0,2,0.00,0,0,1,0.0,0,0,0.00,-22.50,3,-3,-1.00,0,,0,0,0,0,0,0,0,0,9,14%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
48,47,2017,2017-12-23,15,16,,MIN,@,GNB,W 16-0,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Teddy Bridgewater,BridTe00
49,48,2017,2017-12-31,16,17,,MIN,,CHI,W 23-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Teddy Bridgewater,BridTe00
50,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Teddy Bridgewater,BridTe00
51,49,2018,2018-09-09,1,1,,NOR,,TAM,L 40-48,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Teddy Bridgewater,BridTe00
52,50,2018,2018-09-16,2,2,,NOR,,CLE,W 21-18,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Teddy Bridgewater,BridTe00
53,51,2018,2018-09-23,3,3,,NOR,@,ATL,W 43-37,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Teddy Bridgewater,BridTe00
54,52,2018,2018-09-30,4,4,,NOR,@,NYG,W 33-18,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Teddy Bridgewater,BridTe00
55,53,2018,2018-10-08,5,5,25.332,NOR,,WAS,W 43-19,,0,0,,0,0,0,,0,0,,,3,-3,-1.00,0,,0,0,0,0,0,0,0,0,3,5%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
56,54,2018,2018-10-21,6,7,,NOR,@,BAL,W 24-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Teddy Bridgewater,BridTe00
57,55,2018,2018-10-28,7,8,25.352,NOR,@,MIN,W 30-20,,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,1,2%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
58,56,2018,2018-11-04,8,9,,NOR,,LAR,W 45-35,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Teddy Bridgewater,BridTe00
59,57,2018,2018-11-11,9,10,26.001,NOR,@,CIN,W 51-14,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,3,-3,-1.00,0,,0,0,0,0,0,0,0,0,11,15%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
60,58,2018,2018-11-18,10,11,26.008,NOR,,PHI,W 48-7,,0,0,,0,0,0,,0,0,,,1,-1,-1.00,0,,0,0,0,0,0,0,0,0,4,6%,0,0%,0,0%,,Teddy Bridgewater,BridTe00
