,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Unnamed: 36_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 48_level_0,qb,qb_tag
30,30,2000,2000-12-03,14,14,,CLE,@,JAX,L 0-48,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Tim Couch,CoucTi00
31,31,2000,2000-12-10,15,15,,CLE,,PHI,L 24-35,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Tim Couch,CoucTi00
32,32,2000,2000-12-17,16,16,,CLE,,TEN,L 0-24,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Tim Couch,CoucTi00
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,Tim Couch,CoucTi00
34,33,2001,2001-09-09,1,1,24.040,CLE,,SEA,L 6-9,*,17,33,51.52,176,0,1,54.6,3,27,5.33,3.97,1,1,1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Tim Couch,CoucTi00
35,34,2001,2001-09-23,2,2,24.054,CLE,,DET,W 24-14,*,12,20,60.00,138,3,2,80.8,3,20,6.90,5.40,3,0,0.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Tim Couch,CoucTi00
36,35,2001,2001-09-30,3,3,24.061,CLE,@,JAX,W 23-14,*,24,34,70.59,249,0,1,79.2,3,23,7.32,6.00,3,13,4.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,1,0,0,0,-3,0,,Tim Couch,CoucTi00
37,36,2001,2001-10-07,4,4,24.068,CLE,,SDG,W 20-16,*,14,27,51.85,203,1,0,89.0,4,22,7.52,8.26,2,24,12.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,1,0,0,1,0,0,,Tim Couch,CoucTi00
38,37,2001,2001-10-14,5,5,24.075,CLE,@,CIN,L 14-24,*,14,28,50.00,194,2,0,96.4,3,23,6.93,8.36,2,-1,-0.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,2,1,0,1,-3,0,,Tim Couch,CoucTi00
39,38,2001,2001-10-21,6,6,24.082,CLE,,BAL,W 24-14,*,11,18,61.11,149,2,0,124.5,2,18,8.28,10.50,4,10,2.50,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Tim Couch,CoucTi00
