,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Punting,Punting,Punting,Punting,Unnamed: 46_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,,
30,29,1987,1987-11-29,11,12,24.247,PHI,@,NWE,W 34-31,*,18,31,58.06,314,2,1,100.7,3,27,10.13,9.97,7,31,4.43,1,,0,0,,0,,,,1,6,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
31,30,1987,1987-12-06,12,13,24.254,PHI,@,NYG,L 20-23,*,20,43,46.51,227,2,0,78.3,9,63,5.28,6.21,3,20,6.67,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
32,31,1987,1987-12-13,13,14,24.261,PHI,,MIA,L 10-28,*,22,38,57.89,189,1,0,79.8,4,34,4.97,5.50,2,37,18.50,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
33,32,1987,1987-12-20,14,15,24.268,PHI,@,NYJ,W 38-27,*,19,31,61.29,280,3,0,123.1,3,15,9.03,10.97,5,47,9.40,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
34,33,1987,1987-12-27,15,16,24.275,PHI,,BUF,W 17-7,*,16,21,76.19,177,1,1,96.7,5,43,8.43,7.24,10,46,4.60,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
35,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,Randall Cunningham,CunnRa00
36,34,1988,1988-09-04,1,1,25.161,PHI,@,TAM,W 41-14,*,7,12,58.33,156,2,1,107.6,0,0,13.00,12.58,5,21,4.20,1,,0,0,,0,,,,1,6,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
37,35,1988,1988-09-11,2,2,25.168,PHI,,CIN,L 24-28,*,25,36,69.44,261,1,1,87.8,4,36,7.25,6.56,9,85,9.44,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
38,36,1988,1988-09-18,3,3,25.175,PHI,@,WAS,L 10-17,*,15,35,42.86,236,1,0,75.4,6,45,6.74,7.31,6,40,6.67,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
39,37,1988,1988-09-25,4,4,25.182,PHI,@,MIN,L 21-23,*,13,23,56.52,187,2,1,93.9,8,52,8.13,7.91,4,18,4.50,0,,0,0,,0,,,,0,0,0,,0,0,0,0,2,112,56.00,0,,Randall Cunningham,CunnRa00
40,38,1988,1988-10-02,5,5,25.189,PHI,,HOU,W 32-23,*,24,38,63.16,289,2,0,103.9,3,24,7.61,8.66,3,59,19.67,1,,0,0,,0,,,,1,6,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
41,39,1988,1988-10-10,6,6,25.197,PHI,,NYG,W 24-13,*,31,41,75.61,369,3,0,127.0,4,26,9.00,10.46,2,8,4.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,1,55,55.00,0,,Randall Cunningham,CunnRa00
42,40,1988,1988-10-16,7,7,25.203,PHI,@,CLE,L 3-19,*,15,27,55.56,114,0,2,35.1,9,66,4.22,0.89,3,22,7.33,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
43,41,1988,1988-10-23,8,8,25.210,PHI,,DAL,W 24-23,*,26,53,49.06,298,2,1,71.1,5,24,5.62,5.53,5,34,6.80,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
44,42,1988,1988-10-30,9,9,25.217,PHI,,ATL,L 24-27,*,21,48,43.75,289,2,2,60.2,3,20,6.02,4.98,6,54,9.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
45,43,1988,1988-11-06,10,10,25.224,PHI,,RAM,W 30-24,*,22,39,56.41,323,3,0,109.2,1,10,8.28,9.82,8,53,6.63,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
46,44,1988,1988-11-13,11,11,25.231,PHI,@,PIT,W 27-26,*,25,41,60.98,276,0,2,60.6,2,24,6.73,4.54,8,48,6.00,2,,0,0,,0,,,,2,12,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
47,45,1988,1988-11-20,12,12,25.238,PHI,@,NYG,W 23-17,*,14,36,38.89,224,0,1,48.8,4,48,6.22,4.97,9,64,7.11,1,,0,0,,0,,,,1,6,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
48,46,1988,1988-11-27,13,13,25.245,PHI,,PHO,W 31-21,*,17,35,48.57,214,2,2,63.3,2,22,6.11,4.69,4,-2,-0.50,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
49,47,1988,1988-12-04,14,14,25.252,PHI,,WAS,L 19-20,*,16,32,50.00,165,1,2,49.6,3,18,5.16,2.97,7,49,7.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
50,48,1988,1988-12-10,15,15,25.258,PHI,@,PHO,W 23-17,*,10,26,38.46,169,1,1,58.0,3,27,6.50,5.54,9,21,2.33,1,,0,0,,0,,,,1,6,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
51,49,1988,1988-12-18,16,16,25.266,PHI,@,DAL,W 23-7,*,20,38,52.63,238,2,0,89.6,0,0,6.26,7.32,5,50,10.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
52,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,Randall Cunningham,CunnRa00
53,50,1989,1989-09-10,1,1,26.167,PHI,,SEA,W 31-7,*,13,27,48.15,240,2,0,103.9,1,6,8.89,10.37,2,6,3.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
54,51,1989,1989-09-17,2,2,26.174,PHI,@,WAS,W 42-37,*,34,46,73.91,447,5,1,131.3,4,38,9.72,10.91,7,6,0.86,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
55,52,1989,1989-09-24,3,3,26.181,PHI,,SFO,L 28-38,*,19,38,50.00,192,1,1,62.6,4,31,5.05,4.39,8,52,6.50,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
56,53,1989,1989-10-02,4,4,26.189,PHI,@,CHI,L 13-27,*,32,62,51.61,401,1,4,50.5,4,33,6.47,3.89,5,41,8.20,0,,0,0,,0,,,,0,0,0,,0,0,0,0,3,132,44.00,0,,Randall Cunningham,CunnRa00
57,54,1989,1989-10-08,5,5,26.195,PHI,,NYG,W 21-19,*,10,24,41.67,106,0,0,55.2,2,21,4.42,4.42,10,44,4.40,2,,0,0,,0,,,,2,12,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
58,55,1989,1989-10-15,6,6,26.202,PHI,@,PHO,W 17-5,*,16,29,55.17,192,2,3,59.1,1,6,6.62,3.34,7,70,10.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
59,56,1989,1989-10-22,7,7,26.209,PHI,,RAI,W 10-7,*,8,20,40.00,64,0,0,48.7,1,1,3.20,3.20,9,57,6.33,1,,0,0,,0,,,,1,6,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
60,57,1989,1989-10-29,8,8,26.216,PHI,@,DEN,W 28-24,*,11,20,55.00,126,2,0,107.5,4,28,6.30,8.30,6,57,9.50,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
61,58,1989,1989-11-05,9,9,26.223,PHI,@,SDG,L 17-20,*,19,29,65.52,236,1,1,87.7,5,41,8.14,7.28,6,44,7.33,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
62,59,1989,1989-11-12,10,10,26.230,PHI,,WAS,L 3-10,*,17,39,43.59,177,0,1,46.6,5,20,4.54,3.38,2,0,0.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
63,60,1989,1989-11-19,11,11,26.237,PHI,,MIN,W 10-9,*,26,43,60.47,207,1,0,80.3,3,28,4.81,5.28,10,8,0.80,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
64,61,1989,1989-11-23,12,12,26.241,PHI,@,DAL,W 27-0,*,21,33,63.64,234,2,0,104.9,0,0,7.09,8.30,5,46,9.20,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
65,62,1989,1989-12-03,13,13,26.251,PHI,@,NYG,W 24-17,*,9,16,56.25,140,0,1,59.4,1,10,8.75,5.94,5,10,2.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,1,91,91.00,0,,Randall Cunningham,CunnRa00
66,63,1989,1989-12-10,14,14,26.258,PHI,,DAL,W 20-10,*,17,31,54.84,170,1,0,81.4,4,25,5.48,6.13,6,47,7.83,0,,0,0,,0,,,,0,0,0,,0,0,0,0,2,96,48.00,0,,Randall Cunningham,CunnRa00
67,64,1989,1989-12-18,15,15,26.266,PHI,@,NOR,L 20-30,*,19,39,48.72,306,2,2,71.1,4,36,7.85,6.56,8,92,11.50,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
