,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 34_level_0,qb,qb_tag
58,55,2002,2002-12-01,12,13,27.325,NOR,,TAM,W 23-20,,1,1,100.00,10,0,0,108.3,0,0,10.00,10.00,2,-2,-1.00,0,0,0,0,,0,0,0,0,,Jake Delhomme,DelhJa00
59,56,2002,2002-12-08,13,14,27.332,NOR,@,BAL,W 37-25,,7,8,87.50,103,0,0,118.7,0,0,12.88,12.88,2,0,0.00,0,0,0,0,,0,0,0,0,,Jake Delhomme,DelhJa00
60,57,2002,2002-12-15,14,15,,NOR,,MIN,L 31-32,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jake Delhomme,DelhJa00
61,58,2002,2002-12-22,15,16,,NOR,@,CIN,L 13-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jake Delhomme,DelhJa00
62,59,2002,2002-12-29,16,17,,NOR,,CAR,L 6-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jake Delhomme,DelhJa00
63,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Jake Delhomme,DelhJa00
64,60,2003,2003-09-07,1,1,28.240,CAR,,JAX,W 24-23,,12,20,60.00,122,3,2,77.5,2,1,6.10,4.60,2,1,0.50,0,0,0,2,0,0,0,-3,0,,Jake Delhomme,DelhJa00
65,61,2003,2003-09-14,2,2,28.247,CAR,@,TAM,W 12-9,*,9,23,39.13,96,0,2,15.9,1,9,4.17,0.26,1,2,2.00,0,0,0,1,0,0,0,0,0,,Jake Delhomme,DelhJa00
66,62,2003,2003-09-28,3,4,28.261,CAR,,ATL,W 23-3,*,17,27,62.96,168,1,0,92.8,0,0,6.22,6.96,5,-3,-0.60,0,0,0,1,0,0,1,-3,0,,Jake Delhomme,DelhJa00
67,63,2003,2003-10-05,4,5,28.268,CAR,,NOR,W 19-13,*,15,23,65.22,124,0,0,78.9,0,0,5.39,5.39,2,-2,-1.00,0,0,0,0,,0,0,0,0,,Jake Delhomme,DelhJa00
68,64,2003,2003-10-12,5,6,28.275,CAR,@,IND,W 23-20,*,12,20,60.00,181,1,1,85.6,3,29,9.05,7.80,2,1,0.50,0,0,0,1,0,0,1,0,0,,Jake Delhomme,DelhJa00
69,65,2003,2003-10-19,6,7,28.282,CAR,,TEN,L 17-37,*,31,49,63.27,362,2,0,99.2,4,23,7.39,8.20,2,9,4.50,0,0,0,2,0,0,0,-4,0,,Jake Delhomme,DelhJa00
70,66,2003,2003-10-26,7,8,28.289,CAR,@,NOR,W 23-20,*,12,27,44.44,148,0,0,62.0,1,3,5.48,5.48,3,6,2.00,0,0,0,0,,0,0,0,0,,Jake Delhomme,DelhJa00
71,67,2003,2003-11-02,8,9,28.296,CAR,@,HOU,L 10-14,*,13,23,56.52,193,1,1,80.5,0,0,8.39,7.30,1,2,2.00,0,0,0,0,,0,0,0,0,,Jake Delhomme,DelhJa00
