,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 32_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Fmb,FL,FF,FR,Yds,TD,Status,,
29,28,1993,1993-11-29,11,13,26.194,SDG,@,IND,W 31-0,,1,1,100.00,11,0,0,112.5,0,0,11.00,11.00,1,-1,-1.00,0,0,,0,0,0,0,,John Friesz,FrieJo00
30,29,1993,1993-12-05,12,14,,SDG,,DEN,W 13-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,John Friesz,FrieJo00
31,30,1993,1993-12-12,13,15,,SDG,,GNB,L 13-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,John Friesz,FrieJo00
32,31,1993,1993-12-19,14,16,26.214,SDG,@,KAN,L 24-28,,19,38,50.00,161,1,2,48.2,3,15,4.24,2.39,0,0,,0,0,,0,0,0,0,,John Friesz,FrieJo00
33,32,1993,1993-12-27,15,17,26.222,SDG,,MIA,W 45-20,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,,0,0,0,0,,John Friesz,FrieJo00
34,33,1993,1994-01-02,16,18,,SDG,@,TAM,W 32-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,John Friesz,FrieJo00
35,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Fmb,FL,FF,FR,Yds,TD,Status,John Friesz,FrieJo00
36,34,1994,1994-09-04,1,1,27.108,WAS,,SEA,L 7-28,*,17,32,53.13,210,1,2,58.1,0,0,6.56,4.38,0,0,,0,0,,0,0,0,0,,John Friesz,FrieJo00
37,35,1994,1994-09-11,2,2,27.115,WAS,@,NOR,W 38-24,*,15,22,68.18,195,4,0,135.4,1,5,8.86,12.50,1,1,1.00,0,1,0,0,1,0,0,,John Friesz,FrieJo00
38,36,1994,1994-09-18,3,3,27.122,WAS,@,NYG,L 23-31,*,32,50,64.00,381,2,2,83.8,1,5,7.62,6.62,0,0,,0,0,,0,0,0,0,,John Friesz,FrieJo00
39,37,1994,1994-09-25,4,4,27.129,WAS,,ATL,L 20-27,*,17,29,58.62,230,1,3,55.9,1,13,7.93,3.97,0,0,,0,1,1,0,0,0,0,,John Friesz,FrieJo00
40,38,1994,1994-10-02,5,5,27.136,WAS,,DAL,L 7-34,,0,0,,0,0,0,,0,,,,0,0,,0,0,,,0,0,0,,John Friesz,FrieJo00
41,39,1994,1994-10-09,6,6,27.143,WAS,@,PHI,L 17-21,,0,0,,0,0,0,,0,,,,0,0,,0,0,,,0,0,0,,John Friesz,FrieJo00
42,40,1994,1994-10-16,7,7,27.150,WAS,,ARI,L 16-19,,0,0,,0,0,0,,0,,,,0,0,,0,0,,,0,0,0,,John Friesz,FrieJo00
43,41,1994,1994-10-23,8,8,27.157,WAS,@,IND,W 41-27,,0,0,,0,0,0,,0,,,,0,0,,0,0,,,0,0,0,,John Friesz,FrieJo00
44,42,1994,1994-10-30,9,9,27.164,WAS,,PHI,L 29-31,,0,0,,0,0,0,,0,,,,0,0,,0,0,,,0,0,0,,John Friesz,FrieJo00
45,43,1994,1994-11-06,10,10,27.171,WAS,,SFO,L 22-37,,8,12,66.67,57,1,0,105.2,1,8,4.75,6.42,0,0,,0,0,,0,0,0,0,,John Friesz,FrieJo00
46,44,1994,1994-11-20,11,12,27.185,WAS,@,DAL,L 7-31,,16,35,45.71,193,1,2,48.9,2,14,5.51,3.51,0,0,,0,0,,0,0,0,0,,John Friesz,FrieJo00
47,45,1994,1994-11-27,12,13,27.192,WAS,,NYG,L 19-21,,0,0,,0,0,0,,0,,,,0,0,,0,0,,,0,0,0,,John Friesz,FrieJo00
48,46,1994,1994-12-04,13,14,27.199,WAS,@,TAM,L 21-26,,0,0,,0,0,0,,0,,,,0,0,,0,0,,,0,0,0,,John Friesz,FrieJo00
49,47,1994,1994-12-11,14,15,27.206,WAS,@,ARI,L 15-17,,0,0,,0,0,0,,0,,,,0,0,,0,0,,,0,0,0,,John Friesz,FrieJo00
50,48,1994,1994-12-18,15,16,27.213,WAS,,TAM,L 14-17,,0,0,,0,0,0,,0,,,,0,0,,0,0,,,0,0,0,,John Friesz,FrieJo00
51,49,1994,1994-12-24,16,17,27.219,WAS,@,RAM,W 24-21,,0,0,,0,0,0,,0,,,,0,0,,0,0,,,0,0,0,,John Friesz,FrieJo00
52,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Fmb,FL,FF,FR,Yds,TD,Status,John Friesz,FrieJo00
53,50,1995,1995-09-03,1,1,28.107,SEA,,KAN,L 10-34,,5,9,55.56,77,1,0,121.1,0,0,8.56,10.78,0,0,,0,0,,0,0,0,0,,John Friesz,FrieJo00
54,51,1995,1995-09-10,2,2,,SEA,@,SDG,L 10-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,John Friesz,FrieJo00
55,52,1995,1995-09-17,3,3,,SEA,,CIN,W 24-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,John Friesz,FrieJo00
56,53,1995,1995-10-01,4,5,,SEA,,DEN,W 27-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,John Friesz,FrieJo00
57,54,1995,1995-10-08,5,6,,SEA,@,OAK,L 14-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,John Friesz,FrieJo00
58,55,1995,1995-10-15,6,7,,SEA,@,BUF,L 21-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,John Friesz,FrieJo00
59,56,1995,1995-10-22,7,8,28.156,SEA,,SDG,L 25-35,,4,5,80.00,56,0,0,113.3,0,0,11.20,11.20,0,0,,0,0,,0,0,0,0,,John Friesz,FrieJo00
60,57,1995,1995-10-29,8,9,28.163,SEA,@,ARI,L 14-20,*,17,32,53.13,205,2,2,67.8,1,2,6.41,4.84,6,3,0.50,0,2,1,0,1,-3,0,,John Friesz,FrieJo00
61,58,1995,1995-11-05,9,10,,SEA,,NYG,W 30-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,John Friesz,FrieJo00
62,59,1995,1995-11-12,10,11,,SEA,@,JAX,W 47-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,John Friesz,FrieJo00
63,60,1995,1995-11-19,11,12,,SEA,@,WAS,W 27-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,John Friesz,FrieJo00
64,61,1995,1995-11-26,12,13,,SEA,,NYJ,L 10-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,John Friesz,FrieJo00
65,62,1995,1995-12-03,13,14,,SEA,,PHI,W 26-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,John Friesz,FrieJo00
66,63,1995,1995-12-10,14,15,28.205,SEA,@,DEN,W 31-27,,12,23,52.17,157,2,1,84.9,0,0,6.83,6.61,1,-1,-1.00,0,0,,0,0,0,0,,John Friesz,FrieJo00
67,64,1995,1995-12-17,15,16,28.212,SEA,,OAK,W 44-10,*,16,25,64.00,220,1,0,105.4,0,0,8.80,9.60,3,-3,-1.00,0,0,,0,0,0,0,,John Friesz,FrieJo00
68,65,1995,1995-12-24,16,17,28.219,SEA,@,KAN,L 3-26,*,10,26,38.46,80,0,0,47.0,2,10,3.08,3.08,1,1,1.00,0,0,,0,0,0,0,,John Friesz,FrieJo00
69,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Fmb,FL,FF,FR,Yds,TD,Status,John Friesz,FrieJo00
70,66,1996,1996-09-01,1,1,,SEA,@,SDG,L 7-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,John Friesz,FrieJo00
71,67,1996,1996-09-08,2,2,29.112,SEA,,DEN,L 20-30,,11,19,57.89,137,1,0,97.9,1,8,7.21,8.26,2,3,1.50,0,2,1,0,0,0,0,,John Friesz,FrieJo00
72,68,1996,1996-09-15,3,3,,SEA,,KAN,L 17-35,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,John Friesz,FrieJo00
73,69,1996,1996-09-22,4,4,,SEA,@,TAM,W 17-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,John Friesz,FrieJo00
74,70,1996,1996-09-29,5,5,29.133,SEA,,GNB,L 10-31,,1,4,25.00,15,0,0,42.7,0,0,3.75,3.75,1,2,2.00,0,0,,0,0,0,0,,John Friesz,FrieJo00
75,71,1996,1996-10-06,6,6,29.140,SEA,@,MIA,W 22-15,*,18,32,56.25,299,3,1,106.1,0,0,9.34,9.81,4,-3,-0.75,0,1,0,0,0,-5,0,,John Friesz,FrieJo00
76,72,1996,1996-10-17,7,8,29.151,SEA,@,KAN,L 16-34,*,20,34,58.82,238,1,1,77.8,3,25,7.00,6.26,1,1,1.00,0,0,,0,0,0,0,,John Friesz,FrieJo00
77,73,1996,1996-10-27,8,9,29.161,SEA,,SDG,W 32-13,*,16,33,48.48,206,0,0,68.5,2,10,6.24,6.24,2,-2,-1.00,0,1,0,0,1,0,0,,John Friesz,FrieJo00
78,74,1996,1996-11-03,9,10,29.168,SEA,,HOU,W 23-16,*,24,38,63.16,323,1,1,87.9,3,13,8.50,7.84,1,0,0.00,0,2,0,0,1,0,0,,John Friesz,FrieJo00
79,75,1996,1996-11-10,10,11,29.175,SEA,,MIN,W 42-23,*,22,33,66.67,263,2,0,111.0,2,15,7.97,9.18,0,0,,0,0,,0,0,0,0,,John Friesz,FrieJo00
80,76,1996,1996-11-17,11,12,29.182,SEA,@,DET,L 16-17,*,8,18,44.44,148,0,1,50.2,1,6,8.22,5.72,1,0,0.00,0,1,0,0,0,-1,0,,John Friesz,FrieJo00
81,77,1996,1996-11-24,12,13,,SEA,,OAK,L 21-27,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,John Friesz,FrieJo00
82,78,1996,1996-12-01,13,14,,SEA,@,DEN,L 7-34,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,John Friesz,FrieJo00
83,79,1996,1996-12-08,14,15,,SEA,,BUF,W 26-18,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,John Friesz,FrieJo00
84,80,1996,1996-12-15,15,16,,SEA,@,JAX,L 13-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,John Friesz,FrieJo00
85,81,1996,1996-12-22,16,17,,SEA,@,OAK,W 28-21,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,John Friesz,FrieJo00
86,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Fmb,FL,FF,FR,Yds,TD,Status,John Friesz,FrieJo00
87,82,1997,1997-08-31,1,1,30.104,SEA,,NYJ,L 3-41,*,10,21,47.62,79,0,0,57.4,1,5,3.76,3.76,1,0,0.00,0,1,0,0,1,-2,0,,John Friesz,FrieJo00
88,83,1997,1997-09-07,2,2,,SEA,,DEN,L 14-35,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,John Friesz,FrieJo00
89,84,1997,1997-09-14,3,3,,SEA,@,IND,W 31-3,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,John Friesz,FrieJo00
