,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Punting,Punting,Punting,Punting,Unnamed: 46_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,,
151,143,1992,1992-11-22,11,12,,DEN,@,RAI,L 0-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,John Elway,ElwaJo00
152,144,1992,1992-11-30,12,13,,DEN,@,SEA,L 13-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,John Elway,ElwaJo00
153,145,1992,1992-12-06,13,14,,DEN,,DAL,L 27-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,John Elway,ElwaJo00
154,146,1992,1992-12-12,14,15,,DEN,@,BUF,L 17-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,John Elway,ElwaJo00
155,147,1992,1992-12-20,15,16,32.175,DEN,,SEA,W 10-6,*,20,29,68.97,210,0,3,50.1,2,6,7.24,2.59,0,0,,0,,0,0,,0,0.0%,,,0,0,1,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
156,148,1992,1992-12-27,16,17,32.182,DEN,@,KAN,L 20-42,*,16,32,50.00,211,1,2,55.6,6,56,6.59,4.41,2,7,3.50,0,,0,0,,0,0.0%,,,0,0,3,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
157,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,John Elway,ElwaJo00
158,149,1993,1993-09-05,1,1,33.069,DEN,@,NYJ,W 26-20,*,20,29,68.97,269,2,0,121.2,2,15,9.28,10.66,5,19,3.80,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
159,150,1993,1993-09-12,2,2,33.076,DEN,,SDG,W 34-17,*,24,34,70.59,294,2,1,104.3,1,10,8.65,8.50,1,-1,-1.00,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
160,151,1993,1993-09-20,3,3,33.084,DEN,@,KAN,L 7-15,*,28,45,62.22,300,1,1,79.9,0,0,6.67,6.11,1,0,0.00,0,,0,0,,0,0.0%,,,0,0,0,,0,1,0,0,0,0,,0,,John Elway,ElwaJo00
161,152,1993,1993-10-03,4,5,33.097,DEN,,IND,W 35-13,*,20,30,66.67,230,2,0,111.8,1,2,7.67,9.00,4,30,7.50,0,,0,0,,0,0.0%,,,0,0,1,,0,0,-4,0,0,0,,0,,John Elway,ElwaJo00
162,153,1993,1993-10-10,5,6,33.104,DEN,@,GNB,L 27-30,*,33,59,55.93,367,1,1,73.2,4,34,6.22,5.80,5,27,5.40,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
163,154,1993,1993-10-18,6,7,33.112,DEN,,RAI,L 20-23,*,16,30,53.33,188,2,1,81.0,7,67,6.27,6.10,2,8,4.00,0,,0,0,,0,0.0%,,,0,0,1,,0,1,0,0,0,0,,0,,John Elway,ElwaJo00
164,155,1993,1993-10-31,7,9,33.125,DEN,,SEA,W 28-17,*,23,36,63.89,255,2,1,91.8,2,16,7.08,6.94,3,-2,-0.67,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
165,156,1993,1993-11-07,8,10,33.132,DEN,@,CLE,W 29-14,*,17,23,73.91,244,3,0,147.5,1,11,10.61,13.22,2,7,3.50,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
166,157,1993,1993-11-14,9,11,33.139,DEN,,MIN,L 23-26,*,30,40,75.00,290,2,1,101.0,4,40,7.25,7.13,2,8,4.00,0,,0,0,,0,0.0%,,,0,0,1,,0,0,-1,0,0,0,,0,,John Elway,ElwaJo00
167,158,1993,1993-11-21,10,12,33.146,DEN,,PIT,W 37-13,*,18,25,72.00,276,1,0,121.4,2,19,11.04,11.84,2,8,4.00,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
168,159,1993,1993-11-28,11,13,33.153,DEN,@,SEA,W 17-9,*,20,37,54.05,226,1,1,70.3,4,20,6.11,5.43,5,5,1.00,0,,0,0,,0,0.0%,,,0,0,2,,0,2,0,0,0,0,,0,,John Elway,ElwaJo00
169,160,1993,1993-12-05,12,14,33.160,DEN,@,SDG,L 10-13,*,14,32,43.75,171,0,1,47.8,5,34,5.34,3.94,1,10,10.00,0,,0,0,,0,0.0%,,,0,0,2,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
170,161,1993,1993-12-12,13,15,33.167,DEN,,KAN,W 27-21,*,20,30,66.67,221,3,2,93.9,2,17,7.37,6.37,4,1,0.25,0,,0,0,,0,0.0%,,,0,0,1,,0,1,0,0,0,0,,0,,John Elway,ElwaJo00
171,162,1993,1993-12-18,14,16,33.173,DEN,@,CHI,W 13-3,*,14,24,58.33,113,0,0,70.3,3,8,4.71,4.71,4,8,2.00,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
172,163,1993,1993-12-26,15,17,33.181,DEN,,TAM,L 10-17,*,26,41,63.41,225,0,0,77.8,1,0,5.49,5.49,1,4,4.00,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
173,164,1993,1994-01-02,16,18,33.188,DEN,@,RAI,L 30-33,*,25,36,69.44,361,3,0,129.5,0,0,10.03,11.69,2,21,10.50,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
174,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,John Elway,ElwaJo00
175,165,1994,1994-09-04,1,1,34.068,DEN,,SDG,L 34-37,*,36,46,78.26,371,3,2,103.9,4,30,8.07,7.41,1,1,1.00,0,1,0,0,,0,0.0%,0.00,,0,0,1,1,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
176,166,1994,1994-09-11,2,2,34.075,DEN,@,NYJ,L 22-25,*,29,42,69.05,319,1,1,89.3,1,3,7.60,7.00,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
177,167,1994,1994-09-18,3,3,34.082,DEN,,RAI,L 16-48,*,14,33,42.42,151,0,1,43.9,3,21,4.58,3.21,2,22,11.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
178,168,1994,1994-09-26,4,4,34.090,DEN,@,BUF,L 20-27,*,26,46,56.52,280,1,1,72.7,4,20,6.09,5.54,5,37,7.40,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
179,169,1994,1994-10-09,5,6,34.103,DEN,@,SEA,W 16-9,*,15,29,51.72,146,0,0,66.2,2,18,5.03,5.03,4,-2,-0.50,1,0,0,0,,0,0.0%,,,1,6,1,0,0,1,-5,0,0,0,,0,,John Elway,ElwaJo00
180,170,1994,1994-10-17,6,7,34.111,DEN,,KAN,L 28-31,*,18,29,62.07,263,2,0,114.6,6,30,9.07,10.45,6,38,6.33,1,0,0,0,,0,0.0%,,,1,6,2,1,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
181,171,1994,1994-10-23,7,8,34.117,DEN,@,SDG,W 20-15,*,22,31,70.97,241,1,1,90.9,3,16,7.77,6.97,7,21,3.00,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
182,172,1994,1994-10-30,8,9,34.124,DEN,,CLE,W 26-14,*,30,41,73.17,349,2,0,114.8,1,6,8.51,9.49,2,14,7.00,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
183,173,1994,1994-11-06,9,10,34.131,DEN,@,RAM,L 21-27,*,24,45,53.33,241,2,0,83.7,1,5,5.36,6.24,3,18,6.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
184,174,1994,1994-11-13,10,11,34.138,DEN,,SEA,W 17-10,*,17,32,53.13,146,0,2,39.3,2,18,4.56,1.75,9,36,4.00,1,0,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,0,0,,0,,John Elway,ElwaJo00
