,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 38_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
49,45,1982,1982-09-19,2,2,27.097,CHI,,NOR,L 0-10,,2,4,50.00,16,0,2,20.8,1,12,4.00,-18.50,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
50,46,1982,1982-11-28,4,12,27.167,CHI,@,MIN,L 7-35,,3,9,33.33,20,0,2,2.8,0,0,2.22,-7.78,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
51,47,1982,1982-12-19,7,15,27.188,CHI,,STL,L 7-10,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,0,0,,,,,,,,Vince Evans,EvanVi00
52,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Vince Evans,EvanVi00
53,48,1983,1983-09-04,1,1,28.082,CHI,,ATL,L 17-20,,1,1,100.00,19,0,0,118.7,0,0,19.00,19.00,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
54,49,1983,1983-09-18,3,3,28.096,CHI,@,NOR,L 31-34,,7,14,50.00,128,0,2,42.3,3,32,9.14,2.71,2,11,5.50,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
55,50,1983,1983-09-25,4,4,28.103,CHI,@,BAL,L 19-22,,8,16,50.00,153,1,2,64.8,0,0,9.56,5.19,3,10,3.33,1,0,0,,0,1,6,0,,0,0,0,0,,Vince Evans,EvanVi00
56,51,1983,1983-10-02,5,5,28.110,CHI,,DEN,W 31-14,,1,3,33.33,72,1,1,81.9,0,0,24.00,15.67,4,4,1.00,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
57,52,1983,1983-10-09,6,6,28.117,CHI,,MIN,L 14-23,,11,21,52.38,167,0,0,78.9,1,3,7.95,7.95,3,30,10.00,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
58,53,1983,1983-10-16,7,7,28.124,CHI,@,DET,L 17-31,*,28,45,62.22,336,2,0,99.9,4,27,7.47,8.36,2,19,9.50,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
59,54,1983,1983-10-23,8,8,28.131,CHI,@,PHI,W 7-6,*,9,18,50.00,102,1,0,85.9,2,16,5.67,6.78,4,41,10.25,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
60,55,1983,1983-10-30,9,9,28.138,CHI,,DET,L 17-38,*,11,23,47.83,131,0,2,29.4,1,14,5.70,1.78,3,14,4.67,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
61,56,1983,1983-11-13,11,11,28.152,CHI,,PHI,W 17-14,,0,4,0.00,0,0,0,39.6,0,0,0.00,0.00,1,13,13.00,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
62,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Vince Evans,EvanVi00
63,57,1987,1987-10-04,3,4,32.112,RAI,,KAN,W 35-17,*,10,18,55.56,248,2,0,137.5,0,0,13.78,16.00,4,63,15.75,1,0,0,,0,1,6,0,,0,0,0,0,,Vince Evans,EvanVi00
64,58,1987,1987-10-12,4,5,32.120,RAI,@,DEN,L 14-30,*,18,34,52.94,175,1,3,40.7,2,7,5.15,1.76,3,34,11.33,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
65,59,1987,1987-10-18,5,6,32.126,RAI,,SDG,L 17-23,*,11,31,35.48,207,2,1,67.5,5,31,6.68,6.52,4,47,11.75,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
66,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Vince Evans,EvanVi00
67,60,1989,1989-11-19,11,11,34.158,RAI,@,HOU,L 7-23,,2,2,100.00,50,0,0,118.7,2,19,25.00,25.00,1,16,16.00,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
68,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Vince Evans,EvanVi00
69,61,1990,1990-09-30,4,4,35.108,RAI,,CHI,W 24-10,,0,0,,0,0,0,,,0,,,1,-2,-2.00,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
70,62,1990,1990-11-25,11,12,35.164,RAI,,KAN,L 24-27,,1,1,100.00,36,0,0,118.7,0,0,36.00,36.00,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
71,63,1990,1990-12-02,12,13,35.171,RAI,@,DEN,W 23-20,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,Vince Evans,EvanVi00
72,64,1990,1990-12-16,14,15,35.185,RAI,,CIN,W 24-7,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,Vince Evans,EvanVi00
73,65,1990,1990-12-22,15,16,35.191,RAI,@,MIN,W 28-24,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,Vince Evans,EvanVi00
74,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Vince Evans,EvanVi00
75,66,1991,1991-09-01,1,1,36.079,RAI,@,HOU,L 17-47,,6,10,60.00,127,1,1,97.9,1,2,12.70,10.20,3,11,3.67,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
76,67,1991,1991-09-08,2,2,,RAI,,DEN,W 16-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
77,68,1991,1991-09-15,3,3,,RAI,,IND,W 16-0,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
78,69,1991,1991-09-22,4,4,,RAI,@,ATL,L 17-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
79,70,1991,1991-09-29,5,5,,RAI,,SFO,W 12-6,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
80,71,1991,1991-10-06,6,6,,RAI,,SDG,L 13-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
81,72,1991,1991-10-13,7,7,,RAI,@,SEA,W 23-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
82,73,1991,1991-10-20,8,8,,RAI,,RAM,W 20-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
83,74,1991,1991-10-28,9,9,,RAI,@,KAN,L 21-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
84,75,1991,1991-11-10,10,11,,RAI,@,DEN,W 17-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
85,76,1991,1991-11-17,11,12,36.156,RAI,,SEA,W 31-7,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,-4,-2.00,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
86,77,1991,1991-11-24,12,13,36.163,RAI,@,CIN,W 38-14,,0,0,,0,0,0,,,0,,,2,2,1.00,0,0,0,,0,0,0,0,,0,0,0,0,,Vince Evans,EvanVi00
87,78,1991,1991-12-01,13,14,,RAI,@,SDG,W 9-7,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Evans,EvanVi00
