,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Unnamed: 34_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 46_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,,
33,30,1998,1998-11-01,8,9,36.009,BUF,,MIA,W 30-24,*,15,26,57.69,206,3,1,105.6,1,9,7.92,8.50,2,9,4.50,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
34,31,1998,1998-11-08,9,10,36.016,BUF,@,NYJ,L 12-34,*,12,30,40.00,154,0,2,29.0,2,20,5.13,2.13,3,2,0.67,0,,,,,,,0,0,0.0,,,,,,0,,0,1,0,0,,Doug Flutie,FlutDo00
35,32,1998,1998-11-15,10,11,36.023,BUF,,NWE,W 13-10,*,14,26,53.85,178,1,2,56.3,0,0,6.85,4.15,11,49,4.45,0,,,,,,,0,0,0.0,,,,,,1,0,0,2,-3,0,,Doug Flutie,FlutDo00
36,33,1998,1998-11-22,11,12,36.030,BUF,,IND,W 34-11,*,20,28,71.43,230,2,0,119.6,1,8,8.21,9.64,2,10,5.00,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
37,34,1998,1998-11-29,12,13,36.037,BUF,@,NWE,L 21-25,*,21,39,53.85,339,2,0,100.3,1,10,8.69,9.72,5,30,6.00,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
38,35,1998,1998-12-06,13,14,36.044,BUF,@,CIN,W 33-20,*,18,30,60.00,319,2,3,79.0,2,10,10.63,7.47,5,21,4.20,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
39,36,1998,1998-12-13,14,15,36.051,BUF,,OAK,W 44-21,*,17,26,65.38,184,2,0,111.7,1,2,7.08,8.62,3,20,6.67,0,,,,,,,0,0,0.0,,,,,,1,0,0,0,-10,0,,Doug Flutie,FlutDo00
40,37,1998,1998-12-19,15,16,36.057,BUF,,NYJ,L 10-17,*,14,38,36.84,220,1,1,54.7,1,3,5.79,5.13,3,27,9.00,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
41,38,1998,1998-12-27,16,17,,BUF,@,NOR,W 45-33,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Doug Flutie,FlutDo00
42,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,Doug Flutie,FlutDo00
