,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Int,Yds,TD,PD,,
65,57,1950,1950-10-29,6,7,36.226,WAS,@,PHI,L 3-35,,4,9,44.44,16,0,3,12.0,,7,1.78,-13.22,,,,,0,0,,,,,Sammy Baugh,BaugSa00
66,58,1950,1950-11-05,7,8,36.233,WAS,@,NYG,L 21-24,*,9,16,56.25,119,1,0,100.8,,13,7.44,8.69,2,6,3.00,0,0,0,,,,,Sammy Baugh,BaugSa00
67,59,1950,1950-11-12,8,9,36.240,WAS,,PHI,L 0-33,*,3,9,33.33,30,0,1,4.2,,,3.33,-1.67,,,,,0,0,,,,,Sammy Baugh,BaugSa00
68,60,1950,1950-11-26,10,11,36.254,WAS,,BCL,W 38-28,*,22,35,62.86,281,3,2,92.7,,14,8.03,7.17,1,1,1.00,1,1,6,,,,,Sammy Baugh,BaugSa00
69,61,1950,1950-12-03,11,12,36.261,WAS,@,PIT,W 24-7,*,13,23,56.52,167,1,1,75.8,,,7.26,6.17,1,5,5.00,0,0,0,,,,,Sammy Baugh,BaugSa00
70,62,1950,1950-12-10,12,13,36.268,WAS,,CLE,L 21-45,,7,17,41.18,87,1,2,37.7,,,5.12,1.00,2,4,2.00,0,0,0,,,,,Sammy Baugh,BaugSa00
71,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Int,Yds,TD,PD,Sammy Baugh,BaugSa00
72,63,1951,1951-09-30,1,1,37.197,WAS,@,DET,L 17-35,,0,1,0.00,0,0,0,39.6,,,0.00,0.00,,,,,0,0,,,,,Sammy Baugh,BaugSa00
73,64,1951,1951-10-14,3,3,37.211,WAS,@,CLE,L 0-45,,4,8,50.00,56,0,2,33.3,,,7.00,-4.25,1,-1,-1.00,0,0,0,,,,,Sammy Baugh,BaugSa00
74,65,1951,1951-10-21,4,4,37.218,WAS,,CRD,W 7-3,*,3,7,42.86,63,1,1,75.3,,5,9.00,5.43,,,,,0,0,,,,,Sammy Baugh,BaugSa00
