,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Punting,Punting,Punting,Punting,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,,
71,66,1962,1962-11-18,10,10,31.029,RAM,,SFO,L 17-24,,8,12,66.67,149,2,1,114.2,,,12.42,12.00,1,-1,-1.00,0,0,0,0,0,,0,Zeke Bratkowski,BratZe00
72,67,1962,1962-11-25,11,11,31.036,RAM,@,MIN,T 24-24,,2,2,100.00,31,0,0,118.7,2,19,15.50,15.50,,,,,0,0,0,0,,0,Zeke Bratkowski,BratZe00
73,68,1962,1962-12-09,13,13,31.050,RAM,@,CHI,L 14-30,,2,4,50.00,24,0,2,29.2,,,6.00,-16.50,,,,,0,0,0,0,,0,Zeke Bratkowski,BratZe00
74,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Zeke Bratkowski,BratZe00
75,69,1963,1963-09-21,2,2,31.336,RAM,,WAS,L 14-37,*,15,30,50.00,221,1,1,71.7,4,48,7.37,6.53,1,-1,-1.00,0,0,0,0,0,,0,Zeke Bratkowski,BratZe00
76,70,1963,1963-09-29,3,3,31.344,RAM,@,CLE,L 6-20,*,8,14,57.14,85,0,1,45.2,3,21,6.07,2.86,,,,,0,0,0,0,,0,Zeke Bratkowski,BratZe00
77,71,1963,1963-10-06,4,4,31.351,RAM,@,GNB,L 10-42,*,8,16,50.00,46,1,0,77.1,2,15,2.88,4.13,1,1,1.00,0,0,0,0,0,,0,Zeke Bratkowski,BratZe00
78,72,1963,1963-10-13,5,5,31.358,RAM,,CHI,L 14-52,*,14,22,63.64,119,1,4,53.2,2,12,5.41,-1.86,1,-1,-1.00,0,0,0,0,0,,0,Zeke Bratkowski,BratZe00
79,73,1963,1963-11-10,9,9,32.021,GNB,,MIN,W 28-7,,1,1,100.00,10,1,0,147.9,0,0,10.00,30.00,,,,,0,0,0,0,,0,Zeke Bratkowski,BratZe00
80,74,1963,1963-11-17,10,10,32.028,GNB,@,CHI,L 7-26,,3,10,30.00,86,0,3,23.3,0,0,8.60,-4.90,1,-2,-2.00,0,0,0,0,0,,0,Zeke Bratkowski,BratZe00
81,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Zeke Bratkowski,BratZe00
82,75,1964,1964-09-28,3,3,32.344,GNB,@,DET,W 14-10,,2,5,40.00,30,0,0,60.4,2,16,6.00,6.00,2,0,0.00,0,0,0,0,0,,0,Zeke Bratkowski,BratZe00
83,76,1964,1964-10-25,7,7,33.005,GNB,,RAM,L 17-27,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,0,0,0,0,,0,Zeke Bratkowski,BratZe00
