,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 42_level_0,qb,qb_tag
32,31,1991,1991-11-17,11,12,,DAL,@,NYG,L 9-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Steve Beuerlein,BeueSt00
33,32,1991,1991-11-24,12,13,26.262,DAL,@,WAS,W 24-21,,7,12,58.33,109,1,0,116.3,1,6,9.08,10.75,2,-7,-3.50,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Beuerlein,BeueSt00
34,33,1991,1991-11-28,13,14,26.266,DAL,,PIT,W 20-10,*,14,25,56.00,217,1,0,98.2,4,36,8.68,9.48,1,-1,-1.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Beuerlein,BeueSt00
35,34,1991,1991-12-08,14,15,26.276,DAL,,NOR,W 23-14,*,17,29,58.62,184,1,0,88.9,0,0,6.34,7.03,1,-2,-2.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Beuerlein,BeueSt00
36,35,1991,1991-12-15,15,16,26.283,DAL,@,PHI,W 25-13,*,9,31,29.03,145,1,0,57.3,1,7,4.68,5.32,3,-4,-1.33,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Beuerlein,BeueSt00
37,36,1991,1991-12-22,16,17,26.290,DAL,,ATL,W 31-27,*,18,35,51.43,228,1,2,57.8,0,0,6.51,4.51,0,0,,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Beuerlein,BeueSt00
38,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Steve Beuerlein,BeueSt00
39,37,1992,1992-09-07,1,1,27.184,DAL,,WAS,W 23-10,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,0,0,0,,,0,0,0,,Steve Beuerlein,BeueSt00
40,38,1992,1992-09-13,2,2,27.190,DAL,@,NYG,W 34-28,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,0,0,0,,,0,0,0,,Steve Beuerlein,BeueSt00
41,39,1992,1992-09-20,3,3,27.197,DAL,,PHO,W 31-20,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,0,0,0,,,0,0,0,,Steve Beuerlein,BeueSt00
42,40,1992,1992-10-05,4,5,27.212,DAL,@,PHI,L 7-31,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,0,0,0,,,0,0,0,,Steve Beuerlein,BeueSt00
43,41,1992,1992-10-11,5,6,27.218,DAL,,SEA,W 27-0,,2,5,40.00,27,0,0,57.9,0,0,5.40,5.40,0,0,,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Beuerlein,BeueSt00
44,42,1992,1992-10-18,6,7,27.225,DAL,,KAN,W 17-10,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,0,0,0,,,0,0,0,,Steve Beuerlein,BeueSt00
45,43,1992,1992-10-25,7,8,27.232,DAL,@,RAI,W 28-13,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,0,0,0,,,0,0,0,,Steve Beuerlein,BeueSt00
46,44,1992,1992-11-01,8,9,27.239,DAL,,PHI,W 20-10,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,0,0,0,,,0,0,0,,Steve Beuerlein,BeueSt00
47,45,1992,1992-11-08,9,10,27.246,DAL,@,DET,W 37-3,,2,2,100.00,26,0,0,118.7,0,0,13.00,13.00,0,0,,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Beuerlein,BeueSt00
48,46,1992,1992-11-15,10,11,27.253,DAL,,RAM,L 23-27,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,0,0,0,,,0,0,0,,Steve Beuerlein,BeueSt00
