,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 34_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Craig Erickson,EricCr00
34,33,1994,1994-09-04,1,1,25.110,TAM,@,CHI,L 9-21,*,18,32,56.25,197,0,0,74.6,3,16,6.16,6.16,1,1,1.00,0,0,0,0,,0,0,0,0,,Craig Erickson,EricCr00
35,34,1994,1994-09-11,2,2,25.117,TAM,,IND,W 24-10,*,19,24,79.17,313,3,0,158.3,0,0,13.04,15.54,4,2,0.50,0,0,0,0,,0,0,0,0,,Craig Erickson,EricCr00
36,35,1994,1994-09-18,3,3,25.124,TAM,,NOR,L 7-9,*,17,32,53.13,176,1,0,79.7,5,29,5.50,6.13,2,16,8.00,0,0,0,1,0,0,0,0,0,,Craig Erickson,EricCr00
37,36,1994,1994-09-25,4,4,25.131,TAM,@,GNB,L 3-30,*,7,20,35.00,124,0,1,36.2,2,12,6.20,3.95,0,0,,0,0,0,1,1,0,0,0,0,,Craig Erickson,EricCr00
38,37,1994,1994-10-02,5,5,25.138,TAM,,DET,W 24-14,*,10,20,50.00,122,1,0,85.8,1,7,6.10,7.10,3,0,0.00,0,0,0,0,,0,0,0,0,,Craig Erickson,EricCr00
39,38,1994,1994-10-09,6,6,25.145,TAM,@,ATL,L 13-34,*,18,30,60.00,172,1,0,87.1,4,19,5.73,6.40,3,20,6.67,0,0,0,2,0,0,1,0,0,,Craig Erickson,EricCr00
40,39,1994,1994-10-23,7,8,25.159,TAM,@,SFO,L 16-41,*,5,7,71.43,67,1,0,141.1,0,0,9.57,12.43,0,0,,0,0,0,0,,0,0,0,0,,Craig Erickson,EricCr00
41,40,1994,1994-10-30,8,9,25.166,TAM,,MIN,L 13-36,*,10,18,55.56,129,1,2,57.2,2,11,7.17,3.28,0,0,,0,0,0,1,1,0,0,0,0,,Craig Erickson,EricCr00
42,41,1994,1994-11-06,9,10,,TAM,,CHI,L 6-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Craig Erickson,EricCr00
43,42,1994,1994-11-13,10,11,25.180,TAM,@,DET,L 9-14,*,16,23,69.57,243,0,0,104.1,3,25,10.57,10.57,3,6,2.00,0,0,0,1,0,0,0,-1,0,,Craig Erickson,EricCr00
44,43,1994,1994-11-20,11,12,25.187,TAM,@,SEA,L 21-22,*,22,32,68.75,212,2,1,94.8,0,0,6.63,6.47,1,1,1.00,0,0,0,0,,0,0,0,0,,Craig Erickson,EricCr00
45,44,1994,1994-11-27,12,13,25.194,TAM,@,MIN,W 20-17,*,20,38,52.63,254,1,1,71.6,0,0,6.68,6.03,2,4,2.00,0,0,0,0,,0,0,0,0,,Craig Erickson,EricCr00
46,45,1994,1994-12-04,13,14,25.201,TAM,,WAS,W 26-21,*,18,35,51.43,251,1,2,60.5,0,0,7.17,5.17,3,2,0.67,1,1,6,0,,0,0,0,0,,Craig Erickson,EricCr00
47,46,1994,1994-12-11,14,15,25.208,TAM,,RAM,W 24-14,*,10,22,45.45,231,2,0,114.0,1,1,10.50,12.32,2,4,2.00,0,0,0,0,,0,0,0,0,,Craig Erickson,EricCr00
48,47,1994,1994-12-18,15,16,25.215,TAM,@,WAS,W 17-14,*,19,34,55.88,267,0,2,56.9,0,0,7.85,5.21,2,12,6.00,0,0,0,0,,0,0,0,0,,Craig Erickson,EricCr00
49,48,1994,1994-12-24,16,17,25.221,TAM,,GNB,L 19-34,*,16,32,50.00,161,2,1,72.5,1,9,5.03,4.88,0,0,,0,0,0,0,,0,0,0,0,,Craig Erickson,EricCr00
50,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Craig Erickson,EricCr00
51,49,1995,1995-09-03,1,1,26.109,IND,,CIN,L 21-24,*,19,31,61.29,196,1,3,50.7,2,13,6.32,2.61,1,0,0.00,0,0,0,1,0,0,0,-3,0,,Craig Erickson,EricCr00
52,50,1995,1995-09-10,2,2,26.116,IND,@,NYJ,W 27-24,*,12,18,66.67,141,0,1,67.1,3,25,7.83,5.33,1,0,0.00,0,0,0,1,1,0,0,0,0,,Craig Erickson,EricCr00
