,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Punting,Punting,Punting,Punting,Unnamed: 38_level_0,qb,qb_tag
29,29,1993,1993-12-12,13,15,,NYG,,IND,W 20-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Dave Brown,BrowDa00
30,30,1993,1993-12-20,14,16,23.298,NYG,@,NOR,W 24-14,,0,0,,0,0,0,,,,,,3,-4,-1.33,0,0,0,0,,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
31,31,1993,1993-12-26,15,17,,NYG,@,PHO,L 6-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Dave Brown,BrowDa00
32,32,1993,1994-01-02,16,18,,NYG,,DAL,L 13-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Dave Brown,BrowDa00
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,Dave Brown,BrowDa00
34,33,1994,1994-09-04,1,1,24.191,NYG,,PHI,W 28-23,*,10,20,50.00,171,1,1,75.2,2,14,8.55,7.30,5,3,0.60,0,0,0,0,,0,0,0,0,1,33,33.00,0,,Dave Brown,BrowDa00
35,34,1994,1994-09-11,2,2,24.198,NYG,@,ARI,W 20-17,*,11,17,64.71,119,2,1,99.9,4,31,7.00,6.71,6,31,5.17,0,0,0,1,1,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
36,35,1994,1994-09-18,3,3,24.205,NYG,,WAS,W 31-23,*,14,19,73.68,221,1,0,129.5,1,6,11.63,12.68,5,14,2.80,0,0,0,0,,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
37,36,1994,1994-10-02,4,5,24.219,NYG,@,NOR,L 22-27,*,20,35,57.14,180,2,2,66.4,7,28,5.14,3.71,2,1,0.50,0,0,0,2,0,0,1,-4,0,0,0,,0,,Dave Brown,BrowDa00
38,37,1994,1994-10-10,5,6,24.227,NYG,,MIN,L 10-27,*,19,36,52.78,226,0,3,37.5,4,23,6.28,2.53,3,14,4.67,1,1,6,0,1,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
39,38,1994,1994-10-16,6,7,24.233,NYG,@,RAM,L 10-17,*,15,27,55.56,165,0,2,43.0,1,4,6.11,2.78,1,2,2.00,0,0,0,0,,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
40,39,1994,1994-10-23,7,8,24.240,NYG,,PIT,L 6-10,*,13,25,52.00,206,0,2,46.4,5,44,8.24,4.64,6,19,3.17,0,0,0,2,1,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
41,40,1994,1994-10-30,8,9,24.247,NYG,,DET,L 25-28,*,19,25,76.00,159,1,1,88.6,1,10,6.36,5.36,6,11,1.83,0,0,0,2,0,0,2,-4,0,0,0,,0,,Dave Brown,BrowDa00
42,41,1994,1994-11-07,9,10,24.255,NYG,@,DAL,L 10-38,*,4,17,23.53,56,0,0,40.8,3,10,3.29,3.29,2,10,5.00,0,0,0,1,1,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
43,42,1994,1994-11-13,10,11,,NYG,,ARI,L 9-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Dave Brown,BrowDa00
44,43,1994,1994-11-21,11,12,24.269,NYG,@,HOU,W 13-10,*,4,7,57.14,19,0,0,62.2,0,0,2.71,2.71,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
45,44,1994,1994-11-27,12,13,24.275,NYG,@,WAS,W 21-19,*,10,17,58.82,161,2,0,129.8,1,1,9.47,11.82,5,10,2.00,1,1,6,0,,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
46,45,1994,1994-12-04,13,14,24.282,NYG,@,CLE,W 16-13,*,17,33,51.52,226,1,1,71.0,4,24,6.85,6.09,5,14,2.80,0,0,0,0,,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
47,46,1994,1994-12-11,14,15,24.289,NYG,,CIN,W 27-20,*,16,26,61.54,222,1,2,69.7,0,0,8.54,5.85,3,7,2.33,0,0,0,1,0,0,0,-3,0,0,0,,0,,Dave Brown,BrowDa00
48,47,1994,1994-12-18,15,16,24.296,NYG,@,PHI,W 16-13,*,18,27,66.67,264,0,1,82.9,5,34,9.78,8.11,6,47,7.83,0,0,0,1,0,0,1,0,0,0,0,,0,,Dave Brown,BrowDa00
49,48,1994,1994-12-24,16,17,24.302,NYG,,DAL,W 15-10,*,11,19,57.89,141,1,0,98.8,4,19,7.42,8.47,5,13,2.60,0,0,0,1,0,0,0,-4,0,1,24,24.00,0,,Dave Brown,BrowDa00
50,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,Dave Brown,BrowDa00
51,49,1995,1995-09-04,1,1,25.191,NYG,,DAL,L 0-35,*,20,34,58.82,155,0,1,57.8,2,9,4.56,3.24,2,6,3.00,0,0,0,1,0,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
52,50,1995,1995-09-10,2,2,25.197,NYG,@,KAN,L 17-20,*,10,14,71.43,151,1,0,130.4,4,15,10.79,12.21,3,16,5.33,0,0,0,1,1,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
53,51,1995,1995-09-17,3,3,25.204,NYG,@,GNB,L 6-14,*,23,50,46.00,199,0,1,48.7,2,12,3.98,3.08,3,9,3.00,0,0,0,0,,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
54,52,1995,1995-09-24,4,4,25.211,NYG,,NOR,W 45-29,*,19,27,70.37,258,1,1,97.5,1,2,9.56,8.63,1,7,7.00,0,0,0,0,,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
55,53,1995,1995-10-01,5,5,25.218,NYG,@,SFO,L 6-20,*,22,43,51.16,218,0,1,56.2,2,14,5.07,4.02,0,0,,0,0,0,1,0,0,1,0,0,0,0,,0,,Dave Brown,BrowDa00
56,54,1995,1995-10-08,6,6,25.225,NYG,,ARI,W 27-21,*,14,23,60.87,166,2,2,75.6,2,8,7.22,5.04,5,42,8.40,1,1,6,1,1,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
57,55,1995,1995-10-15,7,7,25.232,NYG,,PHI,L 14-17,*,9,18,50.00,82,0,0,62.7,5,16,4.56,4.56,2,7,3.50,0,0,0,1,0,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
58,56,1995,1995-10-29,8,9,25.246,NYG,@,WAS,W 24-15,*,11,22,50.00,139,1,0,85.2,2,10,6.32,7.23,1,2,2.00,0,0,0,0,,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
59,57,1995,1995-11-05,9,10,25.253,NYG,@,SEA,L 28-30,*,20,41,48.78,299,2,0,89.4,3,13,7.29,8.27,3,28,9.33,0,0,0,0,,0,0,0,0,1,15,15.00,0,,Dave Brown,BrowDa00
60,58,1995,1995-11-12,10,11,25.260,NYG,,OAK,L 13-17,*,18,31,58.06,215,0,0,79.4,4,24,6.94,6.94,4,24,6.00,1,1,6,1,1,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
61,59,1995,1995-11-19,11,12,25.267,NYG,@,PHI,L 19-28,*,13,25,52.00,160,1,2,52.1,7,38,6.40,3.60,2,4,2.00,0,0,0,2,0,0,1,0,0,0,0,,0,,Dave Brown,BrowDa00
62,60,1995,1995-11-26,12,13,25.274,NYG,,CHI,L 24-27,*,17,33,51.52,217,1,0,82.5,0,0,6.58,7.18,4,19,4.75,0,0,0,0,,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
63,61,1995,1995-11-30,13,14,25.278,NYG,@,ARI,W 10-6,*,17,27,62.96,144,1,0,89.1,3,11,5.33,6.07,1,0,0.00,0,0,0,0,,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
64,62,1995,1995-12-10,14,15,25.288,NYG,,WAS,W 20-13,*,10,12,83.33,91,1,0,126.0,4,19,7.58,9.25,5,4,0.80,0,0,0,0,,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
65,63,1995,1995-12-17,15,16,25.295,NYG,@,DAL,L 20-21,*,10,20,50.00,111,0,1,46.0,2,8,5.55,3.30,5,47,9.40,1,1,6,0,,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
66,64,1995,1995-12-23,16,17,25.301,NYG,,SDG,L 17-27,*,21,36,58.33,209,0,1,63.3,1,7,5.81,4.56,4,13,3.25,1,1,6,2,1,0,0,-8,0,0,0,,0,,Dave Brown,BrowDa00
67,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,Dave Brown,BrowDa00
68,65,1996,1996-09-01,1,1,26.189,NYG,,BUF,L 20-23,*,11,27,40.74,169,1,0,74.5,5,31,6.26,7.00,4,26,6.50,0,0,0,1,1,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
69,66,1996,1996-09-08,2,2,26.196,NYG,@,DAL,L 0-27,*,10,19,52.63,55,0,1,36.5,3,13,2.89,0.53,1,5,5.00,0,0,0,1,1,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
70,67,1996,1996-09-15,3,3,26.203,NYG,,WAS,L 10-31,*,17,31,54.84,201,1,4,46.0,4,19,6.48,1.32,2,12,6.00,0,0,0,0,,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
71,68,1996,1996-09-22,4,4,26.210,NYG,@,NYJ,W 13-6,*,9,13,69.23,111,1,0,121.0,1,1,8.54,10.08,7,3,0.43,0,0,0,0,,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
72,69,1996,1996-09-29,5,5,26.217,NYG,,MIN,W 15-10,*,18,29,62.07,167,0,0,77.8,5,21,5.76,5.76,6,19,3.17,0,0,0,1,0,0,0,-1,0,0,0,,0,,Dave Brown,BrowDa00
73,70,1996,1996-10-13,6,7,26.231,NYG,,PHI,L 10-19,*,11,25,44.00,105,0,1,39.6,8,42,4.20,2.40,3,16,5.33,0,0,0,2,1,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
74,71,1996,1996-10-20,7,8,26.238,NYG,@,WAS,L 21-31,*,26,43,60.47,298,2,2,77.5,2,11,6.93,5.77,1,3,3.00,0,0,0,0,,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
75,72,1996,1996-10-27,8,9,26.245,NYG,@,DET,W 35-7,*,15,27,55.56,221,1,1,79.4,2,10,8.19,7.26,3,2,0.67,0,0,0,1,0,0,1,-2,0,0,0,,0,,Dave Brown,BrowDa00
76,73,1996,1996-11-03,9,10,26.252,NYG,,ARI,W 16-8,*,2,3,66.67,33,0,0,103.5,1,6,11.00,11.00,1,12,12.00,0,0,0,0,,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
77,74,1996,1996-11-10,10,11,26.259,NYG,@,CAR,L 17-27,*,15,31,48.39,223,2,3,54.3,1,8,7.19,4.13,1,1,1.00,0,0,0,0,,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
78,75,1996,1996-11-17,11,12,26.266,NYG,@,ARI,L 23-31,*,22,41,53.66,262,2,2,69.4,4,22,6.39,5.17,6,32,5.33,0,0,0,1,1,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
79,76,1996,1996-11-24,12,13,26.273,NYG,,DAL,W 20-6,*,12,18,66.67,110,1,1,78.5,1,6,6.11,4.72,3,4,1.33,0,0,0,0,,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
80,77,1996,1996-12-01,13,14,26.280,NYG,@,PHI,L 0-24,*,3,11,27.27,31,0,2,0.0,4,37,2.82,-5.36,3,12,4.00,0,0,0,1,1,0,0,0,0,0,0,,0,,Dave Brown,BrowDa00
