,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 40_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
47,46,2020,2020-12-20,14,15,23.198,NYJ,@,LAR,W 23-20,*,22,31,70.97,207,1,0,99.8,2,11,6.68,7.32,5,18,3.60,0,0,0,1,0,0,0,0,0,65,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
48,47,2020,2020-12-27,15,16,23.205,NYJ,,CLE,W 23-16,*,16,32,50.00,175,2,0,87.4,2,16,5.47,6.72,7,20,2.86,0,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
49,48,2020,2021-01-03,16,17,23.212,NYJ,@,NWE,L 14-28,*,23,34,67.65,266,1,2,76.3,3,27,7.82,5.76,1,3,3.00,0,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
50,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Sam Darnold,DarnSa00
51,49,2021,2021-09-12,1,1,24.099,CAR,,NYJ,W 19-14,*,24,35,68.57,279,1,0,102.0,1,9,7.97,8.54,5,-1,-0.20,1,1,6,1,1,0,0,-1,0,64,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
52,50,2021,2021-09-19,2,2,24.106,CAR,,NOR,W 26-7,*,26,38,68.42,305,2,1,99.1,2,11,8.03,7.89,1,7,7.00,0,0,0,1,0,0,1,6,0,76,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
53,51,2021,2021-09-23,3,3,24.110,CAR,@,HOU,W 24-9,*,23,34,67.65,304,0,0,95.7,3,14,8.94,8.94,8,11,1.38,2,2,12,2,0,0,0,0,0,73,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
54,52,2021,2021-10-03,4,4,24.120,CAR,@,DAL,L 28-36,*,26,39,66.67,301,2,2,85.5,5,35,7.72,6.44,6,35,5.83,2,2,12,0,0,0,0,0,0,70,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
55,53,2021,2021-10-10,5,5,24.127,CAR,,PHI,L 18-21,*,21,37,56.76,177,1,3,44.5,3,19,4.78,1.68,2,10,5.00,0,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
56,54,2021,2021-10-17,6,6,24.134,CAR,,MIN,L 28-34,*,17,41,41.46,207,1,1,55.6,4,19,5.05,4.44,4,48,12.00,0,0,0,1,1,0,0,0,0,74,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
57,55,2021,2021-10-24,7,7,24.141,CAR,@,NYG,L 3-25,*,16,25,64.00,112,0,1,57.4,3,12,4.48,2.68,0,0,,0,0,0,0,0,0,0,0,0,45,70%,0,0%,0,0%,,Sam Darnold,DarnSa00
58,56,2021,2021-10-31,8,8,24.148,CAR,@,ATL,W 19-13,*,13,24,54.17,129,0,0,69.6,0,0,5.38,5.38,8,66,8.25,0,0,0,0,0,0,0,0,0,64,86%,0,0%,0,0%,,Sam Darnold,DarnSa00
59,57,2021,2021-11-07,9,9,24.155,CAR,,NWE,L 6-24,*,16,33,48.48,172,0,3,26.3,1,10,5.21,1.12,3,9,3.00,0,0,0,1,0,0,1,0,0,59,100%,0,0%,0,0%,,Sam Darnold,DarnSa00
60,58,2021,2021-11-14,10,10,,CAR,@,ARI,W 34-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Sam Darnold,DarnSa00
61,59,2021,2021-11-21,11,11,,CAR,,WAS,L 21-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Sam Darnold,DarnSa00
62,60,2021,2021-11-28,12,12,,CAR,@,MIA,L 10-33,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Sam Darnold,DarnSa00
63,61,2021,2021-12-12,13,14,,CAR,,ATL,L 21-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Sam Darnold,DarnSa00
64,62,2021,2021-12-19,14,15,,CAR,@,BUF,L 14-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Sam Darnold,DarnSa00
65,63,2021,2021-12-26,15,16,24.204,CAR,,TAM,L 6-32,,15,32,46.88,190,0,0,65.9,4,21,5.94,5.94,1,11,11.00,0,0,0,1,0,0,1,0,0,44,63%,0,0%,0,0%,,Sam Darnold,DarnSa00
66,64,2021,2022-01-02,16,17,24.211,CAR,@,NOR,L 10-18,*,17,26,65.38,132,0,1,61.7,7,42,5.08,3.35,2,7,3.50,0,0,0,1,1,0,0,0,0,60,98%,0,0%,0,0%,,Sam Darnold,DarnSa00
67,65,2021,2022-01-09,17,18,24.218,CAR,@,TAM,L 17-41,*,29,42,69.05,219,2,1,87.3,2,12,5.21,5.10,8,19,2.38,0,0,0,1,1,0,0,0,0,71,99%,0,0%,0,0%,,Sam Darnold,DarnSa00
68,,,50 Games,,,,,,,17-33-0,,972,1625,59.82,10624,54,52,76.9,133,854,6.54,5.76,162,639,3.94,10,10,60,29,11,0,8,-22,0,,,,,,,,Sam Darnold,DarnSa00
