,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,,
94,89,1981,1981-10-18,7,7,28.086,NWE,,HOU,W 38-10,*,11,19,57.89,164,2,1,99.5,0,0,8.63,8.37,2,24,12.00,1,0,0,,0,1,6,0,,0,0,0,0,Steve Grogan,GrogSt00
95,90,1981,1981-10-25,8,8,28.093,NWE,@,WAS,L 22-24,*,17,30,56.67,306,0,2,64.0,3,23,10.20,7.20,5,9,1.80,0,0,0,,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
96,91,1981,1981-11-01,9,9,28.100,NWE,@,OAK,L 17-27,*,17,30,56.67,233,1,1,78.9,5,39,7.77,6.93,0,0,,0,1,11,11.00,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
97,92,1981,1981-11-08,10,10,28.107,NWE,,MIA,L 27-30,*,23,40,57.50,355,1,4,55.7,1,4,8.88,4.88,2,5,2.50,1,0,0,,0,1,6,0,,0,0,0,0,Steve Grogan,GrogSt00
98,93,1981,1981-11-15,11,11,28.114,NWE,,NYJ,L 6-17,*,9,19,47.37,105,0,1,42.7,3,21,5.53,3.16,1,9,9.00,0,0,0,,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
99,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Steve Grogan,GrogSt00
100,94,1982,1982-11-28,4,12,29.127,NWE,,HOU,W 29-21,*,10,16,62.50,195,3,0,144.5,2,7,12.19,15.94,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
101,95,1982,1982-12-05,5,13,29.134,NWE,@,CHI,L 13-26,*,13,28,46.43,231,0,2,45.4,5,28,8.25,5.04,2,3,1.50,1,0,0,,0,1,6,0,,0,0,0,0,Steve Grogan,GrogSt00
102,96,1982,1982-12-12,6,14,29.141,NWE,,MIA,W 3-0,*,2,5,40.00,13,0,1,8.3,0,0,2.60,-6.40,1,0,0.00,0,0,0,,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
103,97,1982,1982-12-19,7,15,29.148,NWE,@,SEA,W 16-0,*,14,20,70.00,157,1,0,109.8,1,13,7.85,8.85,3,11,3.67,0,0,0,,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
104,98,1982,1982-12-26,8,16,29.155,NWE,@,PIT,L 14-37,*,7,19,36.84,74,0,0,49.0,0,0,3.89,3.89,1,10,10.00,0,0,0,,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
105,99,1982,1983-01-02,9,17,29.162,NWE,,BUF,W 30-19,*,20,34,58.82,260,3,1,100.1,0,0,7.65,8.09,2,18,9.00,0,0,0,,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
106,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Steve Grogan,GrogSt00
107,100,1983,1983-09-04,1,1,30.042,NWE,,BAL,L 23-29,*,13,26,50.00,257,2,1,94.6,7,57,9.88,9.69,4,26,6.50,0,0,0,,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
108,101,1983,1983-09-11,2,2,30.049,NWE,@,MIA,L 24-34,*,10,16,62.50,151,2,1,107.0,4,19,9.44,9.13,2,12,6.00,0,0,0,,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
109,102,1983,1983-09-18,3,3,30.056,NWE,,NYJ,W 23-13,*,9,11,81.82,85,0,0,98.9,2,15,7.73,7.73,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
110,103,1983,1983-09-25,4,4,30.063,NWE,@,PIT,W 28-23,*,9,15,60.00,222,2,1,116.0,2,14,14.80,14.47,3,3,1.00,0,0,0,,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
111,104,1983,1983-10-02,5,5,30.070,NWE,,SFO,L 13-33,*,16,29,55.17,251,2,1,92.7,4,31,8.66,8.48,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
112,105,1983,1983-10-09,6,6,30.077,NWE,@,BAL,L 7-12,*,19,34,55.88,270,1,2,67.0,4,28,7.94,5.88,2,3,1.50,0,0,0,,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
113,106,1983,1983-10-16,7,7,30.084,NWE,,SDG,W 37-21,*,17,33,51.52,180,0,0,67.7,1,2,5.45,5.45,1,1,1.00,1,0,0,,0,1,6,0,,0,0,0,0,Steve Grogan,GrogSt00
