,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 42_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
40,35,1992,1992-11-22,11,12,30.195,SFO,@,RAM,W 27-10,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,0,0,0,,,0,0,0,,Steve Bono,BonoSt00
41,36,1992,1992-11-29,12,13,30.202,SFO,,PHI,W 20-14,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,0,0,0,,,0,0,0,,Steve Bono,BonoSt00
42,37,1992,1992-12-06,13,14,30.209,SFO,,MIA,W 27-3,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,18,9.00,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Bono,BonoSt00
43,38,1992,1992-12-13,14,15,30.216,SFO,@,MIN,W 20-17,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,0,0,0,,,0,0,0,,Steve Bono,BonoSt00
44,39,1992,1992-12-19,15,16,30.222,SFO,,TAM,W 21-14,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,0,0,0,,,0,0,0,,Steve Bono,BonoSt00
45,40,1992,1992-12-28,16,17,30.231,SFO,,DET,W 24-6,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,0,0,0,,,0,0,0,,Steve Bono,BonoSt00
46,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Steve Bono,BonoSt00
47,41,1993,1993-09-05,1,1,,SFO,@,PIT,W 24-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Steve Bono,BonoSt00
48,42,1993,1993-09-13,2,2,,SFO,@,CLE,L 13-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Steve Bono,BonoSt00
49,43,1993,1993-09-19,3,3,,SFO,,ATL,W 37-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Steve Bono,BonoSt00
