,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Unnamed: 36_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 54_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
67,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Andy Dalton,DaltAn00
68,65,2015,2015-09-13,1,1,27.319,CIN,@,OAK,W 33-13,*,25,34,73.53,269,2,0,115.9,0,0,7.91,9.09,4,1,0.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,68,100%,0,0%,0,0%,,Andy Dalton,DaltAn00
69,66,2015,2015-09-20,2,2,27.326,CIN,,SDG,W 24-19,*,16,26,61.54,214,3,0,126.1,0,0,8.23,10.54,5,10,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,66,100%,0,0%,0,0%,,Andy Dalton,DaltAn00
70,67,2015,2015-09-27,3,3,27.333,CIN,@,BAL,W 28-24,*,20,32,62.50,383,3,1,122.3,2,11,11.97,12.44,5,10,2.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,1,1,0,0,0,0,73,100%,0,0%,0,0%,,Andy Dalton,DaltAn00
71,68,2015,2015-10-04,4,4,27.340,CIN,,KAN,W 36-21,*,17,24,70.83,321,1,0,127.1,0,0,13.38,14.21,3,16,5.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,54,100%,0,0%,0,0%,,Andy Dalton,DaltAn00
72,69,2015,2015-10-11,5,5,27.347,CIN,,SEA,W 27-24,*,30,44,68.18,331,2,1,95.9,4,21,7.52,7.41,7,18,2.57,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,85,100%,0,0%,0,0%,,Andy Dalton,DaltAn00
73,70,2015,2015-10-18,6,6,27.354,CIN,@,BUF,W 34-21,*,22,33,66.67,243,3,0,118.6,0,0,7.36,9.18,3,-2,-0.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,-13,0,61,100%,0,0%,0,0%,,Andy Dalton,DaltAn00
74,71,2015,2015-11-01,7,8,28.003,CIN,@,PIT,W 16-10,*,23,38,60.53,231,1,2,64.7,3,13,6.08,4.24,6,4,0.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,-15,0,67,100%,0,0%,0,0%,,Andy Dalton,DaltAn00
75,72,2015,2015-11-05,8,9,28.007,CIN,,CLE,W 31-10,*,21,27,77.78,234,3,0,139.8,2,15,8.67,10.89,6,5,0.83,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,65,97%,0,0%,0,0%,,Andy Dalton,DaltAn00
76,73,2015,2015-11-16,9,10,28.018,CIN,,HOU,L 6-10,*,22,38,57.89,197,0,1,61.0,4,15,5.18,4.00,4,31,7.75,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,67,100%,0,0%,0,0%,,Andy Dalton,DaltAn00
77,74,2015,2015-11-22,10,11,28.024,CIN,@,ARI,L 31-34,*,22,39,56.41,315,2,0,99.8,4,37,8.08,9.10,8,34,4.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,2,1,0,0,-6,0,76,100%,0,0%,0,0%,,Andy Dalton,DaltAn00
78,75,2015,2015-11-29,11,12,28.031,CIN,,STL,W 31-7,*,20,27,74.07,233,3,1,121.4,0,0,8.63,9.19,2,4,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,95%,0,0%,0,0%,,Andy Dalton,DaltAn00
79,76,2015,2015-12-06,12,13,28.038,CIN,@,CLE,W 37-3,*,14,19,73.68,220,2,0,146.8,1,6,11.58,13.68,4,11,2.75,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,50,88%,0,0%,0,0%,,Andy Dalton,DaltAn00
80,77,2015,2015-12-13,13,14,28.045,CIN,,PIT,L 20-33,*,3,5,60.00,59,0,1,61.7,0,0,11.80,2.80,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,16%,0,0%,0,0%,,Andy Dalton,DaltAn00
81,78,2015,2015-12-20,14,15,,CIN,@,SFO,W 24-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Andy Dalton,DaltAn00
82,79,2015,2015-12-28,15,16,,CIN,@,DEN,L 17-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Andy Dalton,DaltAn00
83,80,2015,2016-01-03,16,17,,CIN,,BAL,W 24-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Andy Dalton,DaltAn00
