,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 42_level_0,qb,qb_tag
29,29,2000,2000-12-03,13,14,24.254,NOR,,DEN,L 23-38,*,30,48,62.50,441,2,2,89.0,3,16,9.19,8.15,3,13,4.33,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Aaron Brooks,BrooAa00
30,30,2000,2000-12-10,14,15,24.261,NOR,@,SFO,W 31-27,*,12,29,41.38,203,2,0,88.7,5,31,7.00,8.38,11,108,9.82,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Aaron Brooks,BrooAa00
31,31,2000,2000-12-17,15,16,24.268,NOR,,ATL,W 23-7,*,24,35,68.57,285,0,0,93.2,1,4,8.14,8.14,5,7,1.40,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,-2,0,,Aaron Brooks,BrooAa00
32,32,2000,2000-12-24,16,17,24.275,NOR,,STL,L 21-26,*,16,31,51.61,208,2,1,81.1,2,12,6.71,6.55,3,7,2.33,0,0,0,0,,0,0.0%,,,0,0,2,0,0,0,0,0,,Aaron Brooks,BrooAa00
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Aaron Brooks,BrooAa00
34,33,2001,2001-09-09,1,1,25.169,NOR,@,BUF,W 24-6,*,18,29,62.07,209,3,0,118.3,2,17,7.21,9.28,5,10,2.00,0,0,0,0,,0,0.0%,,,0,0,2,0,0,2,0,0,,Aaron Brooks,BrooAa00
35,34,2001,2001-09-30,2,3,25.190,NOR,@,NYG,L 13-21,*,28,54,51.85,291,1,1,66.2,4,35,5.39,4.93,4,17,4.25,0,0,0,0,,0,0.0%,,,0,0,2,0,0,1,0,0,,Aaron Brooks,BrooAa00
36,35,2001,2001-10-07,3,4,25.197,NOR,,MIN,W 28-15,*,15,30,50.00,210,0,1,59.0,0,0,7.00,5.50,6,24,4.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Aaron Brooks,BrooAa00
37,36,2001,2001-10-14,4,5,25.204,NOR,@,CAR,W 27-25,*,14,40,35.00,180,2,1,56.2,2,20,4.50,4.38,7,49,7.00,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,-4,0,,Aaron Brooks,BrooAa00
38,37,2001,2001-10-21,5,6,25.211,NOR,,ATL,L 13-20,*,23,39,58.97,249,1,1,75.7,5,36,6.38,5.74,3,12,4.00,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,0,0,,Aaron Brooks,BrooAa00
39,38,2001,2001-10-28,6,7,25.218,NOR,@,STL,W 34-31,*,20,31,64.52,254,3,0,122.2,4,16,8.19,10.13,7,1,0.14,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,-5,0,,Aaron Brooks,BrooAa00
40,39,2001,2001-11-04,7,8,25.225,NOR,,NYJ,L 9-16,*,12,28,42.86,164,0,2,32.4,6,26,5.86,2.64,8,50,6.25,0,1,0,0,,0,0.0%,0.00,,0,0,1,1,0,0,0,0,,Aaron Brooks,BrooAa00
41,40,2001,2001-11-11,8,9,25.232,NOR,@,SFO,L 27-28,*,22,37,59.46,347,2,0,108.7,1,11,9.38,10.46,4,16,4.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Aaron Brooks,BrooAa00
42,41,2001,2001-11-18,9,10,25.239,NOR,,IND,W 34-20,*,19,22,86.36,249,2,0,144.1,4,28,11.32,13.14,4,26,6.50,1,0,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,,Aaron Brooks,BrooAa00
43,42,2001,2001-11-25,10,11,25.246,NOR,@,NWE,L 17-34,*,16,39,41.03,307,1,2,56.2,1,0,7.87,6.08,7,65,9.29,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,0,0,,Aaron Brooks,BrooAa00
44,43,2001,2001-12-02,11,12,25.253,NOR,,CAR,W 27-23,*,26,40,65.00,330,3,1,105.2,3,23,8.25,8.63,5,18,3.60,0,0,0,0,,0,0.0%,,,0,0,2,1,0,0,-35,0,,Aaron Brooks,BrooAa00
45,44,2001,2001-12-09,12,13,25.260,NOR,@,ATL,W 28-10,*,20,30,66.67,279,1,0,107.5,3,26,9.30,9.97,5,19,3.80,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Aaron Brooks,BrooAa00
46,45,2001,2001-12-17,13,14,25.268,NOR,,STL,L 21-34,*,23,40,57.50,269,3,2,82.2,5,27,6.73,5.98,3,6,2.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Aaron Brooks,BrooAa00
47,46,2001,2001-12-23,14,15,25.274,NOR,@,TAM,L 21-48,*,21,38,55.26,248,3,4,62.1,3,18,6.53,3.37,3,15,5.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Aaron Brooks,BrooAa00
48,47,2001,2001-12-30,15,16,25.281,NOR,,WAS,L 10-40,*,14,28,50.00,127,1,3,35.0,4,14,4.54,0.43,5,24,4.80,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,-6,0,,Aaron Brooks,BrooAa00
49,48,2001,2002-01-06,16,17,25.288,NOR,,SFO,L 0-38,*,21,33,63.64,119,0,4,30.6,3,33,3.61,-1.85,4,6,1.50,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,0,0,,Aaron Brooks,BrooAa00
50,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Aaron Brooks,BrooAa00
51,49,2002,2002-09-08,1,1,26.168,NOR,@,TAM,W 26-20,*,24,42,57.14,260,2,1,81.4,2,10,6.19,6.07,3,9,3.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Aaron Brooks,BrooAa00
52,50,2002,2002-09-15,2,2,26.175,NOR,,GNB,W 35-20,*,16,28,57.14,217,2,2,76.0,1,6,7.75,5.96,5,13,2.60,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Aaron Brooks,BrooAa00
53,51,2002,2002-09-22,3,3,26.182,NOR,@,CHI,W 29-23,*,22,34,64.71,233,3,1,101.7,1,4,6.85,7.29,7,28,4.00,1,0,0,0,,0,0.0%,,1,1,8,1,0,0,1,-4,0,,Aaron Brooks,BrooAa00
54,52,2002,2002-09-29,4,4,26.189,NOR,@,DET,L 21-26,*,27,48,56.25,269,2,2,68.8,3,22,5.60,4.56,4,49,12.25,0,0,0,0,,0,0.0%,,1,0,2,1,1,0,0,0,0,,Aaron Brooks,BrooAa00
55,53,2002,2002-10-06,5,5,26.196,NOR,,PIT,W 32-29,*,13,23,56.52,205,1,0,100.8,2,11,8.91,9.78,3,0,0.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Aaron Brooks,BrooAa00
56,54,2002,2002-10-13,6,6,26.203,NOR,@,WAS,W 43-27,*,12,23,52.17,205,3,1,104.2,2,13,8.91,9.57,4,-3,-0.75,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Aaron Brooks,BrooAa00
57,55,2002,2002-10-20,7,7,26.210,NOR,,SFO,W 35-27,*,23,35,65.71,254,3,0,115.7,3,11,7.26,8.97,4,26,6.50,1,0,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,,Aaron Brooks,BrooAa00
58,56,2002,2002-10-27,8,8,26.217,NOR,,ATL,L 35-37,*,16,35,45.71,192,2,2,58.3,0,0,5.49,4.06,6,38,6.33,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,-3,0,,Aaron Brooks,BrooAa00
59,57,2002,2002-11-10,9,10,26.231,NOR,@,CAR,W 34-24,*,20,37,54.05,259,1,0,85.3,2,11,7.00,7.54,4,26,6.50,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Aaron Brooks,BrooAa00
60,58,2002,2002-11-17,10,11,26.238,NOR,@,ATL,L 17-24,*,20,31,64.52,279,2,1,101.4,2,15,9.00,8.84,5,26,5.20,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,,Aaron Brooks,BrooAa00
