,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 41_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
157,149,1998,1998-11-22,11,12,32.001,DAL,,SEA,W 30-22,*,28,42,66.67,296,2,1,93.0,1,4,7.05,6.93,5,14,2.80,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,,Troy Aikman,AikmTr00
158,150,1998,1998-11-26,12,13,32.005,DAL,,MIN,L 36-46,*,34,57,59.65,455,1,0,90.9,0,0,7.98,8.33,2,6,3.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
159,151,1998,1998-12-06,13,14,32.015,DAL,@,NOR,L 3-22,*,16,32,50.00,192,0,0,68.7,2,18,6.00,6.00,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,-17,0,,Troy Aikman,AikmTr00
160,152,1998,1998-12-13,14,15,32.022,DAL,@,KAN,L 17-20,*,18,35,51.43,199,2,1,75.8,1,3,5.69,5.54,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
161,153,1998,1998-12-20,15,16,32.029,DAL,,PHI,W 13-9,*,10,23,43.48,120,0,1,41.9,3,25,5.22,3.26,3,2,0.67,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
162,154,1998,1998-12-27,16,17,32.036,DAL,,WAS,W 23-7,*,10,15,66.67,184,0,0,108.7,0,0,12.27,12.27,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
163,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Troy Aikman,AikmTr00
164,155,1999,1999-09-12,1,1,32.295,DAL,@,WAS,W 41-35,*,28,49,57.14,362,5,3,89.0,1,7,7.39,6.67,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
165,156,1999,1999-09-20,2,2,32.303,DAL,,ATL,W 24-7,*,10,22,45.45,109,0,2,22.7,2,11,4.95,0.86,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
166,157,1999,1999-10-03,3,4,32.316,DAL,,ARI,W 35-7,*,15,21,71.43,192,2,0,131.4,0,0,9.14,11.05,2,1,0.50,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
167,158,1999,1999-10-10,4,5,32.323,DAL,@,PHI,L 10-13,*,21,39,53.85,177,1,2,53.0,1,7,4.54,2.74,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
168,159,1999,1999-10-18,5,6,32.331,DAL,@,NYG,L 10-13,*,20,33,60.61,266,0,1,73.5,3,16,8.06,6.70,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,-4,0,,Troy Aikman,AikmTr00
169,160,1999,1999-10-24,6,7,32.337,DAL,,WAS,W 38-20,*,20,32,62.50,244,2,0,106.8,0,0,7.63,8.88,1,1,1.00,1,0,0,0,,0,0.0%,,1,6,0,,0,0,0,0,,Troy Aikman,AikmTr00
170,161,1999,1999-10-31,7,8,32.344,DAL,@,IND,L 24-34,*,19,24,79.17,159,0,0,94.3,4,27,6.63,6.63,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,2,1,0,0,0,0,,Troy Aikman,AikmTr00
171,162,1999,1999-11-08,8,9,32.352,DAL,@,MIN,L 17-27,*,14,24,58.33,129,0,0,73.1,2,10,5.38,5.38,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,,Troy Aikman,AikmTr00
172,163,1999,1999-11-14,9,10,,DAL,,GNB,W 27-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Troy Aikman,AikmTr00
173,164,1999,1999-11-21,10,11,,DAL,@,ARI,L 9-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Troy Aikman,AikmTr00
174,165,1999,1999-11-25,11,12,33.004,DAL,,MIA,W 20-0,*,16,29,55.17,232,1,0,92.9,1,9,8.00,8.69,2,-1,-0.50,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,-6,0,,Troy Aikman,AikmTr00
175,166,1999,1999-12-05,12,13,33.014,DAL,@,NWE,L 6-13,*,20,30,66.67,160,0,0,79.9,3,20,5.33,5.33,2,-1,-0.50,0,0,0,0,,0,0.0%,,0,0,2,0,0,2,-2,0,,Troy Aikman,AikmTr00
176,167,1999,1999-12-12,13,14,33.021,DAL,,PHI,W 20-10,*,22,40,55.00,242,1,0,81.5,1,17,6.05,6.55,4,6,1.50,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,,Troy Aikman,AikmTr00
177,168,1999,1999-12-19,14,15,33.028,DAL,,NYJ,L 21-22,*,12,28,42.86,158,1,2,43.5,1,6,5.64,3.14,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
178,169,1999,1999-12-24,15,16,33.033,DAL,@,NOR,L 24-31,*,23,39,58.97,246,2,2,73.2,0,0,6.31,5.03,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
179,170,1999,2000-01-02,16,17,33.042,DAL,,NYG,W 26-18,*,23,32,71.88,288,2,0,120.3,0,0,9.00,10.25,3,-2,-0.67,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
180,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Troy Aikman,AikmTr00
181,171,2000,2000-09-03,1,1,33.287,DAL,,PHI,L 14-41,*,0,5,0.00,0,0,1,0.0,4,30,0.00,-9.00,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
182,172,2000,2000-09-10,2,2,,DAL,@,ARI,L 31-32,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Troy Aikman,AikmTr00
183,173,2000,2000-09-18,3,3,,DAL,@,WAS,W 27-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Troy Aikman,AikmTr00
184,174,2000,2000-09-24,4,4,33.308,DAL,,SFO,L 24-41,*,15,26,57.69,197,1,1,78.5,1,7,7.58,6.62,0,0,,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,,Troy Aikman,AikmTr00
185,175,2000,2000-10-01,5,5,33.315,DAL,@,CAR,W 16-13,*,15,23,65.22,131,0,2,43.9,2,13,5.70,1.78,2,2,1.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
186,176,2000,2000-10-15,6,7,33.329,DAL,@,NYG,L 14-19,*,22,42,52.38,211,1,5,35.0,2,18,5.02,0.14,2,7,3.50,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
187,177,2000,2000-10-22,7,8,33.336,DAL,,ARI,W 48-7,*,9,15,60.00,154,2,0,134.4,1,7,10.27,12.93,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
188,178,2000,2000-10-29,8,9,33.343,DAL,,JAX,L 17-23,*,4,5,80.00,43,1,0,142.1,0,0,8.60,12.60,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
189,179,2000,2000-11-05,9,10,,DAL,@,PHI,L 13-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Troy Aikman,AikmTr00
190,180,2000,2000-11-12,10,11,33.357,DAL,,CIN,W 23-6,*,24,37,64.86,308,1,0,99.8,0,0,8.32,8.86,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
191,181,2000,2000-11-19,11,12,33.364,DAL,@,BAL,L 0-27,*,19,33,57.58,138,0,3,29.6,1,1,4.18,0.09,2,0,0.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
192,182,2000,2000-11-23,12,13,34.002,DAL,,MIN,L 15-27,*,30,43,69.77,276,1,1,85.0,0,0,6.42,5.84,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
193,183,2000,2000-12-03,13,14,34.012,DAL,@,TAM,L 7-27,*,16,30,53.33,158,0,1,54.6,2,15,5.27,3.77,0,0,,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,,Troy Aikman,AikmTr00
194,184,2000,2000-12-10,14,15,34.019,DAL,,WAS,W 32-13,*,2,3,66.67,16,0,0,79.9,0,0,5.33,5.33,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Troy Aikman,AikmTr00
195,185,2000,2000-12-17,15,16,,DAL,,NYG,L 13-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Troy Aikman,AikmTr00
196,186,2000,2000-12-25,16,17,,DAL,@,TEN,L 0-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Troy Aikman,AikmTr00
197,,,165 Games,,,,,,,94-71-0,,2898,4715,61.46,32942,165,141,81.6,259,1748,6.99,6.34,327,1016,3.11,9,0,2,-19,-9.50,0,,,9,54,52,21,0,13,-58,0,,Troy Aikman,AikmTr00
