,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Punting,Punting,Punting,Punting,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck,,
141,132,1980,1980-09-21,3,3,32.019,PIT,@,CIN,L 28-30,*,14,25,56.00,265,3,2,99.2,,,10.60,9.40,1,0,0.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
142,133,1980,1980-09-28,4,4,32.026,PIT,,CHI,W 38-3,*,12,19,63.16,217,4,1,120.0,1,7,11.42,13.26,1,-6,-6.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
143,134,1980,1980-10-05,5,5,32.033,PIT,@,MIN,W 23-17,*,16,28,57.14,236,1,1,81.8,1,5,8.43,7.54,4,10,2.50,1,,,,,1,6,0,0,,0,Terry Bradshaw,BradTe00
144,135,1980,1980-10-12,6,6,32.040,PIT,,CIN,L 16-17,*,14,35,40.00,237,1,1,61.3,4,29,6.77,6.06,3,13,4.33,0,,,,,0,0,5,173,34.60,0,Terry Bradshaw,BradTe00
145,136,1980,1980-10-20,7,7,32.048,PIT,,OAK,L 34-45,*,18,27,66.67,299,2,1,113.0,4,32,11.07,10.89,2,12,6.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
146,137,1980,1980-11-02,9,9,32.061,PIT,,GNB,W 22-20,*,12,28,42.86,135,2,2,51.9,2,14,4.82,3.04,4,10,2.50,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
147,138,1980,1980-11-09,10,10,32.068,PIT,@,TAM,W 24-21,*,11,26,42.31,100,1,1,50.2,1,6,3.85,2.88,1,-1,-1.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
148,139,1980,1980-11-16,11,11,32.075,PIT,,CLE,W 16-13,*,19,35,54.29,263,2,4,58.1,3,23,7.51,3.51,3,21,7.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
149,140,1980,1980-11-23,12,12,32.082,PIT,@,BUF,L 13-28,*,17,31,54.84,155,0,0,68.6,2,15,5.00,5.00,3,17,5.67,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
150,141,1980,1980-11-30,13,13,32.089,PIT,,MIA,W 23-10,*,13,31,41.94,289,1,1,73.2,3,22,9.32,8.52,3,14,4.67,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
151,142,1980,1980-12-04,14,14,32.093,PIT,@,HOU,L 0-6,*,10,26,38.46,138,0,3,16.7,3,20,5.31,0.12,2,18,9.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
152,143,1980,1980-12-14,15,15,32.103,PIT,,KAN,W 21-16,*,14,22,63.64,197,2,2,84.8,4,27,8.95,6.68,2,-1,-0.50,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
153,144,1980,1980-12-22,16,16,32.111,PIT,@,SDG,L 17-26,*,16,32,50.00,272,1,0,89.6,2,19,8.50,9.13,1,0,0.00,0,,,,,0,0,0,0,,0,Terry Bradshaw,BradTe00
154,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Terry Bradshaw,BradTe00
155,145,1981,1981-09-06,1,1,33.004,PIT,,KAN,L 33-37,*,21,36,58.33,319,2,2,83.0,0,0,8.86,7.47,2,-7,-3.50,0,0,0,,0,0,0,0,0,,0,Terry Bradshaw,BradTe00
156,146,1981,1981-09-10,2,2,33.008,PIT,@,MIA,L 10-30,*,15,33,45.45,222,1,2,52.8,4,39,6.73,4.61,2,16,8.00,0,0,0,,0,0,0,0,0,,0,Terry Bradshaw,BradTe00
157,147,1981,1981-09-20,3,3,33.018,PIT,,NYJ,W 38-10,*,14,28,50.00,225,0,0,77.2,2,19,8.04,8.04,7,41,5.86,1,0,0,,0,1,6,0,0,,0,Terry Bradshaw,BradTe00
158,148,1981,1981-09-27,4,4,33.025,PIT,,NWE,W 27-21,*,15,30,50.00,247,2,0,100.3,0,0,8.23,9.57,5,49,9.80,0,0,0,,0,0,0,0,0,,0,Terry Bradshaw,BradTe00
159,149,1981,1981-10-04,5,5,33.032,PIT,@,NOR,W 20-6,*,19,28,67.86,276,2,0,123.5,1,7,9.86,11.29,1,0,0.00,0,0,0,,0,0,0,0,0,,0,Terry Bradshaw,BradTe00
160,150,1981,1981-10-11,6,6,33.039,PIT,,CLE,W 13-7,*,19,33,57.58,199,1,1,72.7,0,0,6.03,5.27,3,20,6.67,0,0,0,,0,0,0,0,0,,0,Terry Bradshaw,BradTe00
161,151,1981,1981-10-18,7,7,33.046,PIT,@,CIN,L 7-34,*,14,27,51.85,145,1,0,80.0,1,5,5.37,6.11,1,5,5.00,0,0,0,,0,0,0,0,0,,0,Terry Bradshaw,BradTe00
162,152,1981,1981-10-26,8,8,33.054,PIT,,HOU,W 26-13,*,14,28,50.00,208,2,1,83.6,1,12,7.43,7.25,4,4,1.00,0,0,0,,0,0,0,0,0,,0,Terry Bradshaw,BradTe00
163,153,1981,1981-11-01,9,9,33.060,PIT,,SFO,L 14-17,*,12,23,52.17,125,1,3,43.1,0,0,5.43,0.43,3,7,2.33,0,0,0,,0,0,0,0,0,,0,Terry Bradshaw,BradTe00
164,154,1981,1981-11-08,10,10,33.067,PIT,@,SEA,L 21-24,*,13,22,59.09,212,1,2,68.8,1,7,9.64,6.45,2,6,3.00,0,0,0,,0,0,0,0,0,,0,Terry Bradshaw,BradTe00
165,155,1981,1981-11-15,11,11,33.074,PIT,@,ATL,W 34-20,*,14,22,63.64,253,5,1,123.7,3,32,11.50,14.00,1,1,1.00,0,0,0,,0,0,0,0,0,,0,Terry Bradshaw,BradTe00
166,156,1981,1981-11-22,12,12,33.081,PIT,@,CLE,W 32-10,*,17,32,53.13,223,2,2,70.2,0,0,6.97,5.41,2,4,2.00,0,0,0,,0,0,0,0,0,,0,Terry Bradshaw,BradTe00
167,157,1981,1981-11-29,13,13,33.088,PIT,,RAM,W 24-0,*,10,19,52.63,204,1,0,108.2,4,34,10.74,11.79,5,16,3.20,1,0,0,,0,1,6,0,0,,0,Terry Bradshaw,BradTe00
168,158,1981,1981-12-07,14,14,33.096,PIT,@,OAK,L 27-30,*,4,9,44.44,29,1,0,89.6,0,0,3.22,5.44,0,0,,0,0,0,,0,0,0,0,0,,0,Terry Bradshaw,BradTe00
169,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Terry Bradshaw,BradTe00
170,159,1982,1982-09-13,1,1,34.011,PIT,@,DAL,W 36-28,*,17,28,60.71,246,3,0,125.0,1,5,8.79,10.93,0,0,,0,0,0,,0,0,0,0,0,,0,Terry Bradshaw,BradTe00
171,160,1982,1982-09-19,2,2,34.017,PIT,,CIN,W 26-20,*,29,42,69.05,298,3,0,113.0,3,29,7.10,8.52,2,3,1.50,0,0,0,,0,0,0,0,0,,0,Terry Bradshaw,BradTe00
172,161,1982,1982-11-21,3,11,34.080,PIT,@,HOU,W 24-10,*,16,40,40.00,228,3,2,63.3,4,29,5.70,4.95,1,6,6.00,0,0,0,,0,0,0,0,0,,0,Terry Bradshaw,BradTe00
173,162,1982,1982-11-28,4,12,34.087,PIT,@,SEA,L 0-16,*,5,7,71.43,67,0,0,101.5,1,5,9.57,9.57,0,0,,0,0,0,,0,0,0,0,0,,0,Terry Bradshaw,BradTe00
174,163,1982,1982-12-05,5,13,34.094,PIT,,KAN,W 35-14,*,15,20,75.00,231,3,1,131.5,1,8,11.55,12.30,2,0,0.00,0,0,0,,0,0,0,0,0,,0,Terry Bradshaw,BradTe00
175,164,1982,1982-12-12,6,14,34.101,PIT,@,BUF,L 0-13,*,2,13,15.38,3,0,2,0.0,4,26,0.23,-6.69,0,0,,0,0,0,,0,0,0,0,0,,0,Terry Bradshaw,BradTe00
176,165,1982,1982-12-19,7,15,34.108,PIT,@,CLE,L 9-10,*,12,39,30.77,144,1,4,12.1,3,20,3.69,-0.41,0,0,,0,0,0,,0,0,0,0,0,,0,Terry Bradshaw,BradTe00
177,166,1982,1982-12-26,8,16,34.115,PIT,,NWE,W 37-14,*,17,27,62.96,282,2,0,122.8,0,0,10.44,11.93,2,2,1.00,0,0,0,,0,0,0,0,0,,0,Terry Bradshaw,BradTe00
178,167,1982,1983-01-02,9,17,34.122,PIT,,CLE,W 37-21,*,14,24,58.33,269,2,2,90.5,1,9,11.21,9.13,1,-1,-1.00,0,0,0,,0,0,0,0,0,,0,Terry Bradshaw,BradTe00
179,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Terry Bradshaw,BradTe00
180,168,1983,1983-12-10,15,15,35.099,PIT,@,NYJ,W 34-7,*,5,8,62.50,77,2,0,133.9,0,0,9.63,14.63,1,3,3.00,0,0,0,,0,0,0,0,0,,0,Terry Bradshaw,BradTe00
181,,,168 Games,,,,,,,111-57-0,,2025,3901,51.91,27989,212,210,70.9,307,2694,7.17,5.84,444,2257,5.08,32,0,1,,0,32,192,8,225,28.13,1,Terry Bradshaw,BradTe00
