,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 42_level_0,qb,qb_tag
22,22,2000,2000-10-15,6,7,23.261,MIN,@,CHI,W 28-16,*,15,26,57.69,198,3,0,120.4,3,21,7.62,9.92,4,15,3.75,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Daunte Culpepper,CulpDa00
23,23,2000,2000-10-22,7,8,23.268,MIN,,BUF,W 31-27,*,17,29,58.62,251,3,1,107.1,0,0,8.66,9.17,6,29,4.83,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Daunte Culpepper,CulpDa00
24,24,2000,2000-10-29,8,9,23.275,MIN,@,TAM,L 13-41,*,29,53,54.72,313,1,2,62.9,2,11,5.91,4.58,4,35,8.75,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,,Daunte Culpepper,CulpDa00
25,25,2000,2000-11-06,9,10,23.283,MIN,@,GNB,L 20-26,*,17,34,50.00,276,2,3,60.4,3,26,8.12,5.32,4,20,5.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Daunte Culpepper,CulpDa00
26,26,2000,2000-11-12,10,11,23.289,MIN,,ARI,W 31-14,*,25,32,78.13,302,3,1,124.2,2,4,9.44,9.91,4,26,6.50,1,0,0,0,,0,0.0%,,,1,6,1,1,0,0,0,0,,Daunte Culpepper,CulpDa00
27,27,2000,2000-11-19,11,12,23.296,MIN,,CAR,W 31-17,*,22,29,75.86,357,3,0,151.1,1,28,12.31,14.38,1,0,0.00,0,0,0,0,,0,0.0%,,,0,0,2,0,0,0,-4,0,,Daunte Culpepper,CulpDa00
28,28,2000,2000-11-23,12,13,23.300,MIN,@,DAL,W 27-15,*,15,22,68.18,205,2,0,128.0,2,13,9.32,11.14,2,8,4.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Daunte Culpepper,CulpDa00
29,29,2000,2000-11-30,13,14,23.307,MIN,,DET,W 24-17,*,19,32,59.38,160,1,2,56.8,0,0,5.00,2.81,6,25,4.17,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Daunte Culpepper,CulpDa00
30,30,2000,2000-12-10,14,15,23.317,MIN,@,STL,L 29-40,*,21,33,63.64,221,3,0,113.3,4,13,6.70,8.52,4,37,9.25,1,0,0,0,,0,0.0%,,,1,6,1,0,0,0,0,0,,Daunte Culpepper,CulpDa00
31,31,2000,2000-12-17,15,16,23.324,MIN,,GNB,L 28-33,*,23,38,60.53,335,3,1,104.6,1,3,8.82,9.21,7,42,6.00,1,0,0,0,,0,0.0%,,,1,6,0,,0,1,0,0,,Daunte Culpepper,CulpDa00
32,32,2000,2000-12-24,16,17,23.331,MIN,@,IND,L 10-31,*,7,10,70.00,97,1,0,134.2,0,0,9.70,11.70,0,0,,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Daunte Culpepper,CulpDa00
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Daunte Culpepper,CulpDa00
34,33,2001,2001-09-09,1,1,24.224,MIN,,CAR,L 13-24,*,22,38,57.89,236,1,3,52.1,1,2,6.21,3.18,12,57,4.75,1,0,0,0,,0,0.0%,,,1,6,2,0,0,0,0,0,,Daunte Culpepper,CulpDa00
35,34,2001,2001-09-23,2,2,24.238,MIN,@,CHI,L 10-17,*,24,36,66.67,233,1,0,93.9,3,18,6.47,7.03,8,42,5.25,0,0,0,0,,0,0.0%,,,0,0,3,1,0,1,-8,0,,Daunte Culpepper,CulpDa00
36,35,2001,2001-09-30,3,3,24.245,MIN,,TAM,W 20-16,*,30,44,68.18,322,1,2,78.0,1,10,7.32,5.73,5,20,4.00,1,0,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,,Daunte Culpepper,CulpDa00
37,36,2001,2001-10-07,4,4,24.252,MIN,@,NOR,L 15-28,*,23,34,67.65,332,2,1,106.5,6,26,9.76,9.62,0,0,,0,0,0,0,,0,0.0%,,1,0,2,2,1,0,1,0,0,,Daunte Culpepper,CulpDa00
38,37,2001,2001-10-14,5,5,24.259,MIN,,DET,W 31-26,*,20,27,74.07,244,1,1,98.4,6,46,9.04,8.11,7,83,11.86,2,0,0,0,,0,0.0%,,,2,12,1,0,0,1,-1,0,,Daunte Culpepper,CulpDa00
39,38,2001,2001-10-21,6,6,24.266,MIN,,GNB,W 35-13,*,18,27,66.67,184,1,0,98.4,2,7,6.81,7.56,8,75,9.38,1,0,0,0,,0,0.0%,,,1,6,2,1,0,1,-3,0,,Daunte Culpepper,CulpDa00
40,39,2001,2001-10-28,7,7,24.273,MIN,@,TAM,L 14-41,*,13,24,54.17,150,1,1,69.8,2,6,6.25,5.21,9,49,5.44,0,1,1,0,0.00,0,100.0%,0.00,1,0,2,1,0,0,1,-3,0,,Daunte Culpepper,CulpDa00
41,40,2001,2001-11-11,8,9,24.287,MIN,@,PHI,L 17-48,*,21,35,60.00,285,2,1,93.2,6,40,8.14,8.00,6,21,3.50,0,0,0,0,,0,0.0%,,,0,0,3,2,0,1,0,0,,Daunte Culpepper,CulpDa00
42,41,2001,2001-11-19,9,10,24.295,MIN,,NYG,W 28-16,*,26,38,68.42,277,4,2,102.6,3,14,7.29,7.03,9,26,2.89,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,,Daunte Culpepper,CulpDa00
43,42,2001,2001-11-25,10,11,24.301,MIN,,CHI,L 6-13,*,26,46,56.52,209,0,1,59.1,3,17,4.54,3.57,7,43,6.14,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,-2,0,,Daunte Culpepper,CulpDa00
44,43,2001,2001-12-02,11,12,24.308,MIN,@,PIT,L 16-21,*,12,17,70.59,140,0,1,70.7,0,0,8.24,5.59,0,0,,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Daunte Culpepper,CulpDa00
45,44,2001,2001-12-09,12,13,,MIN,,TEN,W 42-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Daunte Culpepper,CulpDa00
46,45,2001,2001-12-16,13,14,,MIN,@,DET,L 24-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Daunte Culpepper,CulpDa00
47,46,2001,2001-12-23,14,15,,MIN,,JAX,L 3-33,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Daunte Culpepper,CulpDa00
48,47,2001,2001-12-30,15,16,,MIN,@,GNB,L 13-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Daunte Culpepper,CulpDa00
