,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Punting,Punting,Punting,Punting,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,,
125,116,1959,1959-10-18,4,4,33.217,PHI,@,NYG,L 7-24,*,16,26,61.54,179,0,2,50.0,,,6.88,3.42,2,12,6.00,0,0,0,0,0,,,Norm Van Brocklin,VanBNo00
126,117,1959,1959-10-25,5,5,33.224,PHI,@,CRD,W 28-24,*,16,27,59.26,254,2,1,99.9,,23,9.41,9.22,,,,,0,0,0,0,,,Norm Van Brocklin,VanBNo00
127,118,1959,1959-11-01,6,6,33.231,PHI,,WAS,W 30-23,*,13,19,68.42,154,2,1,106.0,2,12,8.11,7.84,1,-1,-1.00,0,0,0,0,0,,,Norm Van Brocklin,VanBNo00
128,119,1959,1959-11-08,7,7,33.238,PHI,@,CLE,L 7-28,*,23,40,57.50,260,1,1,75.0,2,13,6.50,5.88,,,,,0,0,0,0,,,Norm Van Brocklin,VanBNo00
129,120,1959,1959-11-15,8,8,33.245,PHI,,CRD,W 27-17,*,10,20,50.00,233,2,2,86.0,1,15,11.65,9.15,,,,,0,0,0,0,,,Norm Van Brocklin,VanBNo00
130,121,1959,1959-11-22,9,9,33.252,PHI,,RAM,W 23-20,*,19,38,50.00,278,0,0,74.2,,,7.32,7.32,1,0,0.00,0,0,0,0,0,,,Norm Van Brocklin,VanBNo00
131,122,1959,1959-11-29,10,10,33.259,PHI,@,PIT,L 0-31,*,15,31,48.39,196,0,3,29.2,,,6.32,1.97,1,1,1.00,0,0,0,0,0,,,Norm Van Brocklin,VanBNo00
132,123,1959,1959-12-06,11,11,33.266,PHI,@,WAS,W 34-14,*,18,30,60.00,275,3,1,109.7,,,9.17,9.67,,,,,0,0,0,0,,,Norm Van Brocklin,VanBNo00
133,124,1959,1959-12-13,12,12,33.273,PHI,,CLE,L 21-28,*,15,22,68.18,246,1,1,101.7,1,9,11.18,10.05,1,0,0.00,0,0,0,0,0,,,Norm Van Brocklin,VanBNo00
134,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Norm Van Brocklin,VanBNo00
