,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Punting,Punting,Punting,Punting,Unnamed: 38_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,,
45,43,1988,1988-12-04,14,14,27.159,RAI,,DEN,W 21-20,*,10,19,52.63,131,1,1,70.3,4,44,6.89,5.58,5,8,1.60,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
46,44,1988,1988-12-11,15,15,27.166,RAI,@,BUF,L 21-37,*,14,24,58.33,227,2,0,117.9,2,20,9.46,11.13,3,7,2.33,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
47,45,1988,1988-12-18,16,16,27.173,RAI,,SEA,L 37-43,*,22,49,44.90,354,3,1,81.5,3,23,7.22,7.53,3,18,6.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
48,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,Jay Schroeder,SchrJa00
49,46,1989,1989-09-10,1,1,28.074,RAI,,SDG,W 40-14,*,2,3,66.67,79,1,0,149.3,0,0,26.33,33.00,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
50,47,1989,1989-09-17,2,2,28.081,RAI,@,KAN,L 19-24,*,14,21,66.67,192,2,1,107.6,4,39,9.14,8.90,1,12,12.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
51,48,1989,1989-09-24,3,3,28.088,RAI,@,DEN,L 21-31,*,15,28,53.57,290,1,3,62.2,3,20,10.36,6.25,4,18,4.50,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
52,49,1989,1989-10-01,4,4,28.095,RAI,,SEA,L 20-24,*,16,30,53.33,213,1,1,73.3,2,16,7.10,6.27,1,10,10.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
53,50,1989,1989-10-09,5,5,28.103,RAI,@,NYJ,W 14-7,*,11,24,45.83,197,1,1,71.0,3,12,8.21,7.17,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
54,51,1989,1989-10-15,6,6,28.109,RAI,,KAN,W 20-14,*,5,16,31.25,87,0,1,24.7,1,13,5.44,2.63,1,3,3.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
55,52,1989,1989-10-22,7,7,28.116,RAI,@,PHI,L 7-10,*,7,22,31.82,87,0,1,26.1,2,12,3.95,1.91,2,2,1.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
56,53,1989,1989-10-29,8,8,28.123,RAI,,WAS,W 37-24,,1,8,12.50,1,0,1,0.0,0,0,0.13,-5.50,2,-9,-4.50,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
57,54,1989,1989-11-05,9,9,28.130,RAI,,CIN,W 28-7,*,8,17,47.06,231,2,1,108.1,2,8,13.59,13.29,3,0,0.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
58,55,1989,1989-11-12,10,10,28.137,RAI,@,SDG,L 12-14,*,12,25,48.00,173,0,3,31.3,3,12,6.92,1.52,1,2,2.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
59,56,1989,1989-12-24,16,16,28.179,RAI,@,NYG,L 17-34,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,Jay Schroeder,SchrJa00
60,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,Jay Schroeder,SchrJa00
61,57,1990,1990-09-09,1,1,29.073,RAI,,DEN,W 14-9,*,9,18,50.00,118,0,1,47.9,5,47,6.56,4.06,2,2,1.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
62,58,1990,1990-09-16,2,2,29.080,RAI,@,SEA,W 17-13,*,10,17,58.82,236,1,0,122.8,1,1,13.88,15.06,3,11,3.67,0,0,0,1,,0,1,-3,0,0,0,,0,,Jay Schroeder,SchrJa00
63,59,1990,1990-09-23,3,3,29.087,RAI,,PIT,W 20-3,*,9,19,47.37,148,1,0,91.6,0,0,7.79,8.84,2,1,0.50,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
64,60,1990,1990-09-30,4,4,29.094,RAI,,CHI,W 24-10,*,8,15,53.33,178,0,0,96.0,1,8,11.87,11.87,3,8,2.67,0,0,0,2,,0,1,-7,0,0,0,,0,,Jay Schroeder,SchrJa00
65,61,1990,1990-10-07,5,5,29.101,RAI,@,BUF,L 24-38,*,17,29,58.62,244,2,1,94.6,2,19,8.41,8.24,0,0,,0,0,0,2,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
66,62,1990,1990-10-14,6,6,29.108,RAI,,SEA,W 24-17,*,19,26,73.08,235,3,0,139.1,1,8,9.04,11.35,6,3,0.50,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
67,63,1990,1990-10-21,7,7,29.115,RAI,@,SDG,W 24-9,*,11,20,55.00,176,1,1,80.4,1,3,8.80,7.55,2,-6,-3.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
68,64,1990,1990-11-04,8,9,29.129,RAI,@,KAN,L 7-9,*,10,31,32.26,139,0,1,34.2,1,1,4.48,3.03,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
69,65,1990,1990-11-11,9,10,29.136,RAI,,GNB,L 16-29,*,11,23,47.83,139,0,3,27.5,5,27,6.04,0.17,1,3,3.00,0,0,0,1,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
70,66,1990,1990-11-19,10,11,29.144,RAI,@,MIA,W 13-10,*,10,19,52.63,116,0,0,71.4,0,0,6.11,6.11,3,-6,-2.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
71,67,1990,1990-11-25,11,12,29.150,RAI,,KAN,L 24-27,*,9,18,50.00,202,0,0,90.5,5,27,11.22,11.22,3,33,11.00,0,0,0,3,,0,0,-3,0,0,0,,0,,Jay Schroeder,SchrJa00
72,68,1990,1990-12-02,12,13,29.157,RAI,@,DEN,W 23-20,*,16,23,69.57,164,0,0,89.8,2,19,7.13,7.13,2,-2,-1.00,0,0,0,1,,0,0,-6,0,0,0,,0,,Jay Schroeder,SchrJa00
73,69,1990,1990-12-10,13,14,29.165,RAI,@,DET,W 38-31,*,12,19,63.16,195,3,2,97.5,2,9,10.26,8.68,3,11,3.67,0,0,0,1,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
74,70,1990,1990-12-16,14,15,29.171,RAI,,CIN,W 24-7,*,10,20,50.00,163,3,0,117.3,0,0,8.15,11.15,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
75,71,1990,1990-12-22,15,16,29.177,RAI,@,MIN,W 28-24,*,10,15,66.67,234,4,0,149.3,0,0,15.60,20.93,2,5,2.50,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
76,72,1990,1990-12-30,16,17,29.185,RAI,,SDG,W 17-12,*,11,22,50.00,162,1,0,89.6,3,28,7.36,8.27,5,18,3.60,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
77,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,Jay Schroeder,SchrJa00
78,73,1991,1991-09-01,1,1,30.065,RAI,@,HOU,L 17-47,*,8,21,38.10,117,1,1,53.1,1,9,5.57,4.38,1,12,12.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
79,74,1991,1991-09-08,2,2,30.072,RAI,,DEN,W 16-13,*,12,19,63.16,168,1,0,109.1,5,28,8.84,9.89,3,17,5.67,0,0,0,1,,0,1,0,0,0,0,,0,,Jay Schroeder,SchrJa00
80,75,1991,1991-09-15,3,3,30.079,RAI,,IND,W 16-0,*,13,22,59.09,181,1,0,100.8,3,28,8.23,9.14,4,15,3.75,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
81,76,1991,1991-09-22,4,4,30.086,RAI,@,ATL,L 17-21,*,10,32,31.25,116,2,2,38.0,3,29,3.63,2.06,1,7,7.00,0,0,0,1,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
82,77,1991,1991-09-29,5,5,30.093,RAI,,SFO,W 12-6,*,14,25,56.00,144,0,0,72.7,3,17,5.76,5.76,5,-6,-1.20,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
83,78,1991,1991-10-06,6,6,30.100,RAI,,SDG,L 13-21,*,15,23,65.22,184,1,2,68.0,1,6,8.00,4.96,2,3,1.50,0,0,0,1,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
84,79,1991,1991-10-13,7,7,30.107,RAI,@,SEA,W 23-20,*,28,52,53.85,274,2,2,65.7,0,0,5.27,4.31,2,12,6.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
85,80,1991,1991-10-20,8,8,30.114,RAI,,RAM,W 20-17,*,15,26,57.69,271,1,1,90.4,2,16,10.42,9.46,2,-1,-0.50,0,0,0,2,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
86,81,1991,1991-10-28,9,9,30.122,RAI,@,KAN,L 21-24,*,12,26,46.15,250,1,3,53.8,4,35,9.62,5.19,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
87,82,1991,1991-11-10,10,11,30.135,RAI,@,DEN,W 17-16,*,12,19,63.16,140,1,0,103.0,3,25,7.37,8.42,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
88,83,1991,1991-11-17,11,12,30.142,RAI,,SEA,W 31-7,*,16,19,84.21,237,3,0,158.2,1,11,12.47,15.63,2,17,8.50,0,0,0,1,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
89,84,1991,1991-11-24,12,13,30.149,RAI,@,CIN,W 38-14,*,4,10,40.00,30,0,0,47.9,1,11,3.00,3.00,1,-2,-2.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
90,85,1991,1991-12-01,13,14,30.156,RAI,@,SDG,W 9-7,*,12,28,42.86,122,0,3,16.4,0,0,4.36,-0.46,1,-1,-1.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
91,86,1991,1991-12-08,14,15,30.163,RAI,,BUF,L 27-30,*,11,21,52.38,252,1,2,72.0,1,2,12.00,8.67,4,3,0.75,0,0,0,1,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
92,87,1991,1991-12-16,15,16,30.171,RAI,@,NOR,L 0-27,*,7,14,50.00,76,0,0,66.4,3,21,5.43,5.43,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
93,88,1991,1991-12-22,16,17,,RAI,,KAN,L 21-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jay Schroeder,SchrJa00
94,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,Jay Schroeder,SchrJa00
95,89,1992,1992-09-06,1,1,31.070,RAI,@,DEN,L 13-17,*,7,24,29.17,181,0,2,23.8,3,20,7.54,3.79,3,13,4.33,0,0,0,2,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
96,90,1992,1992-09-13,2,2,31.077,RAI,@,CIN,L 21-24,*,25,40,62.50,380,2,1,100.0,3,13,9.50,9.38,2,19,9.50,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
97,91,1992,1992-09-20,3,3,,RAI,,CLE,L 16-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jay Schroeder,SchrJa00
98,92,1992,1992-09-28,4,4,,RAI,@,KAN,L 7-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jay Schroeder,SchrJa00
99,93,1992,1992-10-04,5,5,31.098,RAI,,NYG,W 13-10,,1,2,50.00,18,0,0,81.2,1,9,9.00,9.00,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
100,94,1992,1992-10-11,6,6,,RAI,,BUF,W 20-3,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jay Schroeder,SchrJa00
101,95,1992,1992-10-18,7,7,31.112,RAI,@,SEA,W 19-0,,9,19,47.37,84,1,0,77.5,1,7,4.42,5.47,3,13,4.33,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
102,96,1992,1992-10-25,8,8,31.119,RAI,,DAL,L 13-28,,0,3,0.00,0,0,0,39.6,0,0,0.00,0.00,2,5,2.50,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
103,97,1992,1992-11-08,9,10,31.133,RAI,@,PHI,L 10-31,,11,27,40.74,127,1,1,52.5,2,16,4.70,3.78,2,10,5.00,0,0,0,1,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
104,98,1992,1992-11-15,10,11,31.140,RAI,,SEA,W 20-3,*,10,23,43.48,108,1,1,54.3,2,20,4.70,3.61,3,24,8.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
105,99,1992,1992-11-22,11,12,31.147,RAI,,DEN,W 24-0,*,16,30,53.33,160,3,0,102.1,2,10,5.33,7.33,4,9,2.25,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
106,100,1992,1992-11-29,12,13,31.154,RAI,@,SDG,L 3-27,*,14,19,73.68,166,0,1,78.0,2,21,8.74,6.37,1,12,12.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
107,101,1992,1992-12-06,13,14,31.161,RAI,,KAN,W 28-7,*,12,18,66.67,93,3,2,79.2,3,14,5.17,3.50,4,21,5.25,0,0,0,1,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
108,102,1992,1992-12-14,14,15,31.169,RAI,@,MIA,L 7-20,*,10,24,41.67,93,0,1,35.6,2,21,3.88,2.00,3,28,9.33,0,0,0,1,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
