,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 47_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
22,22,2002,2002-10-20,6,7,22.116,ATL,,CAR,W 30-0,*,16,22,72.73,178,0,0,96.4,1,8,8.09,8.09,6,91,15.17,1,1,0,16,,0,0.0%,16.00,1,6,0,,0,0,0,0,,,,,,,,Michael Vick,VickMi00
23,23,2002,2002-10-27,7,8,22.123,ATL,@,NOR,W 37-35,*,16,24,66.67,195,0,0,91.5,3,9,8.13,8.13,10,91,9.10,2,0,0,0,,0,0.0%,,2,12,0,,0,0,0,0,,,,,,,,Michael Vick,VickMi00
24,24,2002,2002-11-03,8,9,22.130,ATL,,BAL,W 20-17,*,12,24,50.00,136,0,1,50.0,3,21,5.67,3.79,7,-5,-0.71,0,0,0,0,,0,0.0%,,0,0,2,0,0,1,0,0,,,,,,,,Michael Vick,VickMi00
25,25,2002,2002-11-10,9,10,22.137,ATL,@,PIT,T 34-34,*,24,46,52.17,294,1,0,79.4,3,15,6.39,6.83,10,38,3.80,1,0,0,0,,0,0.0%,,1,6,1,1,0,0,0,0,,,,,,,,Michael Vick,VickMi00
26,26,2002,2002-11-17,10,11,22.144,ATL,,NOR,W 24-17,*,11,23,47.83,160,2,1,81.8,3,23,6.96,6.74,7,55,7.86,1,0,0,0,,0,0.0%,,1,6,0,,0,0,0,0,,,,,,,,Michael Vick,VickMi00
27,27,2002,2002-11-24,11,12,22.151,ATL,@,CAR,W 41-0,*,19,24,79.17,272,2,0,141.7,0,0,11.33,13.00,5,20,4.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,,,,,,,,Michael Vick,VickMi00
28,28,2002,2002-12-01,12,13,22.158,ATL,@,MIN,W 30-24,*,11,28,39.29,173,1,1,57.6,2,21,6.18,5.29,10,173,17.30,2,0,0,0,,0,0.0%,,2,12,2,0,0,0,-3,0,,,,,,,,Michael Vick,VickMi00
29,29,2002,2002-12-08,13,14,22.165,ATL,@,TAM,L 10-34,*,12,25,48.00,125,1,1,59.6,1,6,5.00,4.00,6,9,1.50,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Michael Vick,VickMi00
30,30,2002,2002-12-15,14,15,22.172,ATL,,SEA,L 24-30,*,21,38,55.26,240,2,2,70.1,2,17,6.32,5.00,13,40,3.08,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,,,,,,,,Michael Vick,VickMi00
31,31,2002,2002-12-22,15,16,22.179,ATL,,DET,W 36-15,*,20,38,52.63,337,2,1,89.5,1,1,8.87,8.74,8,42,5.25,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Michael Vick,VickMi00
32,32,2002,2002-12-29,16,17,22.186,ATL,@,CLE,L 16-24,*,17,40,42.50,240,1,1,60.4,2,14,6.00,5.38,6,38,6.33,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,,,,,,,,Michael Vick,VickMi00
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Michael Vick,VickMi00
34,33,2003,2003-09-07,1,1,,ATL,@,DAL,W 27-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Michael Vick,VickMi00
35,34,2003,2003-09-14,2,2,,ATL,,WAS,L 31-33,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Michael Vick,VickMi00
36,35,2003,2003-09-21,3,3,,ATL,,TAM,L 10-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Michael Vick,VickMi00
37,36,2003,2003-09-28,4,4,,ATL,@,CAR,L 3-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Michael Vick,VickMi00
38,37,2003,2003-10-05,5,5,,ATL,,MIN,L 26-39,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Michael Vick,VickMi00
39,38,2003,2003-10-13,6,6,,ATL,@,STL,L 0-36,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Michael Vick,VickMi00
40,39,2003,2003-10-19,7,7,,ATL,,NOR,L 17-45,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Michael Vick,VickMi00
41,40,2003,2003-11-02,8,9,,ATL,,PHI,L 16-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Michael Vick,VickMi00
