,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,qb,qb_tag
43,38,1950,1950-10-07,3,4,34.053,PHI,,RAM,W 56-20,*,7,19,36.84,140,3,0,103.1,,,7.37,10.53,2,4,2.00,0,0,0,,,,,Tommy Thompson,ThomTo21
44,39,1950,1950-10-15,4,5,34.061,PHI,@,BCL,W 24-14,*,12,25,48.00,206,1,3,50.2,,,8.24,3.64,2,6,3.00,0,0,0,,,,,Tommy Thompson,ThomTo21
45,40,1950,1950-10-22,5,6,34.068,PHI,@,PIT,W 17-10,*,12,19,63.16,175,0,1,71.2,,,9.21,6.84,2,4,2.00,0,0,0,,,,,Tommy Thompson,ThomTo21
46,41,1950,1950-10-29,6,7,34.075,PHI,,WAS,W 35-3,*,8,22,36.36,168,1,1,60.4,,,7.64,6.50,,,,,0,0,,,,,Tommy Thompson,ThomTo21
47,42,1950,1950-11-05,7,8,34.082,PHI,,PIT,L 7-9,*,9,20,45.00,126,0,4,26.2,,,6.30,-2.70,2,3,1.50,0,0,0,,,,,Tommy Thompson,ThomTo21
48,43,1950,1950-11-12,8,9,34.089,PHI,@,WAS,W 33-0,*,10,19,52.63,188,1,1,82.8,,,9.89,8.58,1,2,2.00,0,0,0,,,,,Tommy Thompson,ThomTo21
49,44,1950,1950-11-19,9,10,34.096,PHI,,CRD,L 10-14,*,9,18,50.00,108,1,1,64.1,,19,6.00,4.61,3,11,3.67,0,0,0,,,,,Tommy Thompson,ThomTo21
50,45,1950,1950-11-26,10,11,34.103,PHI,@,NYG,L 3-7,*,8,17,47.06,89,0,1,38.6,,,5.24,2.59,1,1,1.00,0,0,0,,,,,Tommy Thompson,ThomTo21
51,46,1950,1950-12-03,11,12,34.110,PHI,@,CLE,L 7-13,*,8,21,38.10,81,0,2,10.3,,,3.86,-0.43,,,,,0,0,,,,,Tommy Thompson,ThomTo21
52,47,1950,1950-12-10,12,13,34.117,PHI,,NYG,L 7-9,*,11,23,47.83,182,1,4,49.8,,26,7.91,0.96,1,2,2.00,0,0,0,,,,,Tommy Thompson,ThomTo21
53,,,47 Games,,,,,,,29-17-1,,364,699,52.07,5300,52,44,75.6,,63,7.58,6.24,38,91,2.39,3,3,18,12,108,0,,Tommy Thompson,ThomTo21
