,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Int,Yds,TD,PD,,
38,35,1949,1949-12-11,12,12,29.138,RAM,,WAS,W 53-27,,11,17,64.71,235,2,1,122.8,,,13.82,13.53,,,,,,,,,0,0,,,,,Bob Waterfield,WateBo01
39,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Int,Yds,TD,PD,Bob Waterfield,WateBo01
40,36,1950,1950-09-17,1,1,30.053,RAM,,CHI,L 20-24,,9,14,64.29,149,1,1,94.0,,,10.64,8.86,2,-5,-2.50,0,0,0,,0,0,0,,,,,Bob Waterfield,WateBo01
41,37,1950,1950-09-22,2,2,30.058,RAM,,NYY,W 45-28,*,11,23,47.83,153,1,0,84.1,,,6.65,7.52,,,,,0,0,,0,0,0,,,,,Bob Waterfield,WateBo01
42,38,1950,1950-10-01,3,3,30.067,RAM,@,SFO,W 35-14,*,8,13,61.54,43,0,0,67.1,,12,3.31,3.31,,,,,0,0,,0,0,0,,,,,Bob Waterfield,WateBo01
43,39,1950,1950-10-07,4,4,30.073,RAM,@,PHI,L 20-56,*,5,14,35.71,61,0,2,10.4,,,4.36,-2.07,1,1,1.00,0,0,0,,0,0,0,,,,,Bob Waterfield,WateBo01
44,40,1950,1950-10-15,5,5,30.081,RAM,@,DET,W 30-28,,6,10,60.00,61,0,1,37.9,,,6.10,1.60,,,,,0,0,,0,0,0,,,,,Bob Waterfield,WateBo01
45,41,1950,1950-10-22,6,6,30.088,RAM,,BCL,W 70-27,,5,10,50.00,97,2,1,84.2,,,9.70,9.20,2,10,5.00,1,0,0,,0,1,6,,,,,Bob Waterfield,WateBo01
46,42,1950,1950-10-29,7,7,30.095,RAM,,DET,W 65-24,,7,9,77.78,134,1,0,155.8,,,14.89,17.11,,,,,0,0,,0,0,0,,,,,Bob Waterfield,WateBo01
47,43,1950,1950-11-05,8,8,30.102,RAM,,SFO,W 28-21,,10,15,66.67,138,1,2,78.6,,12,9.20,4.53,2,8,4.00,0,0,0,,0,0,0,,,,,Bob Waterfield,WateBo01
