,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Unnamed: 36_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 54_level_0,qb,qb_tag
98,94,2014,2014-12-14,14,15,26.310,DET,,MIN,W 16-14,*,17,28,60.71,153,1,0,87.4,0,0,5.46,6.18,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,51,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
99,95,2014,2014-12-21,15,16,26.317,DET,@,CHI,W 20-14,*,22,39,56.41,243,0,2,53.7,4,14,6.23,3.92,4,2,0.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,72,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
100,96,2014,2014-12-28,16,17,26.324,DET,@,GNB,L 20-30,*,20,41,48.78,217,3,0,89.2,2,15,5.29,6.76,4,29,7.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,69,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
101,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Matthew Stafford,StafMa00
102,97,2015,2015-09-13,1,1,27.218,DET,@,SDG,L 28-33,*,19,30,63.33,246,2,2,83.5,1,13,8.20,6.53,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,47,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
103,98,2015,2015-09-20,2,2,27.225,DET,@,MIN,L 16-26,*,32,53,60.38,286,2,1,79.6,1,1,5.40,5.30,4,20,5.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,78,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
104,99,2015,2015-09-27,3,3,27.232,DET,,DEN,L 12-24,*,31,45,68.89,282,1,2,74.5,4,20,6.27,4.71,1,-1,-1.00,0,1,1,-6,-6.00,0,100.0%,-6.00,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,74,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
105,100,2015,2015-10-05,4,4,27.240,DET,@,SEA,L 10-13,*,24,35,68.57,203,0,0,83.4,0,0,5.80,5.80,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
106,101,2015,2015-10-11,5,5,27.246,DET,,ARI,L 17-42,*,20,32,62.50,188,1,3,50.0,1,0,5.88,2.28,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,56%,0,0%,0,0%,,Matthew Stafford,StafMa00
107,102,2015,2015-10-18,6,6,27.253,DET,,CHI,W 37-34,*,27,42,64.29,405,4,1,117.7,2,14,9.64,10.48,6,37,6.17,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,81,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
108,103,2015,2015-10-25,7,7,27.260,DET,,MIN,L 19-28,*,18,26,69.23,256,2,0,126.4,7,59,9.85,11.38,1,5,5.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
109,104,2015,2015-11-01,8,8,27.267,DET,@,KAN,L 10-45,*,22,36,61.11,217,1,2,64.2,6,32,6.03,4.08,1,5,5.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,93%,0,0%,0,0%,,Matthew Stafford,StafMa00
110,105,2015,2015-11-15,9,10,27.281,DET,@,GNB,W 18-16,*,24,38,63.16,242,2,1,87.8,0,0,6.37,6.24,2,1,0.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,-5,0,65,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
111,106,2015,2015-11-22,10,11,27.288,DET,,OAK,W 18-13,*,22,35,62.86,282,0,0,88.0,4,16,8.06,8.06,6,31,5.17,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,72,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
112,107,2015,2015-11-26,11,12,27.292,DET,,PHI,W 45-14,*,27,38,71.05,337,5,0,137.8,2,15,8.87,11.50,2,13,6.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,72,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
113,108,2015,2015-12-03,12,13,27.299,DET,,GNB,L 23-27,*,23,35,65.71,220,2,0,102.1,3,15,6.29,7.43,2,22,11.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,65,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
114,109,2015,2015-12-13,13,14,27.309,DET,@,STL,L 14-21,*,30,46,65.22,245,2,1,84.1,4,25,5.33,5.22,2,5,2.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,71,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
115,110,2015,2015-12-21,14,15,27.317,DET,@,NOR,W 35-27,*,22,25,88.00,254,3,0,148.6,3,8,10.16,12.56,4,-1,-0.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
116,111,2015,2015-12-27,15,16,27.323,DET,,SFO,W 32-17,*,29,37,78.38,301,2,0,118.6,2,17,8.14,9.22,5,11,2.20,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,71,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
117,112,2015,2016-01-03,16,17,27.330,DET,@,CHI,W 24-20,*,28,39,71.79,298,3,0,119.4,4,16,7.64,9.18,6,10,1.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,65,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
118,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Matthew Stafford,StafMa00
119,113,2016,2016-09-11,1,1,28.217,DET,@,IND,W 39-35,*,31,39,79.49,340,3,0,128.6,1,8,8.72,10.26,2,5,2.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,65,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
120,114,2016,2016-09-18,2,2,28.224,DET,,TEN,L 15-16,*,22,40,55.00,260,1,1,72.9,4,22,6.50,5.88,2,31,15.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,79,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
121,115,2016,2016-09-25,3,3,28.231,DET,@,GNB,L 27-34,*,28,41,68.29,385,3,1,112.3,3,17,9.39,9.76,2,11,5.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
122,116,2016,2016-10-02,4,4,28.238,DET,@,CHI,L 14-17,*,23,36,63.89,213,0,2,56.8,2,16,5.92,3.42,2,17,8.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
123,117,2016,2016-10-09,5,5,28.245,DET,,PHI,W 24-23,*,19,25,76.00,180,3,0,135.0,4,16,7.20,9.60,6,16,2.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,61,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
