,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 41_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
21,21,2016,2016-10-10,5,5,22.278,TAM,@,CAR,W 17-14,*,18,30,60.00,219,1,0,93.6,2,17,7.30,7.97,4,6,1.50,0,,0,0,1,0,0,1,0,0,73,100%,0,0%,0,0%,,Jameis Winston,WinsJa00
22,22,2016,2016-10-23,6,7,22.291,TAM,@,SFO,W 34-17,*,21,30,70.00,269,3,1,117.2,2,5,8.97,9.47,1,-1,-1.00,0,,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%,,Jameis Winston,WinsJa00
23,23,2016,2016-10-30,7,8,22.298,TAM,,OAK,L 24-30,*,16,32,50.00,180,2,0,88.0,2,12,5.63,6.88,3,16,5.33,0,,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,,Jameis Winston,WinsJa00
24,24,2016,2016-11-03,8,9,22.302,TAM,,ATL,L 28-43,*,23,37,62.16,261,3,0,110.3,2,10,7.05,8.68,3,11,3.67,0,,0,0,1,1,0,0,0,0,68,85%,0,0%,0,0%,,Jameis Winston,WinsJa00
25,25,2016,2016-11-13,9,10,22.312,TAM,,CHI,W 36-10,*,23,33,69.70,312,2,1,107.1,4,32,9.45,9.30,0,0,,0,,0,0,0,0,0,0,0,0,72,96%,0,0%,0,0%,,Jameis Winston,WinsJa00
26,26,2016,2016-11-20,10,11,22.319,TAM,@,KAN,W 19-17,*,24,39,61.54,331,1,0,97.3,1,5,8.49,9.00,5,22,4.40,0,,0,0,2,1,0,0,-5,0,77,100%,0,0%,0,0%,,Jameis Winston,WinsJa00
27,27,2016,2016-11-27,11,12,22.326,TAM,,SEA,W 14-5,*,21,28,75.00,220,2,1,106.3,0,0,7.86,7.68,5,12,2.40,0,,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,,Jameis Winston,WinsJa00
28,28,2016,2016-12-04,12,13,22.333,TAM,@,SDG,W 28-21,*,20,30,66.67,280,1,1,93.7,1,12,9.33,8.50,4,1,0.25,0,,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,,Jameis Winston,WinsJa00
29,29,2016,2016-12-11,13,14,22.340,TAM,,NOR,W 16-11,*,16,26,61.54,184,0,0,82.9,2,18,7.08,7.08,5,16,3.20,0,,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,,Jameis Winston,WinsJa00
30,30,2016,2016-12-18,14,15,22.347,TAM,@,DAL,L 20-26,*,17,35,48.57,247,2,3,55.3,4,23,7.06,4.34,1,6,6.00,0,,0,0,2,1,0,0,0,0,60,98%,0,0%,0,0%,,Jameis Winston,WinsJa00
