,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 41_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
35,34,2019,2019-09-15,2,2,25.026,CHI,@,DEN,W 16-14,*,16,27,59.26,120,0,0,70.0,0,0,4.44,4.44,1,8,8.00,0,,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
36,35,2019,2019-09-23,3,3,25.034,CHI,@,WAS,W 31-15,*,25,31,80.65,231,3,1,116.5,3,23,7.45,7.94,1,2,2.00,0,,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
37,36,2019,2019-09-29,4,4,25.040,CHI,,MIN,W 16-6,*,2,3,66.67,9,0,0,70.1,0,0,3.00,3.00,0,0,,0,,0,0,0,0,0,0,0,0,6,9%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
38,37,2019,2019-10-06,5,5,,CHI,@,OAK,L 21-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Mitchell Trubisky,TrubMi00
39,38,2019,2019-10-20,6,7,25.061,CHI,,NOR,L 25-36,*,34,54,62.96,251,2,0,86.3,2,16,4.65,5.39,0,0,,0,,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
40,39,2019,2019-10-27,7,8,25.068,CHI,,LAC,L 16-17,*,23,35,65.71,253,0,1,75.1,4,27,7.23,5.94,4,10,2.50,0,,0,0,1,1,0,0,0,0,80,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
41,40,2019,2019-11-03,8,9,25.075,CHI,@,PHI,L 14-22,*,10,21,47.62,125,0,0,66.6,3,23,5.95,5.95,2,15,7.50,0,,0,0,0,0,0,0,0,0,44,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
42,41,2019,2019-11-10,9,10,25.082,CHI,,DET,W 20-13,*,16,23,69.57,173,3,0,131.0,5,28,7.52,10.13,3,8,2.67,0,,0,0,1,0,0,1,0,0,56,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
43,42,2019,2019-11-17,10,11,25.089,CHI,@,LAR,L 7-17,*,24,43,55.81,190,1,1,65.1,1,2,4.42,3.84,1,4,4.00,0,,0,0,0,0,0,0,0,0,69,91%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
44,43,2019,2019-11-24,11,12,25.096,CHI,,NYG,W 19-14,*,25,41,60.98,278,1,2,69.0,2,8,6.78,5.07,7,18,2.57,1,,1,6,0,0,0,0,0,0,73,99%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
45,44,2019,2019-11-28,12,13,25.100,CHI,@,DET,W 24-20,*,29,38,76.32,338,3,1,118.1,1,7,8.89,9.29,4,4,1.00,0,,0,0,0,0,0,0,0,0,64,98%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
46,45,2019,2019-12-05,13,14,25.107,CHI,,DAL,W 31-24,*,23,31,74.19,244,3,1,115.5,2,13,7.87,8.35,10,63,6.30,1,,1,6,0,0,0,0,0,0,70,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
47,46,2019,2019-12-15,14,15,25.117,CHI,@,GNB,L 13-21,*,29,53,54.72,334,1,2,64.5,3,15,6.30,4.98,4,29,7.25,0,,0,0,0,0,0,1,0,0,84,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
48,47,2019,2019-12-22,15,16,25.124,CHI,,KAN,L 3-26,*,18,34,52.94,157,0,0,65.4,3,24,4.62,4.62,6,20,3.33,0,,0,0,1,0,0,0,-10,0,63,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
49,48,2019,2019-12-29,16,17,25.131,CHI,@,MIN,W 21-19,*,26,37,70.27,207,0,0,84.0,4,28,5.59,5.59,2,1,0.50,0,,0,0,2,1,0,1,0,0,75,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
50,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Mitchell Trubisky,TrubMi00
51,49,2020,2020-09-13,1,1,26.024,CHI,@,DET,W 27-23,*,20,36,55.56,242,3,0,104.2,1,28,6.72,8.39,3,26,8.67,0,,0,0,1,0,0,0,0,0,65,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
52,50,2020,2020-09-20,2,2,26.031,CHI,,NYG,W 17-13,*,18,28,64.29,190,2,2,78.0,4,21,6.79,5.00,4,16,4.00,0,,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
53,51,2020,2020-09-27,3,3,26.038,CHI,@,ATL,W 30-26,*,13,22,59.09,128,1,1,71.8,2,9,5.82,4.68,1,45,45.00,0,,0,0,0,0,0,0,0,0,39,48%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
54,52,2020,2020-10-04,4,4,,CHI,,IND,L 11-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Mitchell Trubisky,TrubMi00
55,53,2020,2020-10-08,5,5,,CHI,,TAM,W 20-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Mitchell Trubisky,TrubMi00
56,54,2020,2020-10-18,6,6,,CHI,@,CAR,W 23-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Mitchell Trubisky,TrubMi00
57,55,2020,2020-10-26,7,7,,CHI,@,LAR,L 10-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Mitchell Trubisky,TrubMi00
58,56,2020,2020-11-01,8,8,26.073,CHI,,NOR,L 23-26,,0,0,,0,0,0,,0,0,,,1,3,3.00,0,,0,0,0,0,0,0,0,0,1,1%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
59,57,2020,2020-11-08,9,9,,CHI,@,TEN,L 17-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Mitchell Trubisky,TrubMi00
60,58,2020,2020-11-16,10,10,,CHI,,MIN,L 13-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Mitchell Trubisky,TrubMi00
61,59,2020,2020-11-29,11,12,26.101,CHI,@,GNB,L 25-41,*,26,46,56.52,242,3,2,74.7,3,13,5.26,4.61,3,10,3.33,0,,0,0,3,1,0,2,-1,0,68,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
62,60,2020,2020-12-06,12,13,26.108,CHI,,DET,L 30-34,*,26,34,76.47,267,1,0,108.3,2,18,7.85,8.44,3,6,2.00,0,,0,0,1,1,0,0,0,0,69,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
63,61,2020,2020-12-13,13,14,26.115,CHI,,HOU,W 36-7,*,24,33,72.73,267,3,0,126.7,3,26,8.09,9.91,4,23,5.75,0,,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
64,62,2020,2020-12-20,14,15,26.122,CHI,@,MIN,W 33-27,*,15,21,71.43,202,1,1,97.7,1,4,9.62,8.43,8,34,4.25,0,,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
65,63,2020,2020-12-27,15,16,26.129,CHI,@,JAX,W 41-17,*,24,35,68.57,265,2,1,97.9,1,2,7.57,7.43,2,10,5.00,1,,1,6,1,0,0,1,0,0,64,89%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
66,64,2020,2021-01-03,16,17,26.136,CHI,,GNB,L 16-35,*,33,42,78.57,252,0,1,81.7,1,4,6.00,4.93,4,22,5.50,0,,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
67,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Mitchell Trubisky,TrubMi00
68,65,2021,2021-09-12,1,1,,BUF,,PIT,L 16-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Mitchell Trubisky,TrubMi00
69,66,2021,2021-09-19,2,2,27.030,BUF,@,MIA,W 35-0,,0,0,,0,0,0,,0,0,,,2,-2,-1.00,0,,0,0,0,0,0,0,0,0,2,3%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
70,67,2021,2021-09-26,3,3,27.037,BUF,,WAS,W 43-21,,1,1,100.00,1,0,0,79.2,0,0,1.00,1.00,4,19,4.75,0,,0,0,0,0,0,0,0,0,8,10%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
71,68,2021,2021-10-03,4,4,27.044,BUF,,HOU,W 40-0,,1,1,100.00,8,0,0,100.0,0,0,8.00,8.00,4,10,2.50,1,,1,6,0,0,0,0,0,0,9,13%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
