,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Unnamed: 36_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 54_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
29,29,2013,2013-12-08,13,14,25.134,MIA,@,PIT,W 34-28,*,20,33,60.61,200,3,1,95.5,2,14,6.06,6.52,3,56,18.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,-7,0,62,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
30,30,2013,2013-12-15,14,15,25.141,MIA,,NWE,W 24-20,*,25,37,67.57,312,3,0,120.6,4,23,8.43,10.05,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,64,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
31,31,2013,2013-12-22,15,16,25.148,MIA,@,BUF,L 0-19,*,10,27,37.04,82,0,0,45.6,7,46,3.04,3.04,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,48,89%,0,0%,0,0%,,Ryan Tannehill,TannRy00
32,32,2013,2013-12-29,16,17,25.155,MIA,,NYJ,L 7-20,*,20,40,50.00,204,1,3,42.1,0,0,5.10,2.23,2,19,9.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Ryan Tannehill,TannRy00
34,33,2014,2014-09-07,1,1,26.042,MIA,,NWE,W 33-20,*,18,32,56.25,178,2,1,79.9,1,9,5.56,5.41,3,-2,-0.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,-2,0,74,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
35,34,2014,2014-09-14,2,2,26.049,MIA,@,BUF,L 10-29,*,31,49,63.27,241,1,1,73.6,4,31,4.92,4.41,4,11,2.75,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,79,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
36,35,2014,2014-09-21,3,3,26.056,MIA,,KAN,L 15-34,*,21,43,48.84,205,1,0,70.4,4,14,4.77,5.23,1,9,9.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,70,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
37,36,2014,2014-09-28,4,4,26.063,MIA,@,OAK,W 38-14,*,23,31,74.19,278,2,1,109.3,0,0,8.97,8.81,5,35,7.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,57,81%,0,0%,0,0%,,Ryan Tannehill,TannRy00
38,37,2014,2014-10-12,5,6,26.077,MIA,,GNB,L 24-27,*,20,31,64.52,244,2,2,83.3,1,7,7.87,6.26,3,49,16.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
