,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,,
107,100,1977,1977-12-18,14,14,35.316,DAL,,DEN,W 14-6,*,15,20,75.00,160,2,1,110.4,1,10,8.00,7.75,7,4,0.57,0,,,,,0,0,Roger Staubach,StauRo00
108,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Roger Staubach,StauRo00
109,101,1978,1978-09-04,1,1,36.211,DAL,,BAL,W 38-0,*,16,22,72.73,280,4,2,116.5,,,12.73,12.27,,,,,,,,,0,0,Roger Staubach,StauRo00
110,102,1978,1978-09-10,2,2,36.217,DAL,@,NYG,W 34-24,*,18,28,64.29,212,2,1,96.1,,,7.57,7.39,3,3,1.00,0,,,,,0,0,Roger Staubach,StauRo00
111,103,1978,1978-09-17,3,3,36.224,DAL,@,RAM,L 14-27,*,22,46,47.83,246,2,4,42.5,3,23,5.35,2.30,2,25,12.50,0,,,,,0,0,Roger Staubach,StauRo00
112,104,1978,1978-09-24,4,4,36.231,DAL,,STL,W 21-12,*,16,26,61.54,182,1,0,95.4,2,9,7.00,7.77,3,7,2.33,0,,,,,0,0,Roger Staubach,StauRo00
113,105,1978,1978-10-02,5,5,36.239,DAL,@,WAS,L 5-9,*,13,30,43.33,212,0,1,53.8,1,12,7.07,5.57,2,13,6.50,0,,,,,0,0,Roger Staubach,StauRo00
114,106,1978,1978-10-08,6,6,36.245,DAL,,NYG,W 24-3,*,17,32,53.13,246,3,1,96.6,5,46,7.69,8.16,4,25,6.25,0,,,,,0,0,Roger Staubach,StauRo00
115,107,1978,1978-10-15,7,7,36.252,DAL,@,STL,W 24-21,*,23,40,57.50,289,3,2,84.3,1,2,7.23,6.48,5,26,5.20,0,,,,,0,0,Roger Staubach,StauRo00
116,108,1978,1978-10-22,8,8,36.259,DAL,,PHI,W 14-7,*,10,22,45.45,108,1,0,75.6,4,21,4.91,5.82,3,21,7.00,0,,,,,0,0,Roger Staubach,StauRo00
117,109,1978,1978-10-26,9,9,36.263,DAL,,MIN,L 10-21,*,12,26,46.15,148,0,2,32.2,2,1,5.69,2.23,1,3,3.00,0,,,,,0,0,Roger Staubach,StauRo00
118,110,1978,1978-11-05,10,10,36.273,DAL,@,MIA,L 16-23,*,19,30,63.33,275,1,2,76.4,5,36,9.17,6.83,1,8,8.00,0,,,,,0,0,Roger Staubach,StauRo00
119,111,1978,1978-11-12,11,11,36.280,DAL,@,GNB,W 42-14,*,19,31,61.29,200,2,0,101.5,2,10,6.45,7.74,1,3,3.00,0,,,,,0,0,Roger Staubach,StauRo00
