,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 42_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
123,115,1994,1994-12-04,13,14,33.054,SFO,,ATL,W 50-14,*,22,33,66.67,294,3,1,112.4,2,6,8.91,9.36,3,16,5.33,2,0,0,0,,0,0.0%,,,2,12,0,,0,0,0,0,,Steve Young,YounSt00
124,116,1994,1994-12-11,14,15,33.061,SFO,@,SDG,W 38-15,*,25,32,78.13,304,2,0,127.1,1,6,9.50,10.75,2,4,2.00,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,,Steve Young,YounSt00
125,117,1994,1994-12-17,15,16,33.067,SFO,,DEN,W 42-19,*,20,29,68.97,350,3,1,130.0,1,8,12.07,12.59,1,11,11.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
126,118,1994,1994-12-26,16,17,33.076,SFO,@,MIN,L 14-21,*,12,13,92.31,94,1,0,122.4,2,14,7.23,8.77,1,6,6.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
127,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Steve Young,YounSt00
128,119,1995,1995-09-03,1,1,33.327,SFO,@,NOR,W 24-22,*,21,27,77.78,260,2,0,131.5,5,27,9.63,11.11,9,50,5.56,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,,Steve Young,YounSt00
129,120,1995,1995-09-10,2,2,33.334,SFO,,ATL,W 41-10,*,27,40,67.50,331,3,1,107.4,0,0,8.28,8.65,5,50,10.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
130,121,1995,1995-09-17,3,3,33.341,SFO,,NWE,W 28-3,*,29,42,69.05,284,3,1,101.7,3,11,6.76,7.12,4,20,5.00,1,0,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,,Steve Young,YounSt00
131,122,1995,1995-09-25,4,4,33.349,SFO,@,DET,L 24-27,*,27,44,61.36,348,2,1,91.9,1,10,7.91,7.80,4,11,2.75,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
132,123,1995,1995-10-01,5,5,33.355,SFO,,NYG,W 20-6,*,26,40,65.00,202,1,0,85.6,0,0,5.05,5.55,5,32,6.40,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
133,124,1995,1995-10-15,6,7,34.004,SFO,@,IND,L 17-18,*,28,40,70.00,229,1,1,82.2,6,22,5.73,5.10,2,8,4.00,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,,Steve Young,YounSt00
134,125,1995,1995-10-22,7,8,,SFO,@,STL,W 44-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Steve Young,YounSt00
135,126,1995,1995-10-29,8,9,,SFO,,NOR,L 7-11,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Steve Young,YounSt00
136,127,1995,1995-11-05,9,10,,SFO,,CAR,L 7-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Steve Young,YounSt00
137,128,1995,1995-11-12,10,11,,SFO,@,DAL,W 38-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Steve Young,YounSt00
