,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 48_level_0,qb,qb_tag
56,54,2020,2020-10-18,6,6,25.034,HOU,@,TEN,L 36-42,*,28,37,75.68,335,4,0,138.9,2,15,9.05,11.22,4,26,6.50,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,,Deshaun Watson,WatsDe00
57,55,2020,2020-10-25,7,7,25.041,HOU,,GNB,L 20-35,*,29,39,74.36,309,2,0,114.2,3,23,7.92,8.95,7,38,5.43,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,,Deshaun Watson,WatsDe00
58,56,2020,2020-11-08,8,9,25.055,HOU,@,JAX,W 27-25,*,19,32,59.38,281,2,0,109.0,2,14,8.78,10.03,10,50,5.00,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,-4,0,64,100%,0,0%,0,0%,,Deshaun Watson,WatsDe00
59,57,2020,2020-11-15,9,10,25.062,HOU,@,CLE,L 7-10,*,20,30,66.67,163,1,0,91.4,2,10,5.43,6.10,8,36,4.50,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,57,100%,0,0%,0,0%,,Deshaun Watson,WatsDe00
60,58,2020,2020-11-22,10,11,25.069,HOU,,NWE,W 27-20,*,28,37,75.68,344,2,0,121.9,0,0,9.30,10.38,6,36,6.00,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,61,100%,0,0%,0,0%,,Deshaun Watson,WatsDe00
61,59,2020,2020-11-26,11,12,25.073,HOU,@,DET,W 41-25,*,17,25,68.00,318,4,0,150.4,2,11,12.72,15.92,8,24,3.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,56,98%,0,0%,0,0%,,Deshaun Watson,WatsDe00
62,60,2020,2020-12-06,12,13,25.083,HOU,,IND,L 20-26,*,26,38,68.42,341,0,1,85.5,5,33,8.97,7.79,7,38,5.43,1,0,0,0,,0,0.0%,,,1,6,2,1,0,0,-5,0,64,100%,0,0%,0,0%,,Deshaun Watson,WatsDe00
63,61,2020,2020-12-13,13,14,25.090,HOU,@,CHI,L 7-36,*,21,30,70.00,219,1,0,101.9,6,52,7.30,7.97,7,38,5.43,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,65,98%,0,0%,0,0%,,Deshaun Watson,WatsDe00
64,62,2020,2020-12-20,14,15,25.097,HOU,@,IND,L 20-27,*,33,41,80.49,373,2,0,120.8,5,31,9.10,10.07,6,25,4.17,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,69,100%,0,0%,0,0%,,Deshaun Watson,WatsDe00
65,63,2020,2020-12-27,15,16,25.104,HOU,,CIN,L 31-37,*,24,33,72.73,324,3,0,133.9,1,2,9.82,11.64,5,38,7.60,0,0,0,0,,0,0.0%,,,0,0,2,1,0,0,0,0,52,100%,0,0%,0,0%,,Deshaun Watson,WatsDe00
66,64,2020,2021-01-03,16,17,25.111,HOU,,TEN,L 38-41,*,28,39,71.79,365,3,1,115.9,4,24,9.36,9.74,3,12,4.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,,Deshaun Watson,WatsDe00
67,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Deshaun Watson,WatsDe00
