,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 34_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
57,55,1994,1994-10-23,7,8,28.112,PIT,@,NYG,W 10-6,*,16,29,55.17,138,0,1,53.5,2,17,4.76,3.21,2,-1,-0.50,0,0,0,0,,0,0,0,0,,Neil O'Donnell,ODonNe00
58,56,1994,1994-10-30,8,9,28.119,PIT,@,ARI,L 17-20,*,18,31,58.06,260,1,1,82.7,4,28,8.39,7.58,3,13,4.33,0,0,0,0,,0,0,0,0,,Neil O'Donnell,ODonNe00
59,57,1994,1994-11-06,9,10,28.126,PIT,@,HOU,W 12-9,*,15,25,60.00,154,0,0,77.7,3,19,6.16,6.16,4,24,6.00,0,0,0,0,,0,0,0,0,,Neil O'Donnell,ODonNe00
60,58,1994,1994-11-14,10,11,28.134,PIT,,BUF,W 23-10,*,14,27,51.85,148,0,1,52.7,1,8,5.48,3.81,0,0,,0,0,0,0,,0,0,0,0,,Neil O'Donnell,ODonNe00
61,59,1994,1994-11-20,11,12,,PIT,,MIA,W 16-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Neil O'Donnell,ODonNe00
62,60,1994,1994-11-27,12,13,,PIT,@,RAI,W 21-3,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Neil O'Donnell,ODonNe00
63,61,1994,1994-12-04,13,14,28.154,PIT,@,CIN,W 38-15,*,17,24,70.83,131,2,0,111.6,1,8,5.46,7.13,2,-1,-0.50,0,0,0,0,,0,0,0,0,,Neil O'Donnell,ODonNe00
64,62,1994,1994-12-11,14,15,28.161,PIT,,PHI,W 14-3,*,19,35,54.29,158,1,1,63.7,2,13,4.51,3.80,3,0,0.00,0,0,0,1,1,0,0,0,0,,Neil O'Donnell,ODonNe00
65,63,1994,1994-12-18,15,16,28.168,PIT,,CLE,W 17-7,*,10,18,55.56,175,1,0,107.4,2,22,9.72,10.83,3,0,0.00,0,0,0,0,,0,0,0,0,,Neil O'Donnell,ODonNe00
66,64,1994,1994-12-24,16,17,28.174,PIT,@,SDG,L 34-37,*,8,13,61.54,73,1,0,102.4,0,0,5.62,7.15,1,-1,-1.00,0,0,0,0,,0,0,0,0,,Neil O'Donnell,ODonNe00
67,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Neil O'Donnell,ODonNe00
68,65,1995,1995-09-03,1,1,29.062,PIT,,DET,W 23-20,*,7,10,70.00,63,0,0,86.7,0,0,6.30,6.30,1,0,0.00,0,0,0,1,0,0,1,0,0,,Neil O'Donnell,ODonNe00
