,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 35_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
34,33,1995,1995-09-03,1,1,25.168,SEA,,KAN,L 10-34,*,19,37,51.35,209,0,1,57.2,3,22,5.65,4.43,0,0,,0,,0,0,0,,0,0,0,0,,Rick Mirer,MireRi00
35,34,1995,1995-09-10,2,2,25.175,SEA,@,SDG,L 10-14,*,13,29,44.83,127,1,2,40.4,1,0,4.38,1.97,3,19,6.33,0,,0,0,0,,0,0,0,0,,Rick Mirer,MireRi00
36,35,1995,1995-09-17,3,3,25.182,SEA,,CIN,W 24-21,*,21,30,70.00,279,2,1,107.5,2,16,9.30,9.13,7,16,2.29,0,,0,0,0,,0,0,0,0,,Rick Mirer,MireRi00
37,36,1995,1995-10-01,4,5,25.196,SEA,,DEN,W 27-10,*,16,24,66.67,222,0,0,96.2,4,30,9.25,9.25,2,3,1.50,0,,0,0,0,,0,0,0,0,,Rick Mirer,MireRi00
38,37,1995,1995-10-08,5,6,25.203,SEA,@,OAK,L 14-34,*,15,33,45.45,236,1,2,54.6,2,9,7.15,5.03,2,3,1.50,0,,0,0,1,0,0,1,-1,0,,Rick Mirer,MireRi00
39,38,1995,1995-10-15,6,7,25.210,SEA,@,BUF,L 21-27,*,15,34,44.12,218,1,3,38.6,4,28,6.41,3.03,1,3,3.00,0,,0,0,0,,0,0,0,0,,Rick Mirer,MireRi00
40,39,1995,1995-10-22,7,8,25.217,SEA,,SDG,L 25-35,*,17,26,65.38,216,1,3,64.4,7,39,8.31,3.88,5,32,6.40,0,,0,0,1,1,0,0,-1,0,,Rick Mirer,MireRi00
41,40,1995,1995-10-29,8,9,25.224,SEA,@,ARI,L 14-20,,0,2,0.00,0,0,2,0.0,1,5,0.00,-45.00,0,0,,0,,0,0,0,,0,0,0,0,,Rick Mirer,MireRi00
42,41,1995,1995-11-05,9,10,25.231,SEA,,NYG,W 30-28,*,17,31,54.84,253,2,1,89.9,2,5,8.16,8.00,1,5,5.00,0,,0,0,0,,0,0,0,0,,Rick Mirer,MireRi00
43,42,1995,1995-11-12,10,11,25.238,SEA,@,JAX,W 47-30,*,18,31,58.06,244,2,1,91.3,2,9,7.87,7.71,7,27,3.86,0,,0,0,1,0,0,0,0,0,,Rick Mirer,MireRi00
44,43,1995,1995-11-19,11,12,25.245,SEA,@,WAS,W 27-20,*,18,32,56.25,185,2,2,67.8,2,12,5.78,4.22,5,33,6.60,0,,0,0,0,,0,0,0,0,,Rick Mirer,MireRi00
45,44,1995,1995-11-26,12,13,25.252,SEA,,NYJ,L 10-16,*,17,34,50.00,138,1,1,58.2,3,20,4.06,3.32,1,0,0.00,0,,0,0,1,1,0,0,0,0,,Rick Mirer,MireRi00
46,45,1995,1995-12-03,13,14,25.259,SEA,,PHI,W 26-14,*,17,30,56.67,169,0,0,72.8,5,20,5.63,5.63,7,40,5.71,1,,1,6,1,0,0,0,0,0,,Rick Mirer,MireRi00
47,46,1995,1995-12-10,14,15,25.266,SEA,@,DEN,W 31-27,*,4,11,36.36,56,0,1,15.7,2,21,5.09,1.00,1,9,9.00,0,,0,0,0,,0,0,0,0,,Rick Mirer,MireRi00
48,47,1995,1995-12-17,15,16,,SEA,,OAK,W 44-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Rick Mirer,MireRi00
49,48,1995,1995-12-24,16,17,25.280,SEA,@,KAN,L 3-26,,2,7,28.57,12,0,0,39.6,2,19,1.71,1.71,1,3,3.00,0,,0,0,0,,0,0,0,0,,Rick Mirer,MireRi00
50,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Rick Mirer,MireRi00
51,49,1996,1996-09-01,1,1,26.166,SEA,@,SDG,L 7-29,*,24,41,58.54,251,0,2,56.0,1,0,6.12,3.93,4,49,12.25,1,,1,6,1,1,0,0,0,0,,Rick Mirer,MireRi00
52,50,1996,1996-09-08,2,2,26.173,SEA,,DEN,L 20-30,*,7,11,63.64,53,0,1,37.3,2,10,4.82,0.73,2,2,1.00,0,,0,0,1,1,0,0,0,0,,Rick Mirer,MireRi00
53,51,1996,1996-09-15,3,3,26.180,SEA,,KAN,L 17-35,*,15,31,48.39,159,0,1,50.3,7,18,5.13,3.68,6,14,2.33,1,,1,6,0,,0,0,0,0,,Rick Mirer,MireRi00
54,52,1996,1996-09-22,4,4,26.187,SEA,@,TAM,W 17-13,*,20,37,54.05,209,1,1,68.4,3,11,5.65,4.97,5,32,6.40,0,,0,0,0,,0,0,0,0,,Rick Mirer,MireRi00
55,53,1996,1996-09-29,5,5,26.194,SEA,,GNB,L 10-31,*,10,30,33.33,156,0,4,11.9,1,1,5.20,-0.80,2,17,8.50,0,,0,0,1,1,0,0,0,0,,Rick Mirer,MireRi00
56,54,1996,1996-10-06,6,6,,SEA,@,MIA,W 22-15,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Rick Mirer,MireRi00
