,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 41_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
22,22,2007,2007-10-21,6,7,24.183,MIN,@,DAL,L 14-24,*,6,19,31.58,72,0,0,44.2,3,7,3.79,3.79,4,20,5.00,0,,0,0,0,,0,0,0,0,,,,,,,,Tarvaris Jackson,JackTa00
23,23,2007,2007-10-28,7,8,,MIN,,PHI,L 16-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Tarvaris Jackson,JackTa00
24,24,2007,2007-11-04,8,9,24.197,MIN,,SDG,W 35-17,*,6,12,50.00,63,0,0,65.6,0,0,5.25,5.25,2,19,9.50,0,,0,0,0,,0,0,0,0,,,,,,,,Tarvaris Jackson,JackTa00
25,25,2007,2007-11-11,9,10,,MIN,@,GNB,L 0-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tarvaris Jackson,JackTa00
26,26,2007,2007-11-18,10,11,24.211,MIN,,OAK,W 29-22,*,17,22,77.27,171,0,1,79.9,3,15,7.77,5.73,3,19,6.33,0,,0,0,1,1,0,0,0,0,,,,,,,,Tarvaris Jackson,JackTa00
27,27,2007,2007-11-25,11,12,24.218,MIN,@,NYG,W 41-17,*,10,12,83.33,129,1,0,139.2,4,5,10.75,12.42,5,38,7.60,0,,0,0,1,0,0,0,0,0,,,,,,,,Tarvaris Jackson,JackTa00
28,28,2007,2007-12-02,12,13,24.225,MIN,,DET,W 42-10,*,18,24,75.00,204,2,1,110.4,1,4,8.50,8.29,5,20,4.00,0,,0,0,0,,0,0,0,0,,,,,,,,Tarvaris Jackson,JackTa00
29,29,2007,2007-12-09,13,14,24.232,MIN,@,SFO,W 27-7,*,16,25,64.00,163,1,0,95.9,0,0,6.52,7.32,9,13,1.44,0,,0,0,0,,0,0,0,0,,,,,,,,Tarvaris Jackson,JackTa00
30,30,2007,2007-12-17,14,15,24.240,MIN,,CHI,W 20-13,*,18,29,62.07,249,0,3,50.0,2,13,8.59,3.93,7,25,3.57,0,,0,0,1,1,0,0,-1,0,,,,,,,,Tarvaris Jackson,JackTa00
31,31,2007,2007-12-23,15,16,24.246,MIN,,WAS,L 21-32,*,25,41,60.98,220,1,2,63.1,1,8,5.37,3.66,8,44,5.50,2,,2,12,0,,0,0,0,0,,,,,,,,Tarvaris Jackson,JackTa00
32,32,2007,2007-12-30,16,17,24.253,MIN,@,DEN,L 19-22,*,16,31,51.61,175,2,0,90.1,3,15,5.65,6.94,4,36,9.00,0,2,0,4,2,1,0,0,-11,0,,,,,,,,Tarvaris Jackson,JackTa00
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Tarvaris Jackson,JackTa00
34,33,2008,2008-09-08,1,1,25.140,MIN,@,GNB,L 19-24,*,16,35,45.71,178,1,1,59.0,1,10,5.09,4.37,9,65,7.22,0,,0,0,0,,0,0,0,0,,,,,,,,Tarvaris Jackson,JackTa00
35,34,2008,2008-09-14,2,2,25.146,MIN,,IND,L 15-18,*,14,24,58.33,130,0,0,73.3,2,10,5.42,5.42,2,0,0.00,0,,0,0,1,1,0,0,0,0,,,,,,,,Tarvaris Jackson,JackTa00
36,35,2008,2008-09-21,3,3,,MIN,,CAR,W 20-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tarvaris Jackson,JackTa00
37,36,2008,2008-09-28,4,4,25.160,MIN,@,TEN,L 17-30,,1,1,100.00,8,0,0,100.0,2,12,8.00,8.00,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,,Tarvaris Jackson,JackTa00
38,37,2008,2008-10-06,5,5,25.168,MIN,@,NOR,W 30-27,,,,,,,,,0,,,,,,,,,0,0,0,,,0,0,0,,,,,,,,Tarvaris Jackson,JackTa00
39,38,2008,2008-10-12,6,6,,MIN,,DET,W 12-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tarvaris Jackson,JackTa00
40,39,2008,2008-10-19,7,7,,MIN,@,CHI,L 41-48,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tarvaris Jackson,JackTa00
41,40,2008,2008-11-02,8,9,,MIN,,HOU,W 28-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tarvaris Jackson,JackTa00
42,41,2008,2008-11-09,9,10,,MIN,,GNB,W 28-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tarvaris Jackson,JackTa00
43,42,2008,2008-11-16,10,11,,MIN,@,TAM,L 13-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tarvaris Jackson,JackTa00
44,43,2008,2008-11-23,11,12,25.216,MIN,@,JAX,W 30-12,,,,,,,,,0,,,,,,,,,0,0,0,,,0,0,0,,,,,,,,Tarvaris Jackson,JackTa00
45,44,2008,2008-11-30,12,13,,MIN,,CHI,W 34-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tarvaris Jackson,JackTa00
46,45,2008,2008-12-07,13,14,25.230,MIN,@,DET,W 20-16,,8,10,80.00,105,1,0,143.7,1,0,10.50,12.50,3,-1,-0.33,0,,0,0,1,0,0,0,-3,0,,,,,,,,Tarvaris Jackson,JackTa00
47,46,2008,2008-12-14,14,15,25.237,MIN,@,ARI,W 35-14,*,11,17,64.71,163,4,0,135.5,3,6,9.59,14.29,3,3,1.00,0,,0,0,0,,0,0,0,0,,,,,,,,Tarvaris Jackson,JackTa00
48,47,2008,2008-12-21,15,16,25.244,MIN,,ATL,L 17-24,*,22,36,61.11,233,2,0,98.5,3,38,6.47,7.58,8,82,10.25,0,,0,0,3,2,0,1,-6,0,,,,,,,,Tarvaris Jackson,JackTa00
49,48,2008,2008-12-28,16,17,25.251,MIN,,NYG,W 20-19,*,16,26,61.54,239,1,1,88.5,2,21,9.19,8.23,1,-4,-4.00,0,,0,0,0,,0,0,0,0,,,,,,,,Tarvaris Jackson,JackTa00
