,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 47_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
29,29,2016,2016-12-11,13,14,23.042,TEN,,DEN,W 13-10,*,6,20,30.00,88,0,0,45.4,2,15,4.40,4.40,8,38,4.75,0,1,0,0,,0,0.0%,0.00,0,0,1,0,0,1,0,0,67,100%,0,0%,0,0%,,Marcus Mariota,MariMa01
30,30,2016,2016-12-18,14,15,23.049,TEN,@,KAN,W 19-17,*,19,33,57.58,241,0,1,67.9,1,0,7.30,5.94,1,-2,-2.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,66,100%,0,0%,0,0%,,Marcus Mariota,MariMa01
31,31,2016,2016-12-24,15,16,23.055,TEN,@,JAX,L 17-38,*,8,20,40.00,99,1,0,72.7,2,12,4.95,5.95,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,41,58%,0,0%,0,0%,,Marcus Mariota,MariMa01
32,32,2016,2017-01-01,16,17,,TEN,,HOU,W 24-17,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Marcus Mariota,MariMa01
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Marcus Mariota,MariMa01
34,33,2017,2017-09-10,1,1,23.315,TEN,,OAK,L 16-26,*,25,41,60.98,256,0,0,78.9,1,1,6.24,6.24,3,26,8.67,1,0,0,0,,0,0.0%,,1,6,0,0,0,0,0,0,64,100%,0,0%,0,0%,,Marcus Mariota,MariMa01
35,34,2017,2017-09-17,2,2,23.322,TEN,@,JAX,W 37-16,*,15,27,55.56,215,1,1,78.5,1,4,7.96,7.04,6,24,4.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,,Marcus Mariota,MariMa01
36,35,2017,2017-09-24,3,3,23.329,TEN,,SEA,W 33-27,*,20,32,62.50,225,2,0,104.3,0,0,7.03,8.28,7,27,3.86,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,72,99%,0,0%,0,0%,,Marcus Mariota,MariMa01
37,36,2017,2017-10-01,4,4,23.336,TEN,@,HOU,L 14-57,*,6,10,60.00,96,0,2,52.5,0,0,9.60,0.60,4,39,9.75,2,0,0,0,,0,0.0%,,2,12,0,0,0,0,0,0,23,56%,0,0%,0,0%,,Marcus Mariota,MariMa01
38,37,2017,2017-10-08,5,5,,TEN,@,MIA,L 10-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Marcus Mariota,MariMa01
