,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 47_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
28,28,2004,2004-12-12,13,14,24.333,JAX,,CHI,W 22-3,*,25,45,55.56,242,2,1,76.3,0,0,5.38,5.27,4,8,2.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
29,29,2004,2004-12-19,14,15,24.340,JAX,@,GNB,W 28-25,*,9,20,45.00,121,2,0,98.1,1,6,6.05,8.05,3,9,3.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
30,30,2004,2004-12-26,15,16,24.347,JAX,,HOU,L 0-21,*,6,14,42.86,35,0,1,20.5,2,16,2.50,-0.71,4,19,4.75,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,0,0,,,,,,,,Byron Leftwich,LeftBy00
31,31,2004,2005-01-02,16,17,24.354,JAX,@,OAK,W 13-6,*,15,28,53.57,149,0,1,54.0,1,0,5.32,3.71,10,41,4.10,0,1,1,-7,-7.00,0,100.0%,-7.00,0,0,0,,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
32,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Byron Leftwich,LeftBy00
33,32,2005,2005-09-11,1,1,25.240,JAX,,SEA,W 26-14,*,17,31,54.84,252,2,0,103.2,3,15,8.13,9.42,4,9,2.25,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
34,33,2005,2005-09-18,2,2,25.247,JAX,@,IND,L 3-10,*,16,29,55.17,198,0,0,76.5,6,23,6.83,6.83,3,11,3.67,0,0,0,0,,0,0.0%,,0,0,3,0,0,1,0,0,,,,,,,,Byron Leftwich,LeftBy00
35,34,2005,2005-09-25,3,3,25.254,JAX,@,NYJ,W 26-20,*,16,23,69.57,177,2,1,103.0,2,8,7.70,7.48,2,12,6.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
36,35,2005,2005-10-02,4,4,25.261,JAX,,DEN,L 7-20,*,20,34,58.82,240,1,2,65.8,2,11,7.06,5.00,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
37,36,2005,2005-10-09,5,5,25.268,JAX,,CIN,W 23-20,*,10,24,41.67,161,2,0,92.5,0,0,6.71,8.38,5,0,0.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
38,37,2005,2005-10-16,6,6,25.275,JAX,@,PIT,W 23-17,*,19,35,54.29,177,1,1,66.0,3,24,5.06,4.34,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
39,38,2005,2005-10-30,7,8,25.289,JAX,@,STL,L 21-24,*,18,31,58.06,213,2,1,87.2,2,7,6.87,6.71,1,9,9.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
40,39,2005,2005-11-06,8,9,25.296,JAX,,HOU,W 21-14,*,19,25,76.00,218,1,0,115.1,2,4,8.72,9.52,4,10,2.50,1,0,0,0,,0,0.0%,,1,6,0,,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
41,40,2005,2005-11-13,9,10,25.303,JAX,,BAL,W 30-3,*,16,30,53.33,211,1,0,86.9,1,6,7.03,7.70,4,3,0.75,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
42,41,2005,2005-11-20,10,11,25.310,JAX,@,TEN,W 31-28,*,22,38,57.89,258,3,0,104.9,2,12,6.79,8.37,6,9,1.50,1,0,0,0,,0,0.0%,,1,6,1,1,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
43,42,2005,2005-11-27,11,12,25.317,JAX,@,ARI,W 24-17,*,2,2,100.00,18,0,0,104.2,0,0,9.00,9.00,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
44,43,2005,2005-12-04,12,13,,JAX,@,CLE,W 20-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Byron Leftwich,LeftBy00
45,44,2005,2005-12-11,13,14,,JAX,,IND,L 18-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Byron Leftwich,LeftBy00
46,45,2005,2005-12-18,14,15,,JAX,,SFO,W 10-9,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Byron Leftwich,LeftBy00
47,46,2005,2005-12-24,15,16,,JAX,@,HOU,W 38-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Byron Leftwich,LeftBy00
48,47,2005,2006-01-01,16,17,,JAX,,TEN,W 40-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Byron Leftwich,LeftBy00
49,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Byron Leftwich,LeftBy00
50,48,2006,2006-09-10,1,1,26.239,JAX,,DAL,W 24-17,*,23,34,67.65,237,1,1,85.0,1,8,6.97,6.24,5,7,1.40,1,0,0,0,,0,0.0%,,1,6,1,0,0,0,-5,0,,,,,,,,Byron Leftwich,LeftBy00
51,49,2006,2006-09-18,2,2,26.247,JAX,,PIT,W 9-0,*,26,39,66.67,260,0,1,74.7,1,8,6.67,5.51,5,4,0.80,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,0,0,,,,,,,,Byron Leftwich,LeftBy00
52,50,2006,2006-09-24,3,3,26.253,JAX,@,IND,L 14-21,*,16,28,57.14,107,1,2,47.8,1,1,3.82,1.32,6,14,2.33,1,0,0,0,,0,0.0%,,1,6,0,,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
53,51,2006,2006-10-01,4,4,26.260,JAX,@,WAS,L 30-36,*,20,34,58.82,290,3,1,103.8,4,15,8.53,8.97,5,14,2.80,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
54,52,2006,2006-10-08,5,5,26.267,JAX,,NYJ,W 41-0,*,9,20,45.00,140,2,0,102.1,1,9,7.00,9.00,4,2,0.50,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
55,53,2006,2006-10-22,6,7,26.281,JAX,@,HOU,L 7-27,*,14,28,50.00,125,0,0,62.4,1,7,4.46,4.46,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
56,54,2006,2006-10-29,7,8,,JAX,@,PHI,W 13-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Byron Leftwich,LeftBy00
57,55,2006,2006-11-05,8,9,,JAX,,TEN,W 37-7,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Byron Leftwich,LeftBy00
58,56,2006,2006-11-12,9,10,,JAX,,HOU,L 10-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Byron Leftwich,LeftBy00
59,57,2006,2006-11-20,10,11,,JAX,,NYG,W 26-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Byron Leftwich,LeftBy00
