,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Unnamed: 28_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 40_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,,
58,56,1995,1995-10-29,8,9,24.057,NYG,@,WAS,W 24-15,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,,,,,0,,,0,0,0,,Tommy Maddox,MaddTo00
59,57,1995,1995-11-05,9,10,24.064,NYG,@,SEA,L 28-30,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,,,,,0,,,0,0,0,,Tommy Maddox,MaddTo00
60,58,1995,1995-11-12,10,11,24.071,NYG,,OAK,L 13-17,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,,,,,0,,,0,0,0,,Tommy Maddox,MaddTo00
61,59,1995,1995-11-19,11,12,24.078,NYG,@,PHI,L 19-28,,0,0,,0,0,0,,1,4,,,0,0,,0,0,0,0.0,,,,,,1,1,,0,0,0,,Tommy Maddox,MaddTo00
62,60,1995,1995-11-26,12,13,24.085,NYG,,CHI,L 24-27,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,,,,,0,,,0,0,0,,Tommy Maddox,MaddTo00
63,61,1995,1995-11-30,13,14,24.089,NYG,@,ARI,W 10-6,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,,,,,0,,,0,0,0,,Tommy Maddox,MaddTo00
64,62,1995,1995-12-10,14,15,24.099,NYG,,WAS,W 20-13,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,,,,,0,,,0,0,0,,Tommy Maddox,MaddTo00
65,63,1995,1995-12-17,15,16,24.106,NYG,@,DAL,L 20-21,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,,,,,0,,,0,0,0,,Tommy Maddox,MaddTo00
66,64,1995,1995-12-23,16,17,24.112,NYG,,SDG,L 17-27,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,,,,,0,,,0,0,0,,Tommy Maddox,MaddTo00
67,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,Tommy Maddox,MaddTo00
68,65,2001,2001-09-09,1,1,,PIT,@,JAX,L 3-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tommy Maddox,MaddTo00
