,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 34_level_0,qb,qb_tag
71,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Rodney Peete,PeetRo00
72,68,1994,1994-09-04,1,1,,DAL,@,PIT,W 26-9,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Rodney Peete,PeetRo00
73,69,1994,1994-09-11,2,2,,DAL,,HOU,W 20-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Rodney Peete,PeetRo00
74,70,1994,1994-09-19,3,3,,DAL,,DET,L 17-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Rodney Peete,PeetRo00
75,71,1994,1994-10-02,4,5,28.200,DAL,@,WAS,W 34-7,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0,,,0,0,0,,Rodney Peete,PeetRo00
76,72,1994,1994-10-09,5,6,28.207,DAL,,ARI,W 38-3,,3,6,50.00,42,0,0,72.9,0,0,7.00,7.00,1,1,1.00,0,0,0,1,0,0,1,1,0,,Rodney Peete,PeetRo00
77,73,1994,1994-10-16,6,7,,DAL,,PHI,W 24-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Rodney Peete,PeetRo00
78,74,1994,1994-10-23,7,8,28.221,DAL,@,ARI,W 28-21,,12,19,63.16,186,2,0,130.6,0,0,9.79,11.89,4,-4,-1.00,0,0,0,1,0,0,1,-1,0,,Rodney Peete,PeetRo00
79,75,1994,1994-10-30,8,9,,DAL,@,CIN,W 23-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Rodney Peete,PeetRo00
80,76,1994,1994-11-07,9,10,28.236,DAL,,NYG,W 38-10,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0,,0,0,0,0,,Rodney Peete,PeetRo00
81,77,1994,1994-11-13,10,11,,DAL,@,SFO,L 14-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Rodney Peete,PeetRo00
82,78,1994,1994-11-20,11,12,28.249,DAL,,WAS,W 31-7,,2,5,40.00,20,1,0,91.7,0,0,4.00,8.00,1,2,2.00,0,0,0,0,,0,0,0,0,,Rodney Peete,PeetRo00
83,79,1994,1994-11-24,12,13,,DAL,,GNB,W 42-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Rodney Peete,PeetRo00
