,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Punting,Punting,Punting,Punting,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,,
107,100,1961,1961-11-26,11,11,31.323,DAL,@,PHI,L 13-35,*,22,43,51.16,266,1,2,58.9,3,26,6.19,4.56,5,46,9.20,0,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
108,101,1961,1961-12-03,12,12,31.330,DAL,,CLE,L 17-38,*,14,27,51.85,202,2,3,61.6,,,7.48,3.96,3,7,2.33,0,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
109,102,1961,1961-12-10,13,13,31.337,DAL,@,STL,L 13-31,*,6,16,37.50,49,0,0,46.1,4,33,3.06,3.06,2,-4,-2.00,0,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
110,103,1961,1961-12-17,14,14,31.344,DAL,@,WAS,L 24-34,*,12,27,44.44,245,3,1,98.5,,,9.07,9.63,1,-3,-3.00,0,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
111,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Eddie LeBaron,LeBaEd00
112,104,1962,1962-09-16,1,1,32.252,DAL,,WAS,T 35-35,,13,16,81.25,176,1,0,133.3,,,11.00,12.25,,,,,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
113,105,1962,1962-09-23,2,2,32.259,DAL,,PIT,L 28-30,,16,25,64.00,202,2,2,82.4,1,4,8.08,6.08,1,1,1.00,0,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
114,106,1962,1962-09-30,3,3,32.266,DAL,@,RAM,W 27-17,*,10,21,47.62,241,2,0,121.3,2,15,11.48,13.38,,,,,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
115,107,1962,1962-10-07,4,4,32.273,DAL,@,CLE,L 10-19,*,5,8,62.50,40,0,0,75.0,1,6,5.00,5.00,1,-1,-1.00,0,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
116,108,1962,1962-10-14,5,5,32.280,DAL,,PHI,W 41-19,*,7,7,100.00,128,1,0,158.3,,,18.29,21.14,,,,,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
