,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Unnamed: 29_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 47_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
0,1,2020,2020-09-13,1,1,,LAC,@,CIN,W 16-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Justin Herbert,HerbJu00
24,24,2021,2021-11-07,8,9,23.242,LAC,@,PHI,W 27-24,*,32,38,84.21,356,2,0,123.2,0,0,9.37,10.42,5,14,2.80,1,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,,Justin Herbert,HerbJu00
25,25,2021,2021-11-14,9,10,23.249,LAC,,MIN,L 20-27,*,20,34,58.82,195,1,1,72.5,2,24,5.74,5.00,2,22,11.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,100%,0,0%,0,0%,,Justin Herbert,HerbJu00
26,26,2021,2021-11-21,10,11,23.256,LAC,,PIT,W 41-37,*,30,41,73.17,382,3,1,116.1,2,8,9.32,9.68,9,90,10.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,76,100%,0,0%,0,0%,,Justin Herbert,HerbJu00
27,27,2021,2021-11-28,11,12,23.263,LAC,@,DEN,L 13-28,*,28,44,63.64,303,2,2,80.0,3,18,6.89,5.75,4,36,9.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,,Justin Herbert,HerbJu00
28,28,2021,2021-12-05,12,13,23.270,LAC,@,CIN,W 41-22,*,26,35,74.29,317,3,1,118.4,4,33,9.06,9.49,1,6,6.00,0,1,0,2,0.0,1,0,1,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,,Justin Herbert,HerbJu00
29,29,2021,2021-12-12,13,14,23.277,LAC,,NYG,W 37-21,*,23,31,74.19,275,3,0,133.1,2,4,8.87,10.81,4,19,4.75,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,93%,0,0%,0,0%,,Justin Herbert,HerbJu00
30,30,2021,2021-12-16,14,15,23.281,LAC,,KAN,L 28-34,*,22,38,57.89,236,2,1,82.8,0,0,6.21,6.08,5,16,3.20,1,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,80,100%,0,0%,0,0%,,Justin Herbert,HerbJu00
31,31,2021,2021-12-26,15,16,23.291,LAC,@,HOU,L 29-41,*,27,35,77.14,336,1,2,92.1,1,8,9.60,7.60,4,15,3.75,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,,Justin Herbert,HerbJu00
32,32,2021,2022-01-02,16,17,23.298,LAC,,DEN,W 34-13,*,22,31,70.97,237,2,0,114.6,0,0,7.65,8.94,4,2,0.50,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,,Justin Herbert,HerbJu00
33,33,2021,2022-01-09,17,18,23.305,LAC,@,LVR,L 32-35,*,34,64,53.13,383,3,1,80.4,3,28,5.98,6.22,2,1,0.50,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,93,100%,0,0%,0,0%,,Justin Herbert,HerbJu00
34,,,32 Games,,,,,,,15-17-0,,839,1267,66.22,9350,69,25,97.9,63,432,7.38,7.58,118,536,4.54,8,1,8,50,0.0,1,0,1,0,0,9,2,0,3,-12,0,,,,,,,,Justin Herbert,HerbJu00
