,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 48_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
51,49,2014,2014-09-07,1,1,,CAR,@,TAM,W 20-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Cam Newton,NewtCa00
52,50,2014,2014-09-14,2,2,25.126,CAR,,DET,W 24-7,*,22,34,64.71,281,1,0,100.2,4,30,8.26,8.85,4,19,4.75,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,,Cam Newton,NewtCa00
53,51,2014,2014-09-21,3,3,25.133,CAR,,PIT,L 19-37,*,24,35,68.57,250,1,0,98.5,3,23,7.14,7.71,2,7,3.50,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,55,89%,0,0%,0,0%,,Cam Newton,NewtCa00
54,52,2014,2014-09-28,4,4,25.140,CAR,@,BAL,L 10-38,*,14,25,56.00,197,1,0,94.9,2,20,7.88,8.68,2,7,3.50,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,-8,0,55,83%,0,0%,0,0%,,Cam Newton,NewtCa00
55,53,2014,2014-10-05,5,5,25.147,CAR,,CHI,W 31-24,*,19,35,54.29,255,2,1,84.8,2,24,7.29,7.14,6,9,1.50,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,66,100%,0,0%,0,0%,,Cam Newton,NewtCa00
56,54,2014,2014-10-12,6,6,25.154,CAR,@,CIN,T 37-37,*,29,46,63.04,284,2,1,85.8,0,0,6.17,6.07,17,107,6.29,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,84,100%,0,0%,0,0%,,Cam Newton,NewtCa00
57,55,2014,2014-10-19,7,7,25.161,CAR,@,GNB,L 17-38,*,17,31,54.84,205,1,1,72.6,3,25,6.61,5.81,7,41,5.86,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,58,83%,0,0%,0,0%,,Cam Newton,NewtCa00
58,56,2014,2014-10-26,8,8,25.168,CAR,,SEA,L 9-13,*,12,22,54.55,171,0,1,61.0,3,19,7.77,5.73,12,24,2.00,0,0,0,0,,0,0.0%,,,0,0,1,1,0,1,-2,0,60,100%,0,0%,0,0%,,Cam Newton,NewtCa00
59,57,2014,2014-10-30,9,9,25.172,CAR,,NOR,L 10-28,*,10,28,35.71,151,0,1,39.4,4,29,5.39,3.79,7,43,6.14,1,0,0,0,,0,0.0%,,,1,6,1,1,0,0,0,0,57,100%,0,0%,0,0%,,Cam Newton,NewtCa00
60,58,2014,2014-11-10,10,10,25.183,CAR,@,PHI,L 21-45,*,25,40,62.50,306,2,3,71.5,9,91,7.65,5.28,2,6,3.00,0,0,0,0,,0,0.0%,,,0,0,2,1,0,0,0,0,82,100%,0,0%,0,0%,,Cam Newton,NewtCa00
61,59,2014,2014-11-16,11,11,25.189,CAR,,ATL,L 17-19,*,23,37,62.16,292,2,2,82.3,2,7,7.89,6.54,5,30,6.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,,Cam Newton,NewtCa00
62,60,2014,2014-11-30,12,13,25.203,CAR,@,MIN,L 13-31,*,18,35,51.43,194,1,1,65.7,4,24,5.54,4.83,9,49,5.44,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,74,100%,0,0%,0,0%,,Cam Newton,NewtCa00
63,61,2014,2014-12-07,13,14,25.210,CAR,@,NOR,W 41-10,*,21,33,63.64,226,3,0,114.0,0,0,6.85,8.67,12,83,6.92,1,0,0,0,,0,0.0%,,,1,6,1,0,0,1,0,0,71,96%,0,0%,0,0%,,Cam Newton,NewtCa00
64,62,2014,2014-12-14,14,15,,CAR,,TAM,W 19-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Cam Newton,NewtCa00
65,63,2014,2014-12-21,15,16,25.224,CAR,,CLE,W 17-13,*,18,31,58.06,201,1,1,74.8,1,6,6.48,5.68,12,63,5.25,1,0,0,0,,0,0.0%,,,1,6,1,0,0,0,0,0,79,100%,0,0%,0,0%,,Cam Newton,NewtCa00
66,64,2014,2014-12-28,16,17,25.231,CAR,@,ATL,W 34-3,*,10,16,62.50,114,1,0,104.7,1,2,7.13,8.38,6,51,8.50,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,53,100%,0,0%,0,0%,,Cam Newton,NewtCa00
67,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Cam Newton,NewtCa00
68,65,2015,2015-09-13,1,1,26.125,CAR,@,JAX,W 20-9,*,18,31,58.06,175,1,1,71.3,2,17,5.65,4.84,14,35,2.50,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,,Cam Newton,NewtCa00
69,66,2015,2015-09-20,2,2,26.132,CAR,,HOU,W 24-17,*,18,37,48.65,195,2,1,71.3,2,17,5.27,5.14,10,76,7.60,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,78,100%,0,0%,0,0%,,Cam Newton,NewtCa00
70,67,2015,2015-09-27,3,3,26.139,CAR,,NOR,W 27-22,*,20,31,64.52,315,2,0,119.7,1,3,10.16,11.45,7,33,4.71,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,66,100%,0,0%,0,0%,,Cam Newton,NewtCa00
71,68,2015,2015-10-04,4,4,26.146,CAR,@,TAM,W 37-23,*,11,22,50.00,124,2,0,97.5,2,13,5.64,7.45,12,51,4.25,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,58,100%,0,0%,0,0%,,Cam Newton,NewtCa00
72,69,2015,2015-10-18,5,6,26.160,CAR,@,SEA,W 27-23,*,20,36,55.56,269,1,2,65.6,3,21,7.47,5.53,7,30,4.29,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,73,100%,0,0%,0,0%,,Cam Newton,NewtCa00
73,70,2015,2015-10-25,6,7,26.167,CAR,,PHI,W 27-16,*,14,24,58.33,197,1,3,59.2,1,7,8.21,3.42,4,20,5.00,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,61,100%,0,0%,0,0%,,Cam Newton,NewtCa00
74,71,2015,2015-11-02,7,8,26.175,CAR,,IND,W 29-26,*,16,35,45.71,248,2,1,76.8,2,9,7.09,6.94,10,41,4.10,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,-2,0,75,100%,0,0%,0,0%,,Cam Newton,NewtCa00
75,72,2015,2015-11-08,8,9,26.181,CAR,,GNB,W 37-29,*,15,30,50.00,297,3,1,104.4,0,0,9.90,10.40,9,57,6.33,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,67,100%,0,0%,0,0%,,Cam Newton,NewtCa00
76,73,2015,2015-11-15,9,10,26.188,CAR,@,TEN,W 27-10,*,21,25,84.00,217,1,0,116.2,5,33,8.68,9.48,9,23,2.56,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,68,100%,0,0%,0,0%,,Cam Newton,NewtCa00
77,74,2015,2015-11-22,10,11,26.195,CAR,,WAS,W 44-16,*,21,34,61.76,246,5,0,123.3,2,20,7.24,10.18,4,16,4.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,71,92%,0,0%,0,0%,,Cam Newton,NewtCa00
78,75,2015,2015-11-26,11,12,26.199,CAR,@,DAL,W 33-14,*,16,27,59.26,183,0,0,79.7,1,18,6.78,6.78,12,45,3.75,1,0,0,0,,0,0.0%,,,1,6,1,0,0,1,-2,0,69,100%,0,0%,0,0%,,Cam Newton,NewtCa00
79,76,2015,2015-12-06,12,13,26.209,CAR,@,NOR,W 41-38,*,28,41,68.29,331,5,1,122.1,1,9,8.07,9.41,10,49,4.90,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,81,100%,0,0%,0,0%,,Cam Newton,NewtCa00
80,77,2015,2015-12-13,13,14,26.216,CAR,,ATL,W 38-0,*,15,21,71.43,265,3,0,153.3,2,19,12.62,15.48,3,4,1.33,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,48,74%,0,0%,0,0%,,Cam Newton,NewtCa00
81,78,2015,2015-12-20,14,15,26.223,CAR,@,NYG,W 38-35,*,25,45,55.56,340,5,0,116.9,3,31,7.56,9.78,8,100,12.50,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,-6,0,77,100%,0,0%,0,0%,,Cam Newton,NewtCa00
82,79,2015,2015-12-27,15,16,26.230,CAR,@,ATL,L 13-20,*,17,30,56.67,142,0,0,69.0,2,29,4.73,4.73,7,46,6.57,1,0,0,0,,0,0.0%,,,1,6,1,1,0,0,0,0,52,100%,0,0%,0,0%,,Cam Newton,NewtCa00
83,80,2015,2016-01-03,16,17,26.237,CAR,,TAM,W 38-10,*,21,26,80.77,293,2,0,139.3,4,38,11.27,12.81,6,10,1.67,2,0,0,0,,0,0.0%,,,2,12,0,0,0,0,0,0,62,97%,0,0%,0,0%,,Cam Newton,NewtCa00
84,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Cam Newton,NewtCa00
85,81,2016,2016-09-08,1,1,27.120,CAR,@,DEN,L 20-21,*,18,33,54.55,194,1,1,69.5,3,18,5.88,5.12,11,54,4.91,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,73,100%,0,0%,0,0%,,Cam Newton,NewtCa00
86,82,2016,2016-09-18,2,2,27.130,CAR,,SFO,W 46-27,*,24,40,60.00,353,4,1,111.8,1,0,8.83,9.70,6,37,6.17,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,83,100%,0,0%,0,0%,,Cam Newton,NewtCa00
87,83,2016,2016-09-25,3,3,27.137,CAR,,MIN,L 10-22,*,21,35,60.00,262,0,3,47.6,8,64,7.49,3.63,7,26,3.71,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,76,99%,0,0%,0,0%,,Cam Newton,NewtCa00
88,84,2016,2016-10-02,4,4,27.144,CAR,@,ATL,L 33-48,*,14,25,56.00,165,1,0,89.6,1,8,6.60,7.40,5,30,6.00,0,0,0,0,,0,0.0%,,1,0,2,0,0,0,0,0,0,42,59%,0,0%,0,0%,,Cam Newton,NewtCa00
89,85,2016,2016-10-10,5,5,,CAR,,TAM,L 14-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Cam Newton,NewtCa00
90,86,2016,2016-10-16,6,6,27.158,CAR,@,NOR,L 38-41,*,27,47,57.45,322,2,1,83.8,2,19,6.85,6.74,2,1,0.50,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,81,100%,0,0%,0,0%,,Cam Newton,NewtCa00
91,87,2016,2016-10-30,7,8,27.172,CAR,,ARI,W 30-20,*,14,27,51.85,212,0,0,78.0,1,4,7.85,7.85,7,43,6.14,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,,Cam Newton,NewtCa00
92,88,2016,2016-11-06,8,9,27.179,CAR,@,LAR,W 13-10,*,20,32,62.50,225,1,0,93.9,5,40,7.03,7.66,7,16,2.29,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,,Cam Newton,NewtCa00
93,89,2016,2016-11-13,9,10,27.186,CAR,,KAN,L 17-20,*,23,38,60.53,261,1,1,78.9,2,19,6.87,6.21,12,54,4.50,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,73,100%,0,0%,0,0%,,Cam Newton,NewtCa00
94,90,2016,2016-11-17,10,11,27.190,CAR,,NOR,W 23-20,*,14,33,42.42,192,1,0,71.8,2,19,5.82,6.42,5,7,1.40,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,,Cam Newton,NewtCa00
95,91,2016,2016-11-27,11,12,27.200,CAR,@,OAK,L 32-35,*,14,29,48.28,246,2,1,86.3,2,17,8.48,8.31,3,6,2.00,1,0,0,0,,0,0.0%,,,1,6,2,1,0,1,0,0,65,100%,0,0%,0,0%,,Cam Newton,NewtCa00
96,92,2016,2016-12-04,12,13,27.207,CAR,@,SEA,L 7-40,,14,32,43.75,182,1,0,72.7,0,0,5.69,6.31,3,12,4.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,57,98%,0,0%,0,0%,,Cam Newton,NewtCa00
97,93,2016,2016-12-11,13,14,27.214,CAR,,SDG,W 28-16,*,10,27,37.04,160,1,1,54.6,2,14,5.93,5.00,8,31,3.88,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,68,99%,0,0%,0,0%,,Cam Newton,NewtCa00
98,94,2016,2016-12-19,14,15,27.222,CAR,@,WAS,W 26-15,*,21,37,56.76,300,2,0,101.2,2,10,8.11,9.19,3,0,0.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,73,100%,0,0%,0,0%,,Cam Newton,NewtCa00
99,95,2016,2016-12-24,15,16,27.227,CAR,,ATL,L 16-33,*,18,43,41.86,198,1,2,44.5,2,15,4.60,2.98,8,36,4.50,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,,Cam Newton,NewtCa00
100,96,2016,2017-01-01,16,17,27.235,CAR,@,TAM,L 16-17,*,18,32,56.25,237,1,3,51.2,3,30,7.41,3.81,3,6,2.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,,Cam Newton,NewtCa00
101,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Cam Newton,NewtCa00
102,97,2017,2017-09-10,1,1,28.122,CAR,@,SFO,W 23-3,*,14,25,56.00,171,2,1,87.2,0,0,6.84,6.64,6,3,0.50,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,-2,0,67,100%,0,0%,0,0%,,Cam Newton,NewtCa00
103,98,2017,2017-09-17,2,2,28.129,CAR,,BUF,W 9-3,*,20,32,62.50,228,0,0,83.9,6,50,7.13,7.13,5,27,5.40,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,,Cam Newton,NewtCa00
104,99,2017,2017-09-24,3,3,28.136,CAR,,NOR,L 13-34,*,17,26,65.38,167,0,3,43.7,4,28,6.42,1.23,3,16,5.33,1,0,0,0,,0,0.0%,,,1,6,2,0,0,1,0,0,50,85%,0,0%,0,0%,,Cam Newton,NewtCa00
105,100,2017,2017-10-01,4,4,28.143,CAR,@,NWE,W 33-30,*,22,29,75.86,316,3,1,130.8,2,12,10.90,11.41,8,44,5.50,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,63,100%,0,0%,0,0%,,Cam Newton,NewtCa00
106,101,2017,2017-10-08,5,5,28.150,CAR,@,DET,W 27-24,*,26,33,78.79,355,3,0,141.8,3,21,10.76,12.58,7,0,0.00,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,0,0,66,100%,0,0%,0,0%,,Cam Newton,NewtCa00
107,102,2017,2017-10-12,6,6,28.154,CAR,,PHI,L 23-28,*,28,52,53.85,239,1,3,48.5,2,14,4.60,2.38,11,71,6.45,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,82,100%,0,0%,0,0%,,Cam Newton,NewtCa00
108,103,2017,2017-10-22,7,7,28.164,CAR,@,CHI,L 3-17,*,21,34,61.76,211,0,2,54.9,5,26,6.21,3.56,9,50,5.56,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,-1,0,72,100%,0,0%,0,0%,,Cam Newton,NewtCa00
