,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 39_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds,TD,Status,,
46,45,2004,2004-12-12,13,14,26.052,DET,@,GNB,L 13-16,*,5,22,22.73,47,0,0,39.6,2,12,2.14,2.14,4,29,7.25,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
47,46,2004,2004-12-19,14,15,26.059,DET,,MIN,L 27-28,*,25,44,56.82,361,2,2,79.8,2,11,8.20,7.07,3,13,4.33,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
48,47,2004,2004-12-26,15,16,26.066,DET,,CHI,W 19-13,*,15,30,50.00,166,0,1,52.9,2,10,5.53,4.03,5,26,5.20,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
49,48,2004,2005-01-02,16,17,26.073,DET,@,TEN,L 19-24,*,33,49,67.35,346,2,1,92.7,2,15,7.06,6.96,2,13,6.50,0,0,0,0,,0,0.0%,,1,1,0,0,0,0,,Joey Harrington,HarrJo00
50,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds,TD,Status,Joey Harrington,HarrJo00
51,49,2005,2005-09-11,1,1,26.325,DET,,GNB,W 17-3,*,15,28,53.57,167,2,0,95.4,2,15,5.96,7.39,3,14,4.67,0,0,0,0,,0,0.0%,,1,0,0,0,-3,0,,Joey Harrington,HarrJo00
52,50,2005,2005-09-18,2,2,26.332,DET,@,CHI,L 6-38,*,19,37,51.35,196,1,5,36.4,3,11,5.30,-0.24,2,-6,-3.00,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
53,51,2005,2005-10-02,3,4,26.346,DET,@,TAM,L 13-17,*,15,27,55.56,137,0,0,69.5,2,2,5.07,5.07,4,12,3.00,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
54,52,2005,2005-10-09,4,5,26.353,DET,,BAL,W 35-17,*,10,23,43.48,97,1,2,34.1,1,0,4.22,1.17,1,2,2.00,0,0,0,0,,0,0.0%,,1,0,0,0,0,0,,Joey Harrington,HarrJo00
55,53,2005,2005-10-16,5,6,26.360,DET,,CAR,L 20-21,*,17,28,60.71,201,0,1,67.7,6,44,7.18,5.57,3,12,4.00,0,0,0,0,,0,0.0%,,2,2,0,0,0,0,,Joey Harrington,HarrJo00
