,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 40_level_0,qb,qb_tag
36,35,2015,2015-11-22,10,11,27.278,STL,@,BAL,L 13-16,*,12,26,46.15,136,1,0,75.2,1,5,5.23,6.00,2,0,0.00,0,0,0,3,2,0,0,-12,0,61,100%,0,0%,0,0%,,Case Keenum,KeenCa00
37,36,2015,2015-11-29,11,12,,STL,@,CIN,L 7-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Case Keenum,KeenCa00
38,37,2015,2015-12-06,12,13,,STL,,ARI,L 3-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Case Keenum,KeenCa00
39,38,2015,2015-12-13,13,14,27.299,STL,,DET,W 21-14,*,14,22,63.64,124,0,1,59.7,1,10,5.64,3.59,2,2,1.00,0,0,0,0,0,0,0,0,0,55,100%,0,0%,0,0%,,Case Keenum,KeenCa00
40,39,2015,2015-12-17,14,15,27.303,STL,,TAM,W 31-23,*,14,17,82.35,234,2,0,158.0,2,13,13.76,16.12,3,-3,-1.00,0,0,0,0,0,0,0,0,0,52,100%,0,0%,0,0%,,Case Keenum,KeenCa00
41,40,2015,2015-12-27,15,16,27.313,STL,@,SEA,W 23-17,*,14,23,60.87,103,1,0,86.0,0,0,4.48,5.35,4,4,1.00,0,0,0,0,0,0,0,0,0,55,100%,0,0%,0,0%,,Case Keenum,KeenCa00
42,41,2015,2016-01-03,16,17,27.320,STL,@,SFO,L 16-19,*,22,37,59.46,231,0,0,77.6,0,0,6.24,6.24,1,2,2.00,0,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,,Case Keenum,KeenCa00
43,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Case Keenum,KeenCa00
44,42,2016,2016-09-12,1,1,28.208,LAR,@,SFO,L 0-28,*,17,35,48.57,130,0,2,34.2,2,10,3.71,1.14,3,10,3.33,0,0,0,0,0,0,0,0,0,61,100%,0,0%,0,0%,,Case Keenum,KeenCa00
45,43,2016,2016-09-18,2,2,28.214,LAR,,SEA,W 9-3,*,18,30,60.00,239,0,0,85.3,3,20,7.97,7.97,3,5,1.67,0,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,,Case Keenum,KeenCa00
46,44,2016,2016-09-25,3,3,28.221,LAR,@,TAM,W 37-32,*,14,26,53.85,190,2,1,87.0,1,7,7.31,7.12,2,1,0.50,0,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,,Case Keenum,KeenCa00
47,45,2016,2016-10-02,4,4,28.228,LAR,@,ARI,W 17-13,*,18,30,60.00,266,2,0,111.2,2,19,8.87,10.20,3,14,4.67,0,0,0,1,1,0,0,0,0,59,100%,0,0%,0,0%,,Case Keenum,KeenCa00
48,46,2016,2016-10-09,5,5,28.235,LAR,,BUF,L 19-30,*,21,31,67.74,271,0,2,68.1,4,28,8.74,5.84,0,0,,0,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,,Case Keenum,KeenCa00
49,47,2016,2016-10-16,6,6,28.242,LAR,@,DET,L 28-31,*,27,32,84.38,321,3,1,126.7,1,10,10.03,10.50,3,7,2.33,1,1,6,1,0,0,1,0,0,58,100%,0,0%,0,0%,,Case Keenum,KeenCa00
50,48,2016,2016-10-23,7,7,28.249,LAR,,NYG,L 10-17,*,32,53,60.38,291,1,4,50.1,3,20,5.49,2.47,1,3,3.00,0,0,0,2,0,0,2,0,0,79,100%,0,0%,0,0%,,Case Keenum,KeenCa00
51,49,2016,2016-11-06,8,9,28.263,LAR,,CAR,L 10-13,*,27,46,58.70,296,1,1,76.0,4,16,6.43,5.89,0,0,,0,0,0,1,0,0,0,0,0,68,100%,0,0%,0,0%,,Case Keenum,KeenCa00
52,50,2016,2016-11-13,9,10,28.270,LAR,@,NYJ,W 9-6,*,17,30,56.67,165,0,0,72.2,3,10,5.50,5.50,5,11,2.20,0,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,,Case Keenum,KeenCa00
53,51,2016,2016-11-20,10,11,,LAR,,MIA,L 10-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Case Keenum,KeenCa00
54,52,2016,2016-11-27,11,12,,LAR,@,NOR,L 21-49,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Case Keenum,KeenCa00
55,53,2016,2016-12-04,12,13,,LAR,@,NWE,L 10-26,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Case Keenum,KeenCa00
56,54,2016,2016-12-11,13,14,,LAR,,ATL,L 14-42,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Case Keenum,KeenCa00
